28 of 34 units, , , , ,V4e044_00, , , ,V4e044_01, , , ,V4e046_00, , , ,V4e046_01, , , ,V4e047_00, , , ,V4e047_01, , , ,V4e047_02, , , ,V4e047_05, , , ,V4e047_06, , , ,V4e048_00, , , ,V4e048_04, , , ,V4e048_05, , , ,V4e048_06, , , ,V4e052_00, , , ,V4e052_01, , , ,V4e053_00, , , ,V4e054_00, , , ,V4e055_00, , , ,V4e056_00, , , ,V4e057_00, , , ,MTe040_00, , , ,MTe042_00, , , ,MTe049_00, , , ,MTe049_02, , , ,MTe050_00, , , ,MTe050_01, , , ,MTe051_00, , , ,MTe051_01, , , 
trials,task,correct,color,motion,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample
1,C,1,1.0,6.0,39.28300094604492,20.195999145507812,15.673999786376953,74.54499816894531,NaN,NaN,NaN,NaN,145.66200256347656,164.31500244140625,146.1580047607422,289.1499938964844,NaN,NaN,NaN,NaN,261.5719909667969,283.2969970703125,225.4929962158203,303.69500732421875,59.560001373291016,42.03300094604492,22.783000946044922,15.708999633789062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.08799934387207,21.356000900268555,19.631000518798828,74.98500061035156,22.429000854492188,35.07400131225586,28.8700008392334,25.4060001373291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.52199935913086,42.74100112915039,40.8390007019043,121.47100067138672,4.920000076293945,12.45300006866455,6.788000106811523,66.05899810791016,78.38899993896484,45.84199905395508,62.0260009765625,103.09500122070312,32.11199951171875,19.108999252319336,18.323999404907227,14.444000244140625,59.20000076293945,65.72200012207031,59.33599853515625,157.18699645996094,NaN,NaN,NaN,NaN,25.655000686645508,93.98699951171875,63.16299819946289,99.27799987792969,8.984999656677246,11.85099983215332,8.64799976348877,11.482999801635742,65.05599975585938,51.04800033569336,64.59700012207031,64.21700286865234,109.86499786376953,45.79199981689453,48.2869987487793,198.08599853515625,2.3519999980926514,0.0,0.0020000000949949026,51.63100051879883,353.26800537109375,368.95098876953125,401.0190124511719,415.3320007324219,NaN,NaN,NaN,NaN,100.50599670410156,82.68599700927734,110.61499786376953,301.9219970703125,1.6670000553131104,6.260000228881836,5.0,22.429000854492188
2,C,1,2.0,6.0,104.96099853515625,20.39699935913086,16.836999893188477,62.972999572753906,NaN,NaN,NaN,NaN,42.53799819946289,114.0530014038086,143.96099853515625,369.65301513671875,NaN,NaN,NaN,NaN,185.8699951171875,223.2239990234375,224.52000427246094,263.97198486328125,28.155000686645508,8.614999771118164,32.16899871826172,14.885000228881836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.300000190734863,25.746000289916992,14.772000312805176,58.17900085449219,30.569000244140625,29.125,33.22600173950195,39.0359992980957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.94599914550781,47.59400177001953,42.319000244140625,87.30400085449219,16.91699981689453,14.258000373840332,10.557000160217285,37.47600173950195,48.7760009765625,37.52199935913086,38.02899932861328,61.21799850463867,16.420000076293945,13.934000015258789,25.415000915527344,18.923999786376953,72.94300079345703,90.75199890136719,50.53300094604492,174.3719940185547,NaN,NaN,NaN,NaN,18.961000442504883,43.494998931884766,37.722999572753906,121.49600219726562,10.821000099182129,14.763999938964844,8.737000465393066,17.583999633789062,57.6609992980957,69.66200256347656,68.41699981689453,83.45500183105469,65.33599853515625,61.63999938964844,70.1709976196289,260.447998046875,0.20000000298023224,2.244999885559082,3.934000015258789,42.63100051879883,368.760986328125,403.4649963378906,392.67999267578125,444.6860046386719,NaN,NaN,NaN,NaN,66.83999633789062,117.98400115966797,108.5790023803711,312.3399963378906,4.567999839782715,8.404000282287598,8.243000030517578,28.21299934387207
3,M,1,4.0,3.0,4.622000217437744,2.253000020980835,30.0939998626709,21.895000457763672,NaN,NaN,NaN,NaN,134.92599487304688,98.71499633789062,77.76200103759766,257.9599914550781,NaN,NaN,NaN,NaN,214.33900451660156,194.10400390625,170.802001953125,257.9939880371094,58.89699935913086,4.179999828338623,18.93000030517578,8.229000091552734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.17099952697754,21.95599937438965,17.007999420166016,36.2140007019043,21.187999725341797,35.689998626708984,25.816999435424805,19.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.60599899291992,89.44599914550781,86.10399627685547,51.5099983215332,10.79800033569336,18.70599937438965,10.586999893188477,18.839000701904297,33.108001708984375,50.19599914550781,44.930999755859375,53.88999938964844,13.940999984741211,24.89699935913086,14.314000129699707,37.941001892089844,37.52299880981445,68.74299621582031,68.39600372314453,100.38400268554688,NaN,NaN,NaN,NaN,20.437999725341797,28.650999069213867,42.46900177001953,35.275001525878906,6.51200008392334,16.985000610351562,24.135000228881836,14.336999893188477,61.8650016784668,56.715999603271484,44.96699905395508,85.0479965209961,84.45500183105469,64.63200378417969,29.893999099731445,242.2740020751953,NaN,NaN,NaN,NaN,303.927001953125,437.9519958496094,339.3559875488281,470.260986328125,NaN,NaN,NaN,NaN,54.145999908447266,152.36700439453125,94.26200103759766,318.51300048828125,8.494000434875488,11.052000045776367,6.368000030517578,18.06999969482422
4,C,1,7.0,1.0,8.807000160217285,0.0010000000474974513,30.93000030517578,82.80000305175781,NaN,NaN,NaN,NaN,102.84300231933594,170.5399932861328,196.96099853515625,205.26199340820312,NaN,NaN,NaN,NaN,129.86300659179688,293.4419860839844,250.4969940185547,228.58399963378906,25.09600067138672,39.75,36.939998626708984,20.51799964904785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.430000305175781,18.625999450683594,15.90999984741211,53.66899871826172,23.04400062561035,31.652000427246094,22.39900016784668,49.97700119018555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.29199981689453,44.854000091552734,51.81100082397461,96.84400177001953,11.336999893188477,7.01800012588501,0.625,14.706000328063965,53.43600082397461,59.415000915527344,74.11000061035156,51.10100173950195,18.96299934387207,29.333999633789062,40.64099884033203,6.0279998779296875,79.36799621582031,87.57599639892578,104.25800323486328,60.104000091552734,NaN,NaN,NaN,NaN,4.0929999351501465,72.94300079345703,23.743000030517578,41.551998138427734,5.541999816894531,21.150999069213867,25.638999938964844,20.792999267578125,53.99100112915039,43.45399856567383,59.9119987487793,66.81400299072266,54.3120002746582,86.90599822998047,62.24599838256836,110.43299865722656,NaN,NaN,NaN,NaN,303.12799072265625,428.35198974609375,379.43798828125,470.7860107421875,NaN,NaN,NaN,NaN,69.9229965209961,107.36299896240234,79.15699768066406,248.90199279785156,6.313000202178955,0.041999999433755875,0.11500000208616257,39.85200119018555
5,C,1,1.0,2.0,37.39799880981445,8.142000198364258,66.98999786376953,53.790000915527344,NaN,NaN,NaN,NaN,131.29600524902344,106.41200256347656,31.822999954223633,197.5330047607422,NaN,NaN,NaN,NaN,215.10699462890625,223.0019989013672,173.08099365234375,249.81399536132812,21.27400016784668,10.729999542236328,20.437999725341797,7.96999979019165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.498000144958496,11.579000473022461,17.297000885009766,47.374000549316406,30.405000686645508,27.816999435424805,23.684999465942383,25.714000701904297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.2599983215332,96.61399841308594,58.525001525878906,101.31400299072266,16.430999755859375,27.222999572753906,19.93600082397461,32.327999114990234,22.565000534057617,44.3380012512207,48.821998596191406,68.11199951171875,28.256000518798828,5.478000164031982,16.16200065612793,23.829999923706055,65.69499969482422,87.19999694824219,63.75400161743164,128.59800720214844,NaN,NaN,NaN,NaN,9.151000022888184,74.21299743652344,51.56999969482422,125.08799743652344,13.862000465393066,10.07699966430664,4.373000144958496,18.17099952697754,69.67500305175781,70.8949966430664,54.529998779296875,65.80400085449219,84.54100036621094,47.84000015258789,39.7130012512207,190.49400329589844,2.265000104904175,0.0010000000474974513,2.319000005722046,45.9010009765625,437.5159912109375,368.8559875488281,315.0610046386719,462.2309875488281,NaN,NaN,NaN,NaN,136.80299377441406,122.13300323486328,70.3489990234375,265.93499755859375,18.202999114990234,4.802000045776367,5.892000198364258,29.558000564575195
6,M,1,6.0,7.0,63.08599853515625,7.736000061035156,57.67100143432617,27.805999755859375,NaN,NaN,NaN,NaN,137.42599487304688,122.05999755859375,51.31700134277344,239.16799926757812,NaN,NaN,NaN,NaN,200.20899963378906,138.4219970703125,178.73599243164062,240.13800048828125,53.611000061035156,1.3630000352859497,8.958999633789062,22.886999130249023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.513999938964844,23.73200035095215,18.422000885009766,64.56900024414062,23.2450008392334,42.72100067138672,27.440000534057617,16.507999420166016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.64799880981445,82.84300231933594,54.40999984741211,102.01100158691406,15.041000366210938,28.489999771118164,14.649999618530273,11.154000282287598,26.104999542236328,51.37900161743164,42.32699966430664,52.79499816894531,10.753999710083008,42.52199935913086,30.70800018310547,28.054000854492188,49.106998443603516,91.64399719238281,41.21900177001953,78.68399810791016,NaN,NaN,NaN,NaN,33.417999267578125,66.63600158691406,17.452999114990234,73.12899780273438,12.493000030517578,25.023000717163086,11.272000312805176,7.8379998207092285,41.73899841308594,68.2030029296875,51.03900146484375,43.70399856567383,79.25599670410156,62.67100143432617,23.902999877929688,140.0749969482422,NaN,NaN,NaN,NaN,367.3710021972656,401.54901123046875,378.1809997558594,479.8290100097656,NaN,NaN,NaN,NaN,99.64099884033203,169.79400634765625,70.63600158691406,184.47300720214844,4.379000186920166,12.982000350952148,8.569999694824219,15.109000205993652
7,M,1,1.0,1.0,73.64399719238281,0.49900001287460327,19.22100067138672,90.04199981689453,NaN,NaN,NaN,NaN,136.5540008544922,99.04199981689453,55.30500030517578,105.94100189208984,NaN,NaN,NaN,NaN,246.05299377441406,203.46499633789062,170.89199829101562,279.60699462890625,66.2030029296875,6.304999828338623,34.88800048828125,3.430000066757202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.042999267578125,25.607999801635742,23.72599983215332,11.581000328063965,16.638999938964844,36.67100143432617,35.87799835205078,35.51599884033203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.952999114990234,110.48899841308594,49.71099853515625,131.04800415039062,23.172000885009766,22.63599967956543,2.2880001068115234,21.993000030517578,41.15299987792969,56.999000549316406,40.82400131225586,82.04299926757812,18.676000595092773,44.57099914550781,20.583999633789062,18.37299919128418,92.53600311279297,58.1870002746582,54.48400115966797,71.66500091552734,NaN,NaN,NaN,NaN,32.939998626708984,36.25400161743164,66.12699890136719,15.694000244140625,18.225000381469727,8.397000312805176,8.668999671936035,19.132999420166016,40.847999572753906,71.43399810791016,58.54899978637695,47.24700164794922,74.68000030517578,48.63999938964844,42.356998443603516,83.37000274658203,NaN,NaN,NaN,NaN,354.2300109863281,412.2820129394531,340.8039855957031,485.0069885253906,NaN,NaN,NaN,NaN,85.49800109863281,153.55599975585938,74.49500274658203,231.19400024414062,4.533999919891357,17.530000686645508,0.07400000095367432,22.152999877929688
8,M,0,6.0,1.0,29.895999908447266,2.9719998836517334,0.057999998331069946,15.95300006866455,NaN,NaN,NaN,NaN,14.553999900817871,125.07099914550781,84.94999694824219,128.95399475097656,NaN,NaN,NaN,NaN,128.35299682617188,180.35699462890625,186.80599975585938,238.74600219726562,23.302000045776367,0.1420000046491623,6.927999973297119,13.532999992370605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.784000396728516,24.84600067138672,17.33099937438965,34.018001556396484,21.719999313354492,28.179000854492188,20.52899932861328,18.267000198364258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.638999938964844,78.99500274658203,61.45500183105469,75.7969970703125,19.913999557495117,16.88800048828125,8.543999671936035,5.74399995803833,34.69900131225586,80.34700012207031,87.17900085449219,48.224998474121094,24.719999313354492,39.483001708984375,58.1619987487793,12.005999565124512,66.52300262451172,80.58399963378906,73.99500274658203,80.46299743652344,NaN,NaN,NaN,NaN,6.183000087738037,26.905000686645508,48.58100128173828,44.63399887084961,0.22200000286102295,16.979000091552734,18.32699966430664,16.04599952697754,56.72600173950195,58.15399932861328,58.821998596191406,64.21700286865234,24.399999618530273,66.21399688720703,52.172000885009766,148.26600646972656,NaN,NaN,NaN,NaN,255.2010040283203,397.45098876953125,404.9739990234375,478.90301513671875,NaN,NaN,NaN,NaN,38.54600143432617,152.35499572753906,47.0099983215332,241.91200256347656,6.422999858856201,16.815000534057617,6.258999824523926,23.41699981689453
9,M,1,6.0,7.0,0.3319999873638153,6.283999919891357,30.31399917602539,68.427001953125,NaN,NaN,NaN,NaN,51.10499954223633,116.25499725341797,58.141998291015625,247.3699951171875,NaN,NaN,NaN,NaN,159.18899536132812,169.30099487304688,223.30599975585938,247.96400451660156,14.704999923706055,18.0939998626709,13.805000305175781,7.190000057220459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.920000076293945,21.9950008392334,12.255000114440918,75.40399932861328,30.475000381469727,31.389999389648438,24.099000930786133,19.26099967956543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.890000343322754,105.53099822998047,83.7959976196289,88.80899810791016,18.993999481201172,34.90399932861328,21.18199920654297,12.305999755859375,43.9630012512207,105.68299865722656,101.1719970703125,73.22100067138672,4.9679999351501465,41.4010009765625,69.17900085449219,29.135000228881836,45.59700012207031,58.683998107910156,65.62799835205078,118.98500061035156,NaN,NaN,NaN,NaN,10.017000198364258,36.92599868774414,42.41400146484375,58.93000030517578,6.836999893188477,25.63800048828125,19.211999893188477,12.215999603271484,40.52199935913086,34.15700149536133,68.61399841308594,85.04299926757812,54.051998138427734,70.71499633789062,40.665000915527344,155.56199645996094,NaN,NaN,NaN,NaN,246.7689971923828,420.385009765625,345.010009765625,461.5010070800781,NaN,NaN,NaN,NaN,76.33300018310547,156.64599609375,82.61900329589844,198.92300415039062,3.00600004196167,26.39900016784668,19.893999099731445,8.0600004196167
10,M,1,6.0,2.0,106.322998046875,24.733999252319336,2.380000114440918,51.5099983215332,NaN,NaN,NaN,NaN,79.20899963378906,125.88899993896484,145.13999938964844,266.7900085449219,NaN,NaN,NaN,NaN,161.07400512695312,221.0570068359375,188.90699768066406,230.56100463867188,24.305999755859375,15.58899974822998,22.24799919128418,0.09099999815225601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.907999992370605,19.312000274658203,16.929000854492188,28.06800079345703,10.487000465393066,35.316001892089844,21.910999298095703,41.244998931884766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.84700012207031,98.5270004272461,33.433998107910156,84.9010009765625,14.58899974822998,8.888999938964844,4.584000110626221,22.929000854492188,65.86599731445312,62.486000061035156,51.902000427246094,89.03500366210938,23.485000610351562,19.270999908447266,15.97599983215332,67.56500244140625,58.9119987487793,56.016998291015625,60.59000015258789,205.9739990234375,NaN,NaN,NaN,NaN,11.633000373840332,62.60599899291992,36.19300079345703,75.33799743652344,2.489000082015991,26.677000045776367,19.892000198364258,16.452999114990234,58.388999938964844,65.30799865722656,53.819000244140625,57.37099838256836,41.88199996948242,118.3759994506836,68.61699676513672,255.64199829101562,NaN,NaN,NaN,NaN,282.2720031738281,434.24798583984375,447.81201171875,436.9320068359375,NaN,NaN,NaN,NaN,46.96699905395508,156.6439971923828,123.98400115966797,248.73899841308594,4.646999835968018,18.413999557495117,10.534000396728516,15.149999618530273
