9 of 10 units, , , , ,V4e121_00, , , ,V4e122_00, , , ,V4e122_01, , , ,V4e123_00, , , ,V4e123_01, , , ,MTe080_00, , , ,MTe080_01, , , ,MTe081_00, , , ,MTe081_02, , , 
trials,task,correct,color,motion,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample
21,C,0,4.0,3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.39799976348877,5.611999988555908,59.87799835205078,99.9260025024414,0.25699999928474426,6.2820000648498535,24.34000015258789,67.0770034790039,27.417999267578125,31.808000564575195,51.132999420166016,95.88800048828125,0.2290000021457672,0.0,8.913999557495117,58.231998443603516,2.180999994277954,8.765000343322754,53.89699935913086,39.21699905395508,NaN,NaN,NaN,NaN
22,M,1,7.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.7179999351501465,49.79100036621094,13.652000427246094,121.97000122070312,0.30000001192092896,29.54800033569336,3.385999917984009,106.17900085449219,27.350000381469727,91.93199920654297,27.64900016784668,87.62999725341797,0.09700000286102295,13.12600040435791,0.09000000357627869,15.760000228881836,8.875,42.15599822998047,13.979000091552734,22.909000396728516,NaN,NaN,NaN,NaN
23,C,1,2.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.017999649047852,8.291000366210938,84.3949966430664,93.55599975585938,0.4359999895095825,12.619999885559082,50.14500045776367,127.79900360107422,24.062999725341797,24.829999923706055,21.30299949645996,69.19100189208984,2.259999990463257,0.0,0.0020000000949949026,21.827999114990234,2.3369998931884766,14.925999641418457,6.230000019073486,63.185001373291016,NaN,NaN,NaN,NaN
24,M,1,7.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.125,51.231998443603516,19.808000564575195,113.81999969482422,0.27399998903274536,20.76300048828125,4.493000030517578,114.38400268554688,66.7490005493164,84.54100036621094,126.52300262451172,173.2469940185547,NaN,NaN,NaN,NaN,75.3479995727539,82.50299835205078,46.83000183105469,93.46900177001953,NaN,NaN,NaN,NaN
25,C,1,7.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.843000411987305,9.604999542236328,47.316001892089844,127.68000030517578,4.675000190734863,0.7369999885559082,28.010000228881836,69.99099731445312,34.1609992980957,32.8390007019043,29.607999801635742,63.74300003051758,NaN,NaN,NaN,NaN,34.242000579833984,12.178999900817871,0.09600000083446503,17.929000854492188,NaN,NaN,NaN,NaN
26,C,0,4.0,5.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7860000133514404,42.6349983215332,67.93900299072266,103.59700012207031,2.562999963760376,27.909000396728516,19.47599983215332,82.27300262451172,29.783000946044922,22.391000747680664,40.47600173950195,87.625,0.057999998331069946,2.2699999809265137,0.0020000000949949026,15.098999977111816,30.277000427246094,3.2239999771118164,49.36899948120117,49.04600143432617,NaN,NaN,NaN,NaN
27,M,1,2.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.81500244140625,18.249000549316406,18.825000762939453,158.2169952392578,38.38600158691406,0.1379999965429306,32.875,73.30599975585938,29.035999298095703,115.5260009765625,23.868000030517578,74.41600036621094,0.1379999965429306,12.175999641418457,0.0010000000474974513,5.388000011444092,12.071000099182129,54.40399932861328,6.303999900817871,28.29400062561035,NaN,NaN,NaN,NaN
28,C,0,4.0,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.23100000619888306,2.244999885559082,0.019999999552965164,91.36000061035156,0.21699999272823334,0.0,0.19099999964237213,105.58000183105469,17.961000442504883,18.323999404907227,25.238000869750977,66.65399932861328,0.11999999731779099,0.0,2.2690000534057617,19.174999237060547,8.906000137329102,4.559999942779541,1.9639999866485596,9.505999565124512,NaN,NaN,NaN,NaN
29,M,0,5.0,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.838000297546387,0.06599999964237213,0.0,16.014999389648438,22.150999069213867,0.15299999713897705,0.00800000037997961,32.946998596191406,17.10099983215332,12.739999771118164,11.918999671936035,55.292999267578125,0.5569999814033508,1.8300000429153442,0.0010000000474974513,3.9820001125335693,2.2939999103546143,0.024000000208616257,4.507999897003174,14.062999725341797,NaN,NaN,NaN,NaN
30,C,1,7.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141.73199462890625,47.47200012207031,46.922000885009766,99.02200317382812,52.479000091552734,32.1349983215332,16.65399932861328,230.85899353027344,14.515999794006348,22.360000610351562,14.368000030517578,67.20800018310547,0.11999999731779099,0.0,0.0010000000474974513,31.108999252319336,0.16599999368190765,0.0,2.296999931335449,48.257999420166016,NaN,NaN,NaN,NaN
31,C,1,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.21099853515625,32.277000427246094,64.55799865722656,10.982999801635742,51.21500015258789,4.610000133514404,16.892000198364258,9.201000213623047,97.75,48.029998779296875,61.17300033569336,88.5999984741211,NaN,NaN,NaN,NaN,123.4010009765625,70.58100128173828,53.91400146484375,108.33599853515625,NaN,NaN,NaN,NaN
32,C,1,2.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3319999873638153,2.2690000534057617,0.09600000083446503,109.83200073242188,0.4169999957084656,2.2699999809265137,0.2240000069141388,216.8260040283203,55.308998107910156,40.69300079345703,67.55699920654297,83.0780029296875,NaN,NaN,NaN,NaN,78.35900115966797,62.2859992980957,77.79900360107422,50.42499923706055,NaN,NaN,NaN,NaN
33,C,1,4.0,5.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3889999985694885,0.05299999937415123,4.224999904632568,89.1520004272461,1.965000033378601,0.0,0.1120000034570694,145.44900512695312,41.457000732421875,17.945999145507812,23.09000015258789,127.49299621582031,0.0689999982714653,2.2699999809265137,0.041999999433755875,18.378999710083008,80.46600341796875,24.336999893188477,6.178999900817871,53.224998474121094,NaN,NaN,NaN,NaN
34,C,1,1.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6190000176429749,20.319000244140625,6.374000072479248,102.9520034790039,0.4880000054836273,37.50899887084961,2.2839999198913574,133.8679962158203,42.87799835205078,113.75800323486328,84.26300048828125,63.95600128173828,NaN,NaN,NaN,NaN,44.935001373291016,109.63700103759766,78.08000183105469,64.3290023803711,NaN,NaN,NaN,NaN
35,C,1,6.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3930000066757202,14.593000411987305,0.09099999815225601,89.33699798583984,0.414000004529953,20.98200035095215,0.35600000619888306,168.125,56.45199966430664,22.913000106811523,117.85399627685547,75.34100341796875,0.14900000393390656,0.0,0.007000000216066837,8.685999870300293,67.5999984741211,42.685001373291016,151.61099243164062,36.62699890136719,NaN,NaN,NaN,NaN
36,M,1,1.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.27399998903274536,0.0010000000474974513,4.547999858856201,51.31800079345703,0.26899999380111694,0.0010000000474974513,4.413000106811523,115.58999633789062,4.485000133514404,15.067000389099121,30.624000549316406,35.231998443603516,NaN,NaN,NaN,NaN,2.453000068664551,14.402999877929688,6.235000133514404,11.204000473022461,NaN,NaN,NaN,NaN
37,C,1,6.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.502999782562256,2.433000087738037,6.61299991607666,92.86699676513672,2.5339999198913574,0.0020000000949949026,6.918000221252441,136.94000244140625,17.981000900268555,29.231000900268555,21.631999969482422,85.54299926757812,NaN,NaN,NaN,NaN,3.3910000324249268,7.510000228881836,4.2230000495910645,8.836999893188477,NaN,NaN,NaN,NaN
38,C,0,2.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.668000221252441,2.234999895095825,3.6070001125335693,108.58000183105469,11.581000328063965,0.0989999994635582,0.2939999997615814,269.8160095214844,20.82900047302246,18.672000885009766,16.58799934387207,107.94200134277344,0.07999999821186066,0.0,0.7070000171661377,38.96099853515625,4.85099983215332,27.555999755859375,4.5269999504089355,86.1989974975586,0.07400000095367432,0.0,0.0729999989271164,29.11199951171875
39,C,1,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.71299743652344,0.15399999916553497,6.388999938964844,85.55699920654297,4.4730000495910645,0.050999999046325684,28.899999618530273,203.3159942626953,40.099998474121094,39.78300094604492,14.739999771118164,30.89699935913086,NaN,NaN,NaN,NaN,5.5279998779296875,37.875,2.492000102996826,38.85100173950195,NaN,NaN,NaN,NaN
40,C,0,5.0,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.855000019073486,0.05000000074505806,6.353000164031982,105.8270034790039,0.3310000002384186,0.0,24.900999069213867,131.59100341796875,94.52300262451172,62.345001220703125,98.94100189208984,97.80799865722656,NaN,NaN,NaN,NaN,131.67999267578125,49.36199951171875,116.98500061035156,14.371000289916992,NaN,NaN,NaN,NaN
41,M,1,6.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6859999895095825,17.55500030517578,13.701000213623047,91.88200378417969,0.3310000002384186,12.706999778747559,30.05699920654297,87.23600006103516,36.4109992980957,39.816001892089844,15.90999984741211,100.29299926757812,NaN,NaN,NaN,NaN,43.0260009765625,4.635000228881836,2.259000062942505,67.9280014038086,NaN,NaN,NaN,NaN
42,C,1,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.23999999463558197,0.05000000074505806,4.546999931335449,83.40799713134766,0.3490000069141388,0.02500000037252903,2.628999948501587,196.4219970703125,77.197998046875,88.73500061035156,66.99600219726562,86.56500244140625,NaN,NaN,NaN,NaN,8.673999786376953,8.29800033569336,47.75699996948242,48.08399963378906,NaN,NaN,NaN,NaN
43,M,1,2.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0689999982714653,0.0010000000474974513,6.3379998207092285,25.89900016784668,0.05700000002980232,0.0,0.0010000000474974513,26.719999313354492,93.82499694824219,24.17300033569336,90.67400360107422,86.33200073242188,NaN,NaN,NaN,NaN,95.37300109863281,18.459999084472656,78.59300231933594,71.1449966430664,NaN,NaN,NaN,NaN
44,C,0,1.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.562999963760376,0.050999999046325684,26.69099998474121,116.25399780273438,0.4690000116825104,0.061000000685453415,24.979999542236328,181.7570037841797,52.59400177001953,69.37999725341797,82.99700164794922,130.58099365234375,NaN,NaN,NaN,NaN,56.68299865722656,79.697998046875,137.4199981689453,124.64600372314453,NaN,NaN,NaN,NaN
45,M,1,1.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.41100311279297,20.31599998474121,80.46600341796875,106.93099975585938,0.3140000104904175,16.28499984741211,29.714000701904297,95.28700256347656,10.800000190734863,19.38800048828125,21.875,39.12799835205078,NaN,NaN,NaN,NaN,4.326000213623047,2.2769999504089355,6.179999828338623,35.803001403808594,NaN,NaN,NaN,NaN
46,M,1,6.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.050999999046325684,0.0,0.0020000000949949026,19.333999633789062,0.03999999910593033,0.0,0.0,18.868000030517578,18.79599952697754,26.63599967956543,28.14699935913086,50.62799835205078,NaN,NaN,NaN,NaN,2.5269999504089355,27.95199966430664,6.091000080108643,30.881000518798828,NaN,NaN,NaN,NaN
47,M,1,4.0,3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.1719970703125,51.084999084472656,67.7979965209961,126.20700073242188,NaN,NaN,NaN,NaN,116.52300262451172,58.215999603271484,62.895999908447266,115.88400268554688,NaN,NaN,NaN,NaN
48,M,1,7.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.040000915527344,83.59200286865234,54.72999954223633,149.20700073242188,NaN,NaN,NaN,NaN,46.40299987792969,74.33000183105469,74.77200317382812,150.322998046875,NaN,NaN,NaN,NaN
49,M,1,6.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.564000129699707,9.484000205993652,16.954999923706055,29.8439998626709,NaN,NaN,NaN,NaN,4.400000095367432,3.378999948501587,4.848999977111816,26.975000381469727,NaN,NaN,NaN,NaN
50,C,0,6.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.556000232696533,0.0,0.0989999994635582,53.97100067138672,2.3910000324249268,0.0,0.09700000286102295,83.4520034790039,27.270000457763672,40.11899948120117,8.73799991607666,60.45100021362305,7.185999870300293,0.0,0.0020000000949949026,21.76099967956543,17.378999710083008,46.29100036621094,4.513999938964844,63.71799850463867,NaN,NaN,NaN,NaN
51,M,1,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0689999982714653,4.459000110626221,2.2809998989105225,4.249000072479248,0.03400000184774399,4.482999801635742,0.05000000074505806,0.04500000178813934,30.985000610351562,28.781999588012695,6.2779998779296875,26.44700050354004,19.85099983215332,2.2699999809265137,0.0010000000474974513,1.0329999923706055,23.988000869750977,3.8410000801086426,7.340000152587891,18.913000106811523,NaN,NaN,NaN,NaN
52,M,1,6.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.4079999923706055,63.611000061035156,16.426000595092773,18.333999633789062,NaN,NaN,NaN,NaN,18.211000442504883,87.68299865722656,18.10099983215332,46.055999755859375,NaN,NaN,NaN,NaN
53,M,1,1.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.421000003814697,0.0,0.0020000000949949026,19.302000045776367,NaN,NaN,NaN,NaN,7.660999774932861,24.108999252319336,8.713000297546387,44.12799835205078,NaN,NaN,NaN,NaN,12.49899959564209,29.16200065612793,18.54800033569336,38.81100082397461,NaN,NaN,NaN,NaN
54,M,1,7.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.87200164794922,74.61599731445312,56.22100067138672,114.94499969482422,NaN,NaN,NaN,NaN,48.28200149536133,117.43199920654297,62.733001708984375,100.0719985961914,NaN,NaN,NaN,NaN
55,M,1,6.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03400000184774399,0.04699999839067459,12.519000053405762,0.05999999865889549,0.03999999910593033,0.020999999716877937,14.458999633789062,0.0,16.086999893188477,18.13800048828125,12.440999984741211,43.814998626708984,NaN,NaN,NaN,NaN,4.5980000495910645,3.9240000247955322,4.839000225067139,36.46900177001953,NaN,NaN,NaN,NaN
56,M,1,2.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.366000175476074,11.298999786376953,101.29900360107422,105.1240005493164,NaN,NaN,NaN,NaN,2.9619998931884766,4.736999988555908,139.677001953125,110.87100219726562,NaN,NaN,NaN,NaN
57,M,1,6.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.507999897003174,46.75899887084961,37.395999908447266,15.277999877929688,NaN,NaN,NaN,NaN,16.059999465942383,40.319000244140625,51.47999954223633,9.975000381469727,NaN,NaN,NaN,NaN
58,M,1,6.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.559999942779541,0.0,0.01899999938905239,35.202999114990234,7.742000102996826,0.0,0.010999999940395355,55.361000061035156,78.052001953125,60.37699890136719,46.558998107910156,149.26100158691406,NaN,NaN,NaN,NaN,97.91400146484375,75.97799682617188,65.15399932861328,130.96200561523438,NaN,NaN,NaN,NaN
