30 of 38 units, , , , ,V4e043_00, , , ,V4e043_01, , , ,V4e044_00, , , ,V4e045_00, , , ,V4e046_00, , , ,V4e047_00, , , ,V4e048_00, , , ,V4e048_01, , , ,V4e052_00, , , ,V4e052_01, , , ,V4e052_02, , , ,V4e052_03, , , ,V4e052_04, , , ,V4e053_00, , , ,V4e053_01, , , ,V4e054_00, , , ,MTe037_00, , , ,MTe038_00, , , ,MTe039_00, , , ,MTe039_02, , , ,MTe040_00, , , ,MTe041_00, , , ,MTe041_01, , , ,MTe042_00, , , ,MTe042_02, , , ,MTe049_00, , , ,MTe050_00, , , ,MTe050_01, , , ,MTe051_00, , , ,MTe051_01, , , 
trials,task,correct,color,motion,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample
1,C,1,6.0,6.0,86.40499877929688,77.53099822998047,148.8719940185547,88.88700103759766,0.18199999630451202,6.7129998207092285,14.717000007629395,10.133999824523926,66.6780014038086,139.08200073242188,231.19900512695312,108.11799621582031,6.85699987411499,13.902999877929688,26.850000381469727,6.705999851226807,125.42900085449219,119.86599731445312,170.6820068359375,174.38299560546875,NaN,NaN,NaN,NaN,74.58200073242188,155.77699279785156,127.28800201416016,250.19500732421875,NaN,NaN,NaN,NaN,14.34000015258789,85.08999633789062,73.11699676513672,86.24199676513672,0.07400000095367432,11.807999610900879,11.163000106811523,3.997999906539917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03999999910593033,4.236000061035156,0.0010000000474974513,4.005000114440918,83.11199951171875,101.4469985961914,42.51499938964844,114.18599700927734,20.416000366210938,22.865999221801758,6.245999813079834,38.21500015258789,49.77299880981445,132.94000244140625,94.75599670410156,111.58100128173828,182.86399841308594,243.51800537109375,206.65499877929688,310.5450134277344,99.35099792480469,37.244998931884766,69.0250015258789,312.89599609375,101.1760025024414,101.87899780273438,72.9020004272461,180.68800354003906,NaN,NaN,NaN,NaN,32.724998474121094,123.90699768066406,131.7790069580078,169.63699340820312,6.982999801635742,25.187000274658203,16.417999267578125,89.13099670410156,NaN,NaN,NaN,NaN,36.20500183105469,88.83399963378906,70.74199676513672,119.13600158691406,28.52199935913086,46.91400146484375,39.20899963378906,99.2300033569336,48.33700180053711,72.34100341796875,23.89699935913086,49.69900131225586,25.349000930786133,26.09600067138672,29.152999877929688,16.04599952697754,16.56399917602539,0.0020000000949949026,8.628999710083008,0.0020000000949949026,44.1870002746582,47.76599884033203,25.599000930786133,48.236000061035156,18.815000534057617,18.159000396728516,10.331999778747559,18.8799991607666
2,M,1,1.0,2.0,132.6790008544922,165.2689971923828,116.56900024414062,95.74800109863281,8.465999603271484,2.446000099182129,8.843999862670898,0.04500000178813934,136.83700561523438,80.29499816894531,133.80499267578125,34.47999954223633,12.71399974822998,16.691999435424805,14.394000053405762,2.6410000324249268,227.93299865722656,155.9149932861328,204.0500030517578,248.91299438476562,NaN,NaN,NaN,NaN,113.88899993896484,95.48200225830078,204.23599243164062,287.6789855957031,NaN,NaN,NaN,NaN,77.31400299072266,122.37000274658203,100.09600067138672,146.4239959716797,8.479000091552734,18.339000701904297,12.579000473022461,7.585999965667725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.292999267578125,52.426998138427734,40.46900177001953,89.83300018310547,0.2290000021457672,13.11400032043457,12.442999839782715,21.134000778198242,36.52299880981445,69.58000183105469,35.676998138427734,90.00499725341797,234.5030059814453,295.9129943847656,220.0489959716797,223.83900451660156,21.844999313354492,114.57599639892578,105.24199676513672,325.281005859375,66.9020004272461,138.83999633789062,106.68000030517578,102.58300018310547,NaN,NaN,NaN,NaN,41.6879997253418,71.9489974975586,68.91300201416016,73.69000244140625,11.845000267028809,46.36899948120117,40.667999267578125,60.744998931884766,NaN,NaN,NaN,NaN,37.74100112915039,72.02400207519531,69.43599700927734,82.95500183105469,39.08000183105469,50.375999450683594,46.74700164794922,68.85099792480469,51.38600158691406,24.009000778198242,25.89699935913086,89.00900268554688,58.652000427246094,0.01899999938905239,10.682999610900879,42.887001037597656,19.833999633789062,0.0010000000474974513,0.21899999678134918,11.039999961853027,23.7189998626709,10.133999824523926,2.4549999237060547,18.663000106811523,23.711000442504883,12.786999702453613,10.133999824523926,16.863000869750977
3,C,1,7.0,6.0,101.572998046875,171.75999450683594,151.91700744628906,87.06400299072266,0.16500000655651093,11.298999786376953,29.31800079345703,19.459999084472656,82.6520004272461,159.7050018310547,249.7239990234375,119.23500061035156,11.944000244140625,25.332000732421875,33.81399917602539,21.0,46.33300018310547,183.01300048828125,178.14599609375,173.7779998779297,NaN,NaN,NaN,NaN,93.50499725341797,143.31900024414062,138.61199951171875,223.38099670410156,NaN,NaN,NaN,NaN,76.322998046875,98.60600280761719,94.1449966430664,119.27300262451172,14.979999542236328,14.12399959564209,14.276000022888184,0.41600000858306885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4159998893737793,17.395000457763672,6.318999767303467,26.983999252319336,56.00400161743164,97.7770004272461,80.03800201416016,115.75800323486328,21.992000579833984,35.0629997253418,24.47599983215332,35.555999755859375,82.90399932861328,148.29100036621094,50.89500045776367,88.73400115966797,218.89100646972656,275.4830017089844,220.49200439453125,244.4720001220703,63.07400131225586,162.29100036621094,69.28800201416016,207.52000427246094,57.63199996948242,159.0449981689453,136.92999267578125,95.5199966430664,NaN,NaN,NaN,NaN,28.93400001525879,116.16100311279297,131.93099975585938,58.68299865722656,14.994000434875488,32.40999984741211,30.677000045776367,77.10199737548828,NaN,NaN,NaN,NaN,33.19900131225586,61.185001373291016,60.79499816894531,93.06900024414062,25.3439998626709,55.62300109863281,34.018001556396484,89.34300231933594,66.19000244140625,70.78900146484375,36.4640007019043,92.50599670410156,16.07900047302246,21.888999938964844,28.27899932861328,34.64799880981445,0.0860000029206276,2.2750000953674316,13.904000282287598,19.469999313354492,12.737000465393066,17.694000244140625,27.48699951171875,19.989999771118164,11.911999702453613,18.525999069213867,15.1850004196167,25.797000885009766
4,M,1,6.0,7.0,84.56400299072266,131.8489990234375,202.57899475097656,80.59400177001953,10.670000076293945,8.972000122070312,0.02199999988079071,0.05000000074505806,51.53099822998047,96.2030029296875,72.22899627685547,32.13600158691406,8.368000030517578,18.281999588012695,4.829999923706055,4.039999961853027,76.45500183105469,105.54299926757812,114.89199829101562,74.56099700927734,NaN,NaN,NaN,NaN,34.50199890136719,121.83200073242188,93.94400024414062,257.0450134277344,NaN,NaN,NaN,NaN,55.81100082397461,76.71499633789062,86.76399993896484,80.89900207519531,24.61400032043457,10.907999992370605,6.211999893188477,4.0269999504089355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.14699935913086,70.66999816894531,79.2770004272461,86.09600067138672,9.831999778747559,25.27199935913086,24.121000289916992,23.249000549316406,91.55899810791016,101.44599914550781,74.5739974975586,65.90299987792969,236.78799438476562,276.16900634765625,209.5749969482422,368.4410095214844,70.1760025024414,101.66300201416016,63.7760009765625,199.15699768066406,71.23899841308594,143.02099609375,173.61300659179688,258.85198974609375,NaN,NaN,NaN,NaN,20.924999237060547,61.23400115966797,96.927001953125,88.10800170898438,12.501999855041504,33.064998626708984,36.8489990234375,72.74099731445312,NaN,NaN,NaN,NaN,33.571998596191406,43.132999420166016,48.66600036621094,75.40799713134766,24.47599983215332,38.14500045776367,44.141998291015625,82.01300048828125,80.2760009765625,54.90399932861328,43.9379997253418,60.33399963378906,43.178001403808594,23.959999084472656,49.86800003051758,30.670000076293945,5.960999965667725,7.177000045776367,6.039999961853027,0.5989999771118164,48.30099868774414,22.618999481201172,36.301998138427734,42.32400131225586,7.71999979019165,14.130000114440918,15.439000129699707,26.856000900268555
5,M,1,1.0,2.0,87.52200317382812,178.63600158691406,143.2740020751953,124.33000183105469,6.283999919891357,10.256999969482422,6.544000148773193,3.2179999351501465,73.00299835205078,123.23100280761719,168.7969970703125,148.05499267578125,4.355000019073486,20.333999633789062,19.339000701904297,32.034000396728516,95.72799682617188,175.86099243164062,242.13400268554688,217.97300720214844,0.052000001072883606,4.478000164031982,6.242000102996826,1.8380000591278076,43.803001403808594,75.55500030517578,104.41500091552734,317.74700927734375,NaN,NaN,NaN,NaN,62.3849983215332,85.12000274658203,54.448001861572266,107.7040023803711,8.788000106811523,17.20400047302246,0.029999999329447746,7.264999866485596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.413000106811523,14.793999671936035,4.5320000648498535,13.326000213623047,82.07499694824219,75.69000244140625,66.0739974975586,78.37899780273438,12.090999603271484,14.760000228881836,18.138999938964844,15.35099983215332,23.253000259399414,81.10700225830078,84.93800354003906,58.540000915527344,158.76499938964844,185.84500122070312,212.94200134277344,294.4429931640625,84.91600036621094,67.47200012207031,71.8219985961914,303.4119873046875,112.6760025024414,97.93699645996094,126.01799774169922,254.18800354003906,NaN,NaN,NaN,NaN,19.670000076293945,90.52899932861328,73.76599884033203,84.52400207519531,18.5310001373291,14.480999946594238,18.409000396728516,82.49700164794922,NaN,NaN,NaN,NaN,40.027000427246094,51.108001708984375,65.2030029296875,84.11599731445312,31.832000732421875,51.02199935913086,54.44499969482422,90.66999816894531,71.8740005493164,56.10100173950195,29.27400016784668,124.0780029296875,35.01599884033203,36.94200134277344,26.332000732421875,10.680999755859375,2.382999897003174,8.430999755859375,0.0,1.0479999780654907,54.63800048828125,54.24100112915039,51.928001403808594,58.380001068115234,16.714000701904297,14.39799976348877,18.43199920654297,22.788000106811523
6,C,1,6.0,6.0,56.064998626708984,126.91500091552734,115.8030014038086,102.31199645996094,7.986999988555908,4.519000053405762,0.0,0.0,128.16200256347656,57.19200134277344,78.8280029296875,67.40699768066406,2.2890000343322754,0.014999999664723873,2.2690000534057617,2.571000099182129,144.1750030517578,138.6020050048828,82.09600067138672,258.3009948730469,NaN,NaN,NaN,NaN,153.72900390625,134.3470001220703,100.60900115966797,199.5469970703125,NaN,NaN,NaN,NaN,71.83399963378906,101.78299713134766,69.09400177001953,70.81999969482422,4.739999771118164,29.57200050354004,7.955999851226807,0.04699999839067459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.275000095367432,2.5269999504089355,0.0010000000474974513,9.833000183105469,82.49299621582031,55.51499938964844,102.81800079345703,71.77300262451172,29.68000030517578,14.194000244140625,19.82200050354004,19.67300033569336,30.726999282836914,59.41600036621094,27.009000778198242,88.81900024414062,210.16600036621094,198.802001953125,162.00100708007812,297.9840087890625,65.6520004272461,63.63600158691406,30.625,181.63099670410156,75.62100219726562,45.551998138427734,62.0880012512207,144.9980010986328,NaN,NaN,NaN,NaN,10.305000305175781,113.34600067138672,43.87699890136719,86.7490005493164,6.709000110626221,24.56399917602539,18.386999130249023,57.073001861572266,NaN,NaN,NaN,NaN,39.87799835205078,37.87300109863281,56.9119987487793,78.40399932861328,31.570999145507812,38.34000015258789,33.66899871826172,65.98200225830078,35.97200012207031,80.96199798583984,41.611000061035156,87.98300170898438,30.73200035095215,28.384000778198242,36.99100112915039,7.436999797821045,8.970999717712402,0.0,2.2699999809265137,0.003000000026077032,46.11600112915039,37.85499954223633,29.989999771118164,37.143001556396484,15.074999809265137,11.631999969482422,6.046999931335449,24.114999771118164
7,M,0,5.0,4.0,93.78500366210938,171.24200439453125,141.72300720214844,31.97100067138672,NaN,NaN,NaN,NaN,86.00399780273438,87.79399871826172,71.48300170898438,49.48500061035156,10.51099967956543,20.41900062561035,4.873000144958496,3.684000015258789,113.4749984741211,210.87100219726562,51.737998962402344,252.14999389648438,NaN,NaN,NaN,NaN,37.16999816894531,106.88400268554688,56.198001861572266,169.54800415039062,NaN,NaN,NaN,NaN,53.19599914550781,149.90699768066406,62.57600021362305,105.21099853515625,6.414000034332275,27.892000198364258,12.98900032043457,7.831999778747559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.486999988555908,0.0,0.6380000114440918,2.9730000495910645,69.7699966430664,76.55799865722656,91.29900360107422,62.801998138427734,6.918000221252441,17.316999435424805,27.81399917602539,21.886999130249023,18.045000076293945,111.66600036621094,29.250999450683594,85.40899658203125,245.26199340820312,275.6080017089844,202.43699645996094,246.8209991455078,79.85199737548828,135.08599853515625,118.93599700927734,254.30999755859375,151.65899658203125,172.5959930419922,102.14299774169922,140.73500061035156,NaN,NaN,NaN,NaN,15.95199966430664,94.08499908447266,73.23400115966797,46.354000091552734,9.116000175476074,38.42300033569336,64.89199829101562,51.757999420166016,NaN,NaN,NaN,NaN,39.10100173950195,56.79800033569336,72.94300079345703,70.10700225830078,42.18000030517578,50.34299850463867,54.691001892089844,84.78700256347656,82.96700286865234,91.4739990234375,43.47999954223633,98.41999816894531,46.25699996948242,24.913000106811523,71.35399627685547,7.452000141143799,2.305999994277954,0.027000000700354576,6.734000205993652,0.9769999980926514,1.7430000305175781,2.944999933242798,2.2750000953674316,3.984999895095825,15.89799976348877,18.020999908447266,10.220000267028809,33.68299865722656
8,C,1,7.0,7.0,91.5780029296875,95.70800018310547,197.7740020751953,59.58300018310547,10.515999794006348,12.619999885559082,34.08100128173828,0.1459999978542328,106.28700256347656,131.0500030517578,191.8000030517578,31.711999893188477,5.50600004196167,8.991000175476074,29.9689998626709,7.806000232696533,142.2830047607422,188.66000366210938,231.11700439453125,119.60399627685547,NaN,NaN,NaN,NaN,46.202999114990234,126.38899993896484,133.0500030517578,216.37399291992188,NaN,NaN,NaN,NaN,66.60900115966797,81.26200103759766,110.21499633789062,132.03199768066406,2.4809999465942383,6.460999965667725,28.273000717163086,19.368000030517578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.25800323486328,68.04399871826172,61.20800018310547,130.3820037841797,6.202000141143799,12.348999977111816,4.4679999351501465,23.687000274658203,34.611000061035156,143.62100219726562,94.5250015258789,97.80799865722656,278.92401123046875,253.41200256347656,173.21099853515625,331.38800048828125,172.99899291992188,98.56500244140625,45.104000091552734,124.85900115966797,103.80000305175781,112.11399841308594,82.13899993896484,177.0019989013672,NaN,NaN,NaN,NaN,34.24100112915039,122.64800262451172,170.9429931640625,106.90299987792969,30.302000045776367,36.35599899291992,27.458999633789062,118.77899932861328,NaN,NaN,NaN,NaN,35.47800064086914,49.577999114990234,75.56700134277344,55.69900131225586,63.95600128173828,48.724998474121094,33.13999938964844,73.68800354003906,65.48699951171875,68.36799621582031,32.16299819946289,116.90799713134766,19.70599937438965,19.368999481201172,16.388999938964844,67.8759994506836,10.86400032043457,0.02199999988079071,2.244999885559082,0.1340000033378601,8.543000221252441,0.0,4.254000186920166,12.093999862670898,8.37399959564209,8.197999954223633,4.297999858856201,21.86199951171875
9,C,1,3.0,4.0,101.48200225830078,209.8560028076172,139.0469970703125,33.23099899291992,9.027000427246094,14.571000099182129,21.697999954223633,5.078000068664551,23.051000595092773,116.28099822998047,67.77200317382812,39.16400146484375,2.4110000133514404,20.47599983215332,8.449999809265137,7.861999988555908,68.74400329589844,143.55999755859375,116.6969985961914,161.71200561523438,0.050999999046325684,5.439000129699707,5.4730000495910645,11.892999649047852,32.15700149536133,80.33599853515625,114.0530014038086,219.46400451660156,NaN,NaN,NaN,NaN,62.11800003051758,106.96499633789062,62.27199935913086,103.54299926757812,1.3869999647140503,18.285999298095703,10.173999786376953,29.03700065612793,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.159000396728516,94.9000015258789,79.38899993896484,136.03199768066406,12.574999809265137,2.246000051498413,4.033999919891357,32.3380012512207,19.358999252319336,120.48899841308594,80.6240005493164,73.94000244140625,252.06100463867188,226.21200561523438,191.39700317382812,272.65899658203125,47.694000244140625,105.33999633789062,95.5770034790039,278.8789978027344,77.56700134277344,82.61000061035156,134.50100708007812,160.03599548339844,NaN,NaN,NaN,NaN,35.284000396728516,89.8949966430664,103.91200256347656,78.38200378417969,13.359999656677246,32.0629997253418,27.551000595092773,68.8280029296875,NaN,NaN,NaN,NaN,38.28900146484375,37.9630012512207,47.83399963378906,78.58899688720703,28.900999069213867,45.45899963378906,33.624000549316406,77.63999938964844,23.4689998626709,66.70700073242188,27.097999572753906,84.56600189208984,18.31999969482422,16.267000198364258,11.329999923706055,46.04199981689453,0.04600000008940697,0.0,2.203000068664551,9.944000244140625,15.229999542236328,36.2130012512207,5.761000156402588,35.30099868774414,2.183000087738037,2.2760000228881836,10.538999557495117,18.25200080871582
10,M,1,5.0,4.0,67.2249984741211,141.42100524902344,129.04600524902344,94.13099670410156,3.556999921798706,11.157999992370605,8.64799976348877,0.07400000095367432,61.87900161743164,123.40699768066406,146.93600463867188,124.41699981689453,4.311999797821045,23.06399917602539,20.615999221801758,30.075000762939453,91.31700134277344,154.91000366210938,258.1700134277344,168.87600708007812,NaN,NaN,NaN,NaN,55.48500061035156,38.9109992980957,145.80599975585938,220.58399963378906,NaN,NaN,NaN,NaN,31.79400062561035,64.89700317382812,49.49700164794922,83.46800231933594,0.10300000011920929,0.0,0.04899999871850014,11.255000114440918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,119.41500091552734,45.92499923706055,73.47000122070312,61.44900131225586,18.79800033569336,6.191999912261963,8.873000144958496,36.4109992980957,35.380001068115234,75.76799774169922,94.20800018310547,133.1230010986328,204.8820037841797,254.10000610351562,208.27000427246094,287.72698974609375,86.08200073242188,162.0959930419922,76.77200317382812,297.8800048828125,34.92100143432617,133.2310028076172,101.81199645996094,128.9720001220703,NaN,NaN,NaN,NaN,30.131000518798828,88.26699829101562,88.54499816894531,72.3010025024414,14.795999526977539,14.321000099182129,21.33300018310547,70.78900146484375,NaN,NaN,NaN,NaN,27.54400062561035,56.090999603271484,47.83700180053711,87.85299682617188,46.722999572753906,58.91999816894531,42.2859992980957,77.74600219726562,28.4060001373291,77.625,47.564998626708984,81.08100128173828,3.750999927520752,18.618000030517578,12.654000282287598,21.738000869750977,0.07199999690055847,11.180999755859375,0.04500000178813934,0.0010000000474974513,65.23899841308594,62.95100021362305,52.999000549316406,54.41999816894531,9.661999702453613,8.777000427246094,4.372000217437744,27.114999771118164
