46 of 52 units, , , , ,V4e040_00, , , ,V4e041_00, , , ,V4e042_00, , , ,V4e043_00, , , ,V4e043_02, , , ,V4e043_03, , , ,V4e043_04, , , ,V4e044_00, , , ,V4e044_01, , , ,V4e044_02, , , ,V4e044_03, , , ,V4e045_00, , , ,V4e045_03, , , ,V4e045_04, , , ,V4e045_05, , , ,V4e045_06, , , ,V4e047_00, , , ,V4e048_00, , , ,V4e052_00, , , ,V4e053_00, , , ,V4e054_00, , , ,V4e055_00, , , ,V4e055_01, , , ,V4e056_00, , , ,V4e056_01, , , ,V4e057_00, , , ,MTe034_00, , , ,MTe034_01, , , ,MTe034_02, , , ,MTe034_03, , , ,MTe034_04, , , ,MTe035_00, , , ,MTe035_01, , , ,MTe036_00, , , ,MTe036_01, , , ,MTe036_02, , , ,MTe036_03, , , ,MTe037_00, , , ,MTe037_01, , , ,MTe038_00, , , ,MTe039_00, , , ,MTe039_01, , , ,MTe049_00, , , ,MTe049_02, , , ,MTe051_00, , , ,MTe051_01, , , 
trials,task,correct,color,motion,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample
1,M,1,3.0,4.0,18.368999481201172,11.550999641418457,20.31800079345703,44.29100036621094,17.038999557495117,3.6419999599456787,4.2170000076293945,4.323999881744385,10.37399959564209,15.277999877929688,9.210000038146973,12.753000259399414,48.65999984741211,106.36599731445312,113.2760009765625,80.14099884033203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.49799919128418,28.5310001373291,20.607999801635742,0.07400000095367432,67.62899780273438,102.31300354003906,62.667999267578125,72.4020004272461,14.875,96.87799835205078,65.16200256347656,29.573999404907227,27.066999435424805,73.68599700927734,79.68399810791016,31.865999221801758,NaN,NaN,NaN,NaN,81.29000091552734,108.45099639892578,73.447998046875,53.16600036621094,3.3269999027252197,7.379000186920166,8.508999824523926,21.552000045776367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.04899978637695,53.88600158691406,58.573001861572266,20.57699966430664,84.97799682617188,151.8719940185547,90.08899688720703,133.46400451660156,79.7750015258789,131.3260040283203,96.28199768066406,193.07899475097656,50.108001708984375,135.19200134277344,110.49199676513672,212.7989959716797,6.36299991607666,18.308000564575195,11.586000442504883,32.69200134277344,6.564000129699707,17.040000915527344,32.61399841308594,31.812000274658203,91.64600372314453,246.7209930419922,200.06399536132812,247.6199951171875,5.004000186920166,10.505999565124512,1.8240000009536743,23.650999069213867,59.42900085449219,58.53499984741211,57.90599822998047,135.82200622558594,20.753000259399414,8.225000381469727,11.232999801635742,14.661999702453613,128.4980010986328,232.4810028076172,107.62899780273438,270.656005859375,10.880999565124512,33.874000549316406,14.847000122070312,57.75400161743164,50.30099868774414,24.113000869750977,41.130001068115234,16.19300079345703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.51699829101562,93.50299835205078,118.79399871826172,280.3949890136719,NaN,NaN,NaN,NaN,18.858999252319336,18.452999114990234,43.29100036621094,59.270999908447266,10.984999656677246,30.503999710083008,92.55599975585938,28.09000015258789,0.6589999794960022,6.298999786376953,4.414999961853027,18.05500030517578,NaN,NaN,NaN,NaN,55.6609992980957,135.26800537109375,120.65699768066406,404.3590087890625,NaN,NaN,NaN,NaN,166.947998046875,182.66299438476562,209.57200622558594,285.7510070800781,60.35300064086914,125.65499877929688,81.51499938964844,206.43899536132812,62.917999267578125,61.856998443603516,54.9010009765625,37.058998107910156,68.66300201416016,41.819000244140625,37.24399948120117,74.36199951171875,NaN,NaN,NaN,NaN,45.57500076293945,42.83700180053711,45.249000549316406,44.70399856567383,NaN,NaN,NaN,NaN
2,C,1,6.0,7.0,10.286999702453613,8.75,16.374000549316406,22.13800048828125,NaN,NaN,NaN,NaN,6.59499979019165,18.134000778198242,14.51200008392334,11.190999984741211,83.68299865722656,101.1719970703125,96.86799621582031,35.89099884033203,2.312000036239624,4.51200008392334,2.244999885559082,0.0,3.7049999237060547,22.673999786376953,3.7839999198913574,0.0,28.517000198364258,66.24500274658203,39.86399841308594,16.35099983215332,17.584999084472656,74.81500244140625,55.027000427246094,78.68599700927734,0.4309999942779541,52.97600173950195,42.224998474121094,27.847999572753906,13.48799991607666,69.49099731445312,75.62799835205078,46.165000915527344,NaN,NaN,NaN,NaN,56.6150016784668,65.13300323486328,59.57600021362305,50.27000045776367,17.229999542236328,10.807000160217285,2.246000051498413,3.953000068664551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.80299949645996,36.64099884033203,28.291000366210938,34.237998962402344,53.85499954223633,174.01100158691406,159.11500549316406,101.27300262451172,217.64300537109375,144.2220001220703,131.2010040283203,178.47999572753906,53.25899887084961,99.43399810791016,66.6500015258789,114.76699829101562,4.570000171661377,16.270999908447266,4.849999904632568,38.81399917602539,6.695000171661377,20.457000732421875,13.694000244140625,56.96200180053711,182.17799377441406,183.9600067138672,141.48599243164062,186.91799926757812,3.565000057220459,0.0,0.03799999877810478,24.117000579833984,44.11199951171875,128.90199279785156,72.63200378417969,107.43900299072266,10.529999732971191,8.65999984741211,6.677999973297119,27.534000396728516,150.75,112.60199737548828,75.72200012207031,336.85198974609375,14.48799991607666,26.888999938964844,24.14699935913086,42.94900131225586,28.038999557495117,17.860000610351562,54.97600173950195,53.24300003051758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,106.73799896240234,115.95500183105469,154.42100524902344,276.0,0.07000000029802322,4.238999843597412,6.434999942779541,3.9830000400543213,16.875,35.90800094604492,22.378000259399414,94.26699829101562,6.980999946594238,25.409000396728516,55.310001373291016,26.020000457763672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.86900329589844,111.86499786376953,151.3730010986328,365.24200439453125,NaN,NaN,NaN,NaN,137.89199829101562,181.29800415039062,225.843994140625,280.6130065917969,46.08599853515625,64.78700256347656,96.41100311279297,210.38699340820312,64.14600372314453,23.535999298095703,38.86000061035156,53.584999084472656,35.332000732421875,37.04199981689453,38.619998931884766,115.16600036621094,NaN,NaN,NaN,NaN,83.55999755859375,45.09000015258789,39.573001861572266,37.35900115966797,NaN,NaN,NaN,NaN
3,M,1,2.0,6.0,7.7729997634887695,10.38700008392334,11.454000473022461,49.65599822998047,NaN,NaN,NaN,NaN,10.447999954223633,6.453999996185303,6.982999801635742,10.689000129699707,60.073001861572266,30.025999069213867,49.5989990234375,55.040000915527344,NaN,NaN,NaN,NaN,8.782999992370605,0.02500000037252903,2.244999885559082,0.04500000178813934,37.79100036621094,15.802000045776367,22.820999145507812,5.239999771118164,29.4950008392334,74.2239990234375,93.97599792480469,61.51100158691406,0.41499999165534973,56.89699935913086,46.75699996948242,16.81999969482422,30.003000259399414,69.14800262451172,70.1719970703125,22.79199981689453,0.050999999046325684,0.020999999716877937,6.1579999923706055,8.732000350952148,57.18600082397461,115.06999969482422,94.1729965209961,29.336999893188477,10.598999977111816,6.572999954223633,2.2669999599456787,13.458999633789062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.079999923706055,70.68499755859375,63.698001861572266,23.319000244140625,85.93199920654297,133.96800231933594,131.33599853515625,28.100000381469727,145.7570037841797,115.44300079345703,197.03900146484375,197.71400451660156,74.9000015258789,116.31099700927734,80.97000122070312,133.26600646972656,16.344999313354492,10.324999809265137,9.574000358581543,18.61199951171875,10.5,28.267000198364258,22.549999237060547,58.04100036621094,77.76000213623047,159.67999267578125,185.55999755859375,252.02499389648438,6.2779998779296875,8.631999969482422,2.4049999713897705,4.0289998054504395,70.94999694824219,108.08499908447266,100.7030029296875,96.33799743652344,30.5049991607666,16.347000122070312,12.531000137329102,8.315999984741211,135.1540069580078,188.9949951171875,178.1179962158203,224.927001953125,23.5939998626709,28.263999938964844,15.8100004196167,13.965999603271484,27.819000244140625,54.88199996948242,36.801998138427734,78.00499725341797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.27100372314453,108.63800048828125,131.11500549316406,250.6790008544922,NaN,NaN,NaN,NaN,27.482999801635742,21.069000244140625,37.78900146484375,66.99400329589844,12.729000091552734,37.13399887084961,36.308998107910156,22.554000854492188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.13399887084961,201.10699462890625,202.51499938964844,358.12298583984375,NaN,NaN,NaN,NaN,137.64199829101562,247.36300659179688,185.3300018310547,224.89100646972656,34.43899917602539,112.02200317382812,97.6259994506836,212.6719970703125,62.40599822998047,28.086000442504883,29.68199920654297,35.70800018310547,40.75299835205078,41.02000045776367,37.42599868774414,58.40800094604492,NaN,NaN,NaN,NaN,48.981998443603516,51.7239990234375,17.420000076293945,138.94500732421875,NaN,NaN,NaN,NaN
4,M,1,7.0,2.0,11.513999938964844,9.697999954223633,6.414000034332275,28.628999710083008,NaN,NaN,NaN,NaN,10.49899959564209,10.491000175476074,6.451000213623047,7.955999851226807,63.12900161743164,84.89399719238281,84.25599670410156,89.85199737548828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.86600112915039,12.746999740600586,15.87399959564209,39.49700164794922,24.195999145507812,84.94000244140625,99.78800201416016,75.48100280761719,2.684999942779541,85.32099914550781,92.20099639892578,19.507999420166016,22.000999450683594,74.28399658203125,83.33000183105469,19.783000946044922,13.954000473022461,2.0999999046325684,0.0010000000474974513,5.854000091552734,53.380001068115234,98.83399963378906,73.947998046875,93.33000183105469,17.591999053955078,13.958999633789062,4.433000087738037,12.0649995803833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.975000381469727,75.73799896240234,38.9109992980957,26.452999114990234,88.10399627685547,146.26400756835938,163.0399932861328,157.91700744628906,132.2899932861328,80.66300201416016,77.21399688720703,108.34100341796875,79.27100372314453,105.98699951171875,76.96399688720703,117.62200164794922,21.820999145507812,16.392000198364258,8.86400032043457,22.47800064086914,23.18000030517578,11.317000389099121,13.01099967956543,52.64899826049805,138.59800720214844,166.4969940185547,120.63099670410156,228.01499938964844,11.166999816894531,11.899999618530273,0.07599999755620956,6.836999893188477,90.61699676513672,58.98099899291992,50.58000183105469,122.81199645996094,21.145999908447266,10.468000411987305,12.262999534606934,10.218999862670898,130.23500061035156,164.98199462890625,115.31400299072266,333.68798828125,20.636999130249023,16.69700050354004,20.55500030517578,36.15599822998047,20.695999145507812,41.29899978637695,50.98699951171875,58.21699905395508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.981998443603516,92.06500244140625,109.87200164794922,280.8039855957031,NaN,NaN,NaN,NaN,28.767000198364258,33.862998962402344,22.176000595092773,43.46500015258789,10.609000205993652,15.534000396728516,57.180999755859375,35.861000061035156,18.947999954223633,10.857000350952148,13.201000213623047,3.671999931335449,NaN,NaN,NaN,NaN,79.23500061035156,156.10800170898438,138.45399475097656,432.37200927734375,NaN,NaN,NaN,NaN,118.63700103759766,178.3350067138672,190.50100708007812,268.4100036621094,51.6349983215332,84.7249984741211,103.1989974975586,241.44000244140625,57.13100051879883,43.84400177001953,54.13399887084961,31.02899932861328,32.2130012512207,31.184999465942383,41.775001525878906,40.073001861572266,NaN,NaN,NaN,NaN,67.06900024414062,56.32500076293945,47.119998931884766,66.36000061035156,NaN,NaN,NaN,NaN
5,M,1,7.0,6.0,2.562999963760376,16.58799934387207,24.28499984741211,19.461999893188477,NaN,NaN,NaN,NaN,13.506999969482422,5.396999835968018,2.246000051498413,12.621000289916992,23.12700080871582,98.16799926757812,87.03399658203125,59.0369987487793,NaN,NaN,NaN,NaN,2.299999952316284,2.2939999103546143,0.0010000000474974513,0.0,15.118000030517578,17.634000778198242,33.95899963378906,14.67300033569336,44.03300094604492,114.88400268554688,81.44000244140625,85.66699981689453,17.812999725341797,73.9469985961914,71.927001953125,31.253000259399414,36.36800003051758,65.56400299072266,65.81300354003906,51.792999267578125,0.09099999815225601,2.2360000610351562,6.383999824523926,4.020999908447266,99.15499877929688,71.98100280761719,71.81900024414062,86.63099670410156,19.621000289916992,22.625999450683594,15.826000213623047,25.382999420166016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.263999938964844,50.77000045776367,37.53300094604492,34.4119987487793,70.2509994506836,128.55599975585938,151.8769989013672,122.34400177001953,133.2779998779297,63.301998138427734,86.84200286865234,167.66299438476562,44.13199996948242,75.21499633789062,93.24600219726562,109.37899780273438,16.285999298095703,4.931000232696533,9.223999977111816,32.41299819946289,9.776000022888184,11.170000076293945,25.39900016784668,64.00199890136719,127.55699920654297,140.44000244140625,161.00900268554688,243.1490020751953,14.569000244140625,2.361999988555908,10.279000282287598,28.740999221801758,84.56800079345703,60.106998443603516,107.64199829101562,109.33699798583984,27.68000030517578,20.4950008392334,16.104000091552734,20.865999221801758,101.2040023803711,122.23300170898438,104.4469985961914,350.89300537109375,16.392000198364258,20.298999786376953,14.690999984741211,40.53300094604492,17.594999313354492,24.155000686645508,24.893999099731445,102.93699645996094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.99400329589844,119.26300048828125,106.21800231933594,272.81298828125,3.941999912261963,4.117000102996826,0.6340000033378601,38.6510009765625,27.187999725341797,35.321998596191406,22.209999084472656,79.85099792480469,10.616000175476074,21.27199935913086,34.36199951171875,22.016000747680664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.6969985961914,148.75,189.5989990234375,370.4309997558594,NaN,NaN,NaN,NaN,111.39099884033203,188.6479949951172,174.4969940185547,207.06100463867188,58.395999908447266,107.77799987792969,84.4469985961914,187.33599853515625,60.29199981689453,38.7859992980957,51.75199890136719,61.83399963378906,26.663999557495117,29.881999969482422,47.124000549316406,65.96700286865234,NaN,NaN,NaN,NaN,47.970001220703125,70.26399993896484,39.3650016784668,103.58499908447266,NaN,NaN,NaN,NaN
6,M,1,5.0,4.0,11.755000114440918,11.982999801635742,11.244999885559082,8.220000267028809,NaN,NaN,NaN,NaN,6.086999893188477,12.890000343322754,8.309000015258789,7.745999813079834,23.983999252319336,102.73400115966797,104.72100067138672,62.09000015258789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.243999481201172,31.195999145507812,38.27299880981445,2.6600000858306885,20.375999450683594,94.81700134277344,68.35099792480469,50.35499954223633,8.213000297546387,60.62300109863281,50.89099884033203,27.615999221801758,14.425999641418457,59.23400115966797,75.09500122070312,25.334999084472656,NaN,NaN,NaN,NaN,52.262001037597656,93.16600036621094,83.97799682617188,69.4469985961914,14.168999671936035,8.734999656677246,17.922000885009766,29.7189998626709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.53799819946289,52.44300079345703,24.253000259399414,17.195999145507812,100.63600158691406,91.93399810791016,97.51300048828125,79.23899841308594,88.9229965209961,110.89199829101562,111.48699951171875,139.3939971923828,59.224998474121094,97.31900024414062,76.7959976196289,143.28900146484375,18.113000869750977,8.461000442504883,5.954999923706055,36.43000030517578,19.06999969482422,29.95199966430664,23.881999969482422,63.38399887084961,108.43099975585938,116.99600219726562,150.89500427246094,191.76600646972656,4.513999938964844,0.009999999776482582,0.028999999165534973,17.0310001373291,57.05699920654297,47.82699966430664,56.74700164794922,88.7770004272461,8.197999954223633,13.376999855041504,16.077999114990234,11.312000274658203,95.55899810791016,120.55500030517578,94.19599914550781,279.9750061035156,6.664999961853027,28.274999618530273,22.31100082397461,39.638999938964844,13.006999969482422,32.04899978637695,34.43199920654297,19.08300018310547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.237998962402344,93.43000030517578,97.74099731445312,231.01300048828125,NaN,NaN,NaN,NaN,16.666000366210938,28.24799919128418,18.121000289916992,40.05699920654297,15.12600040435791,34.939998626708984,24.858999252319336,6.814000129699707,9.11400032043457,6.638000011444092,0.013000000268220901,0.008999999612569809,NaN,NaN,NaN,NaN,48.840999603271484,120.19000244140625,77.68000030517578,402.2179870605469,NaN,NaN,NaN,NaN,121.14900207519531,157.49899291992188,156.38699340820312,245.6060028076172,43.683998107910156,86.1050033569336,56.86899948120117,181.33999633789062,66.73600006103516,55.244998931884766,40.07600021362305,27.204999923706055,43.5629997253418,42.319000244140625,10.64799976348877,32.40800094604492,NaN,NaN,NaN,NaN,53.96900177001953,69.03600311279297,31.093000411987305,78.77100372314453,NaN,NaN,NaN,NaN
7,C,1,2.0,7.0,12.222999572753906,2.3340001106262207,10.404000282287598,15.170000076293945,NaN,NaN,NaN,NaN,0.21899999678134918,18.4689998626709,22.341999053955078,26.173999786376953,35.41699981689453,83.36799621582031,102.77799987792969,35.33399963378906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.902999877929688,54.93000030517578,41.040000915527344,26.089000701904297,31.384000778198242,70.67400360107422,68.26499938964844,75.12899780273438,9.720999717712402,23.45199966430664,28.163999557495117,51.409000396728516,33.03499984741211,69.43000030517578,60.323001861572266,59.29899978637695,NaN,NaN,NaN,NaN,105.91100311279297,104.23600006103516,63.83599853515625,29.163000106811523,23.027000427246094,9.246000289916992,0.050999999046325684,8.286999702453613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.513999938964844,38.81999969482422,24.90399932861328,24.520999908447266,53.74700164794922,126.65799713134766,114.00800323486328,132.01400756835938,86.7490005493164,140.7259979248047,135.8939971923828,181.10699462890625,104.4000015258789,88.79299926757812,108.33300018310547,132.53599548339844,22.09600067138672,6.910999774932861,16.268999099731445,25.73900032043457,22.69700050354004,15.822999954223633,22.69700050354004,29.44099998474121,128.72500610351562,119.01300048828125,76.552001953125,181.4429931640625,10.593999862670898,2.2720000743865967,0.04699999839067459,7.452000141143799,113.2750015258789,102.90399932861328,97.79499816894531,167.11300659179688,30.48900032043457,6.236000061035156,6.461999893188477,26.650999069213867,105.36000061035156,99.71399688720703,71.86799621582031,255.77699279785156,16.365999221801758,18.617000579833984,20.39699935913086,35.71500015258789,32.402000427246094,37.64400100708008,40.37099838256836,89.03199768066406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.31199645996094,80.46399688720703,98.94100189208984,235.26300048828125,1.5360000133514404,5.250999927520752,0.052000001072883606,15.20199966430664,17.799999237060547,30.969999313354492,17.6200008392334,57.1349983215332,10.071999549865723,32.62699890136719,9.126999855041504,30.695999145507812,4.1519999504089355,23.635000228881836,17.378000259399414,5.954999923706055,NaN,NaN,NaN,NaN,55.2869987487793,142.24400329589844,149.8159942626953,392.1099853515625,NaN,NaN,NaN,NaN,115.99299621582031,172.1699981689453,174.6510009765625,300.5220031738281,28.49799919128418,59.6619987487793,75.55999755859375,214.23800659179688,74.05699920654297,44.01300048828125,26.547000885009766,72.55899810791016,53.48899841308594,29.2549991607666,39.46500015258789,116.86499786376953,NaN,NaN,NaN,NaN,18.937000274658203,47.944000244140625,49.62200164794922,52.76100158691406,NaN,NaN,NaN,NaN
8,C,0,4.0,3.0,10.32800006866455,18.2189998626709,10.800999641418457,25.288999557495117,NaN,NaN,NaN,NaN,8.819000244140625,8.788000106811523,8.996000289916992,10.859999656677246,36.26300048828125,63.27399826049805,29.264999389648438,58.08700180053711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.055000305175781,20.996999740600586,6.756999969482422,2.0190000534057617,43.86800003051758,57.96799850463867,32.37699890136719,67.88800048828125,12.407999992370605,8.295999526977539,11.166999816894531,26.03700065612793,20.957000732421875,35.393001556396484,27.59000015258789,29.183000564575195,NaN,NaN,NaN,NaN,45.611000061035156,58.27199935913086,70.1240005493164,38.11199951171875,19.327999114990234,3.496000051498413,2.257999897003174,24.340999603271484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.676000595092773,14.979000091552734,8.213000297546387,14.303000450134277,39.47999954223633,119.36799621582031,40.80400085449219,33.19200134277344,177.31900024414062,125.35900115966797,115.26799774169922,160.0540008544922,57.21900177001953,86.5719985961914,57.64699935913086,193.20700073242188,12.6850004196167,12.031999588012695,14.824000358581543,14.413000106811523,21.326000213623047,25.12700080871582,13.067999839782715,40.4640007019043,123.41300201416016,177.69500732421875,182.28599548339844,203.7449951171875,10.79699993133545,4.310999870300293,6.210999965667725,3.9690001010894775,100.08399963378906,143.9340057373047,79.5989990234375,107.78099822998047,17.31599998474121,16.381999969482422,8.487000465393066,23.927000045776367,110.65599822998047,120.30799865722656,109.39800262451172,224.24000549316406,15.781000137329102,24.447999954223633,16.45599937438965,18.202999114990234,44.85300064086914,28.43199920654297,44.88999938964844,44.49599838256836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.74299621582031,72.49400329589844,97.3550033569336,214.01100158691406,NaN,NaN,NaN,NaN,22.017000198364258,40.349998474121094,34.229000091552734,52.19499969482422,12.96399974822998,6.192999839782715,24.579999923706055,7.1539998054504395,25.969999313354492,9.093999862670898,13.550000190734863,5.823999881744385,NaN,NaN,NaN,NaN,189.14100646972656,253.10499572753906,111.30400085449219,465.0669860839844,NaN,NaN,NaN,NaN,225.58900451660156,208.8979949951172,157.6479949951172,232.93099975585938,119.59100341796875,134.62600708007812,110.23999786376953,237.66900634765625,47.374000549316406,47.70500183105469,25.944000244140625,48.24800109863281,84.44200134277344,67.75700378417969,47.5880012512207,64.08499908447266,NaN,NaN,NaN,NaN,61.58700180053711,57.402000427246094,45.10200119018555,82.61199951171875,NaN,NaN,NaN,NaN
9,C,0,5.0,4.0,14.369000434875488,4.295000076293945,6.534999847412109,22.020999908447266,NaN,NaN,NaN,NaN,6.677999973297119,14.414999961853027,6.728000164031982,9.795000076293945,23.753999710083008,86.31600189208984,38.50600051879883,47.19499969482422,NaN,NaN,NaN,NaN,0.4950000047683716,8.604000091552734,8.38599967956543,7.494999885559082,8.729999542236328,58.435001373291016,10.189000129699707,8.111000061035156,41.3650016784668,50.96900177001953,34.00600051879883,57.5620002746582,10.354000091552734,12.64900016784668,4.0,4.054999828338623,32.19599914550781,28.8439998626709,14.305000305175781,8.88599967956543,NaN,NaN,NaN,NaN,50.98400115966797,62.86000061035156,50.89500045776367,36.47800064086914,8.26200008392334,8.904000282287598,6.376999855041504,26.17099952697754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.80899810791016,100.08999633789062,89.68000030517578,27.326000213623047,73.62899780273438,179.91600036621094,160.94000244140625,136.30999755859375,36.9010009765625,91.65799713134766,56.84000015258789,158.4759979248047,12.119000434875488,4.202000141143799,8.199000358581543,29.840999603271484,17.639999389648438,28.920000076293945,14.666999816894531,41.77899932861328,103.70800018310547,182.18299865722656,132.06500244140625,155.17799377441406,8.486000061035156,6.184000015258789,2.2850000858306885,15.447999954223633,77.70700073242188,147.31500244140625,112.35800170898438,80.33899688720703,16.0310001373291,18.32900047302246,4.234000205993652,14.508000373840332,83.40399932861328,131.48899841308594,90.59700012207031,232.18899536132812,22.148000717163086,39.792999267578125,8.809000015258789,22.62700080871582,31.468000411987305,23.69300079345703,25.136999130249023,47.74300003051758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.02100372314453,119.697998046875,95.26000213623047,263.1520080566406,8.769000053405762,8.744000434875488,0.1889999955892563,18.402999877929688,28.648000717163086,27.6299991607666,17.143999099731445,61.40800094604492,17.165000915527344,14.085000038146973,24.400999069213867,0.04600000008940697,3.8499999046325684,16.163999557495117,1.815000057220459,5.485000133514404,NaN,NaN,NaN,NaN,57.31700134277344,229.0019989013672,111.3280029296875,437.8599853515625,NaN,NaN,NaN,NaN,86.16300201416016,229.87600708007812,157.6280059814453,198.7830047607422,42.564998626708984,128.05799865722656,65.66400146484375,165.95899963378906,59.034000396728516,30.422000885009766,37.323001861572266,36.930999755859375,36.97200012207031,33.90999984741211,44.244998931884766,37.750999450683594,NaN,NaN,NaN,NaN,65.68699645996094,64.11000061035156,60.65800094604492,78.99400329589844,NaN,NaN,NaN,NaN
10,M,1,1.0,1.0,28.815000534057617,9.513999938964844,22.128000259399414,32.56700134277344,NaN,NaN,NaN,NaN,12.543000221252441,14.220999717712402,14.543999671936035,8.210000038146973,64.802001953125,113.95500183105469,133.0500030517578,95.31600189208984,NaN,NaN,NaN,NaN,5.934000015258789,9.682999610900879,16.562999725341797,7.164000034332275,21.83099937438965,31.868000030517578,50.1349983215332,24.61199951171875,64.02999877929688,85.59400177001953,99.96099853515625,143.77699279785156,6.988999843597412,89.27300262451172,82.19000244140625,93.7300033569336,28.472999572753906,69.82499694824219,76.11000061035156,83.36799621582031,NaN,NaN,NaN,NaN,91.60700225830078,75.2760009765625,71.48600006103516,85.9020004272461,23.94099998474121,10.229000091552734,6.296999931335449,12.093000411987305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.49399948120117,50.57500076293945,44.28799819946289,20.917999267578125,74.98100280761719,169.3350067138672,119.89099884033203,149.2830047607422,152.5050048828125,87.24600219726562,177.92799377441406,187.7270050048828,28.986000061035156,114.44300079345703,123.9540023803711,178.26499938964844,10.935999870300293,12.097999572753906,17.076000213623047,24.3700008392334,14.932000160217285,24.89900016784668,39.00299835205078,54.387001037597656,156.4080047607422,282.8590087890625,214.17999267578125,196.0330047607422,2.3919999599456787,8.230999946594238,6.660999774932861,18.059999465942383,75.6989974975586,49.03200149536133,45.68600082397461,112.12300109863281,23.336000442504883,15.206999778747559,6.502999782562256,12.821000099182129,97.99500274658203,175.5570068359375,89.85399627685547,213.91000366210938,16.437000274658203,10.414999961853027,22.655000686645508,48.29100036621094,36.94599914550781,39.178001403808594,36.82099914550781,15.33899974822998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,103.59400177001953,139.6300048828125,132.9499969482422,239.63099670410156,NaN,NaN,NaN,NaN,23.093000411987305,22.106000900268555,23.83300018310547,68.92400360107422,15.626999855041504,34.49800109863281,25.243999481201172,27.253000259399414,11.121000289916992,13.32800006866455,16.576000213623047,3.7899999618530273,NaN,NaN,NaN,NaN,94.7979965209961,161.8560028076172,155.8509979248047,325.88299560546875,NaN,NaN,NaN,NaN,151.94000244140625,154.51800537109375,178.94500732421875,349.1300048828125,45.60499954223633,97.40799713134766,114.61100006103516,198.64100646972656,66.8030014038086,48.172000885009766,33.06399917602539,40.94200134277344,65.1449966430664,32.191001892089844,34.87099838256836,47.702999114990234,NaN,NaN,NaN,NaN,97.80400085449219,68.7959976196289,45.983001708984375,114.29499816894531,6.49399995803833,5.639999866485596,5.633999824523926,0.8230000138282776
