9 of 10 units, , , ,V4e121_00, ,V4e122_00, ,V4e122_01, ,V4e123_00, ,V4e123_01, ,MTe080_00, ,MTe080_01, ,MTe081_00, ,MTe081_02, 
trials,task,color,motion,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample
418,C,1.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,51.76900100708008,11.687000274658203,85.11599731445312,12.906000137329102,4.238999843597412,40.983001708984375,NaN,NaN,50.58000183105469,67.78600311279297,NaN,NaN
419,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
420,M,6.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,48.99100112915039,0.04600000008940697,66.76899719238281,0.014999999664723873,7.39900016784668,7.671999931335449,NaN,NaN,25.84600067138672,57.86899948120117,NaN,NaN
421,C,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,3.052999973297119,12.64799976348877,6.125999927520752,20.268999099731445,56.2130012512207,62.090999603271484,NaN,NaN,70.2959976196289,120.4530029296875,NaN,NaN
422,M,1.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,61.0369987487793,0.6129999756813049,82.97100067138672,0.5699999928474426,0.0020000000949949026,8.123000144958496,NaN,NaN,2.7049999237060547,8.704999923706055,NaN,NaN
423,M,6.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,41.715999603271484,0.14100000262260437,68.83399963378906,0.0860000029206276,0.02500000037252903,8.835000038146973,NaN,NaN,2.308000087738037,41.5989990234375,0.052000001072883606,14.289999961853027
424,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
425,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
426,C,6.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,37.79199981689453,38.86399841308594,74.96399688720703,90.78099822998047,0.0,3.9079999923706055,NaN,NaN,2.263000011444092,4.041999816894531,NaN,NaN
427,M,7.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,1.9479999542236328,72.20999908447266,10.37399959564209,112.48300170898438,8.53600025177002,37.64699935913086,NaN,NaN,54.35300064086914,4.309999942779541,NaN,NaN
428,M,7.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,82.15399932861328,0.15600000321865082,124.78900146484375,0.17000000178813934,37.40700149536133,98.4540023803711,0.17599999904632568,70.27799987792969,59.948001861572266,84.96299743652344,NaN,NaN
429,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
430,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
431,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
432,C,6.0,2.0,NaN,NaN,8.279000282287598,14.682999610900879,NaN,NaN,78.71299743652344,124.93900299072266,117.43599700927734,186.92300415039062,11.975000381469727,86.68000030517578,NaN,NaN,35.54999923706055,85.37899780273438,NaN,NaN
433,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
434,C,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,63.724998474121094,63.50199890136719,80.65899658203125,54.310001373291016,0.0020000000949949026,28.81599998474121,NaN,NaN,14.565999984741211,29.804000854492188,NaN,NaN
435,C,4.0,4.0,NaN,NaN,NaN,NaN,NaN,NaN,22.923999786376953,47.60599899291992,46.685001373291016,88.8740005493164,0.0,18.660999298095703,NaN,NaN,23.424999237060547,57.85300064086914,0.003000000026077032,24.621999740600586
436,M,6.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,17.545000076293945,15.039999961853027,15.694999694824219,38.354000091552734,16.621999740600586,4.9770002365112305,NaN,NaN,33.96900177001953,18.12299919128418,NaN,NaN
437,C,1.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,56.28900146484375,70.2030029296875,105.66699981689453,152.0030059814453,35.150001525878906,12.812999725341797,NaN,NaN,75.84200286865234,18.708999633789062,NaN,NaN
438,M,1.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,0.05900000035762787,54.06999969482422,0.039000000804662704,105.48699951171875,0.22599999606609344,21.985000610351562,NaN,NaN,2.2699999809265137,24.964000701904297,NaN,NaN
439,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
440,M,6.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,12.602999687194824,31.44300079345703,52.98400115966797,67.72000122070312,7.556000232696533,2.578000068664551,NaN,NaN,28.898000717163086,18.402999877929688,NaN,NaN
441,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
442,C,6.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,36.52000045776367,65.57099914550781,64.14399719238281,134.36099243164062,2.2690000534057617,18.21500015258789,NaN,NaN,0.07500000298023224,19.32699966430664,0.0,18.743999481201172
443,M,2.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,68.33100128173828,1.0729999542236328,118.88200378417969,0.9139999747276306,0.007000000216066837,55.82600021362305,NaN,NaN,0.02800000086426735,85.43699645996094,NaN,NaN
444,C,1.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,15.984000205993652,66.10900115966797,62.380001068115234,123.8290023803711,2.8889999389648438,4.078999996185303,NaN,NaN,21.72100067138672,5.076000213623047,NaN,NaN
445,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
446,M,2.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,38.5,2.124000072479248,87.7770004272461,11.885000228881836,4.511000156402588,11.800000190734863,NaN,NaN,8.97599983215332,30.618000030517578,NaN,NaN
447,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
448,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
449,M,2.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,16.051000595092773,0.9779999852180481,67.93199920654297,1.1100000143051147,4.521999835968018,8.562000274658203,NaN,NaN,13.822999954223633,10.765999794006348,NaN,NaN
450,M,1.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0020000000949949026,43.96500015258789,6.581999778747559,96.38600158691406,0.0010000000474974513,14.126999855041504,NaN,NaN,7.715000152587891,31.231000900268555,0.0020000000949949026,16.415000915527344
451,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
452,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
453,M,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,19.07699966430664,0.0,29.89699935913086,0.0,2.249000072479248,5.822999954223633,NaN,NaN,0.6079999804496765,29.329999923706055,NaN,NaN
454,C,2.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,0.21400000154972076,97.91000366210938,0.25,199.6909942626953,51.869998931884766,55.42499923706055,NaN,NaN,93.96399688720703,77.46199798583984,NaN,NaN
455,M,4.0,3.0,NaN,NaN,NaN,NaN,NaN,NaN,27.093000411987305,2.934000015258789,43.2859992980957,2.818000078201294,17.96500015258789,66.56400299072266,NaN,NaN,76.88500213623047,160.1179962158203,0.032999999821186066,31.99799919128418
456,M,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,2.5759999752044678,52.46900177001953,2.0209999084472656,60.347999572753906,0.16300000250339508,4.235000133514404,NaN,NaN,9.770000457763672,15.70300006866455,NaN,NaN
457,M,7.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,16.43000030517578,23.360000610351562,19.027999877929688,112.86699676513672,2.246000051498413,23.570999145507812,NaN,NaN,7.25600004196167,80.37799835205078,NaN,NaN
458,M,2.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,32.25400161743164,0.026000000536441803,60.30699920654297,0.07199999690055847,0.20999999344348907,94.9020004272461,0.027000000700354576,22.660999298095703,10.35099983215332,99.76499938964844,NaN,NaN
459,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
460,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
461,C,3.0,4.0,NaN,NaN,NaN,NaN,NaN,NaN,10.727999687194824,67.61000061035156,50.49100112915039,136.43699645996094,20.625,0.4410000145435333,NaN,NaN,54.404998779296875,11.02400016784668,NaN,NaN
462,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
463,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
464,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
465,C,7.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,33.22600173950195,66.3499984741211,60.91699981689453,204.77200317382812,15.083999633789062,23.73699951171875,NaN,NaN,44.81999969482422,2.684999942779541,0.0,0.07199999690055847
466,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
467,M,6.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,10.725000381469727,31.39299964904785,40.82500076293945,67.15299987792969,6.76200008392334,5.525000095367432,0.019999999552965164,1.437999963760376,19.26099967956543,9.569000244140625,0.0010000000474974513,0.06300000101327896
468,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
469,C,1.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,34.744998931884766,65.96700286865234,49.638999938964844,136.23699951171875,0.0,0.0,NaN,NaN,5.298999786376953,2.5190000534057617,NaN,NaN
470,M,6.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,1.6319999694824219,33.810001373291016,1.9160000085830688,55.79600143432617,65.25199890136719,58.19900131225586,NaN,NaN,71.2300033569336,135.2689971923828,NaN,NaN
471,C,2.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,32.98699951171875,0.004999999888241291,69.20899963378906,0.006000000052154064,25.30699920654297,35.73500061035156,NaN,NaN,49.316001892089844,45.35499954223633,NaN,NaN
472,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
473,C,3.0,4.0,NaN,NaN,NaN,NaN,NaN,NaN,4.486000061035156,69.36699676513672,16.75200080871582,157.61000061035156,0.0729999989271164,16.18400001525879,NaN,NaN,2.2709999084472656,10.418999671936035,NaN,NaN
474,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
475,C,7.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,7.193999767303467,26.638999938964844,19.479000091552734,116.01899719238281,0.0010000000474974513,30.541000366210938,NaN,NaN,4.517000198364258,49.41299819946289,0.0010000000474974513,17.650999069213867
476,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
477,M,7.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,26.56599998474121,0.13300000131130219,54.70100021362305,0.2619999945163727,0.012000000104308128,69.0009994506836,NaN,NaN,57.91999816894531,111.71800231933594,NaN,NaN
478,M,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,16.517000198364258,48.893001556396484,17.649999618530273,56.689998626708984,24.02199935913086,11.972000122070312,NaN,NaN,107.24700164794922,58.10900115966797,NaN,NaN
479,M,1.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,31.365999221801758,35.18899917602539,29.39299964904785,41.13100051879883,15.967000007629395,3.4670000076293945,NaN,NaN,52.606998443603516,50.7859992980957,NaN,NaN
480,C,7.0,7.0,NaN,NaN,0.04699999839067459,20.2810001373291,NaN,NaN,0.2160000056028366,91.49299621582031,0.5220000147819519,155.427001953125,0.004999999888241291,55.41600036621094,NaN,NaN,6.5279998779296875,34.619998931884766,NaN,NaN
481,M,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.052000001072883606,25.96299934387207,3.700000047683716,85.71700286865234,0.0010000000474974513,4.434000015258789,NaN,NaN,4.283999919891357,25.158000946044922,NaN,NaN
482,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
483,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
484,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
485,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
486,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
487,M,2.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,16.006000518798828,0.0020000000949949026,36.83700180053711,0.0020000000949949026,0.04600000008940697,0.023000000044703484,0.006000000052154064,0.11800000071525574,23.506999969482422,2.3289999961853027,6.459000110626221,0.597000002861023
488,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
489,M,1.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.1509999930858612,0.0010000000474974513,0.20499999821186066,0.8790000081062317,63.981998443603516,0.007000000216066837,21.941999435424805,26.48699951171875,96.8479995727539,2.2019999027252197,7.39900016784668
490,C,2.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,19.075000762939453,40.542999267578125,19.405000686645508,91.36799621582031,1.9869999885559082,108.81199645996094,NaN,NaN,19.165000915527344,101.10399627685547,0.13300000131130219,0.11900000274181366
491,C,7.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,34.27299880981445,64.36000061035156,98.3759994506836,84.19300079345703,37.02899932861328,2.322000026702881,NaN,NaN,80.13400268554688,53.39799880981445,NaN,NaN
492,C,6.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,24.790000915527344,80.13800048828125,11.843999862670898,198.94200134277344,0.02199999988079071,12.48900032043457,0.003000000026077032,12.072999954223633,14.86299991607666,25.17799949645996,0.0,0.05999999865889549
493,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
494,C,2.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,52.358001708984375,96.24299621582031,102.52999877929688,245.20899963378906,23.405000686645508,44.69300079345703,NaN,NaN,29.847999572753906,67.4010009765625,NaN,NaN
495,M,1.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,2.257999897003174,35.86399841308594,4.6519999504089355,72.95700073242188,35.266998291015625,75.10099792480469,NaN,NaN,64.0199966430664,77.2249984741211,NaN,NaN
496,C,7.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,30.485000610351562,55.54999923706055,35.82099914550781,141.875,17.4689998626709,12.395000457763672,NaN,NaN,32.97700119018555,89.05400085449219,NaN,NaN
497,M,2.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,60.084999084472656,0.12099999934434891,100.4520034790039,0.12399999797344208,89.98500061035156,11.52299976348877,NaN,NaN,112.8949966430664,62.957000732421875,0.0010000000474974513,9.645000457763672
498,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500,M,5.0,4.0,NaN,NaN,NaN,NaN,NaN,NaN,29.33799934387207,6.827000141143799,56.71699905395508,6.625,28.304000854492188,11.375,NaN,NaN,100.34400177001953,74.89700317382812,NaN,NaN
501,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
502,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
503,C,7.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,25.34000015258789,77.18800354003906,20.760000228881836,193.6269989013672,0.027000000700354576,0.3580000102519989,NaN,NaN,4.747000217437744,8.109000205993652,NaN,NaN
504,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
505,C,7.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,18.18600082397461,52.98699951171875,57.95600128173828,90.13600158691406,33.340999603271484,2.8420000076293945,NaN,NaN,109.20600128173828,17.16900062561035,4.367000102996826,0.6050000190734863
506,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
507,M,7.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,33.68000030517578,45.529998779296875,61.81700134277344,86.46800231933594,26.559999465942383,0.5979999899864197,NaN,NaN,61.47700119018555,6.701000213623047,25.038999557495117,0.10300000011920929
508,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
509,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
510,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
511,M,7.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,24.548999786376953,35.66400146484375,10.847999572753906,82.90699768066406,48.689998626708984,1.5609999895095825,NaN,NaN,50.297000885009766,0.19200000166893005,NaN,NaN
512,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
513,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
514,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
515,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
516,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
517,C,2.0,6.0,NaN,NaN,18.35099983215332,13.213000297546387,NaN,NaN,29.64299964904785,28.58300018310547,66.64800262451172,36.39699935913086,26.927000045776367,16.672000885009766,0.0,1.6460000276565552,53.099998474121094,30.479999542236328,NaN,NaN
518,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
519,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
520,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
521,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
522,C,6.0,2.0,NaN,NaN,4.456999778747559,13.720000267028809,NaN,NaN,4.504000186920166,60.90599822998047,0.19699999690055847,154.7209930419922,2.247999906539917,0.2720000147819519,NaN,NaN,7.535999774932861,6.019999980926514,NaN,NaN
523,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
524,C,1.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,27.382999420166016,39.46799850463867,69.88600158691406,30.339000701904297,24.722999572753906,15.67199993133545,2.244999885559082,0.10999999940395355,38.417999267578125,87.3030014038086,0.0010000000474974513,11.324000358581543
525,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
526,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
527,C,6.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,41.62200164794922,0.7670000195503235,92.43599700927734,1.4709999561309814,0.0,6.51800012588501,NaN,NaN,10.357999801635742,46.76499938964844,0.0,1.1239999532699585
528,C,2.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,15.076000213623047,66.60399627685547,29.06399917602539,124.83300018310547,34.0880012512207,49.43299865722656,0.0,0.0949999988079071,106.08300018310547,55.49300003051758,0.026000000536441803,4.2729997634887695
529,M,6.0,2.0,NaN,NaN,0.003000000026077032,15.743000030517578,NaN,NaN,0.6660000085830688,33.25299835205078,2.743000030517578,128.16099548339844,2.252000093460083,35.51100158691406,0.003000000026077032,31.909000396728516,21.371999740600586,96.60199737548828,NaN,NaN
530,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
531,C,1.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,40.375999450683594,42.479000091552734,104.94200134277344,93.74600219726562,0.12600000202655792,58.143001556396484,NaN,NaN,4.517000198364258,91.5530014038086,NaN,NaN
532,C,2.0,7.0,NaN,NaN,12.329999923706055,12.36299991607666,NaN,NaN,34.551998138427734,73.1989974975586,83.34200286865234,122.71399688720703,0.9160000085830688,9.774999618530273,NaN,NaN,15.927000045776367,65.21299743652344,NaN,NaN
533,M,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,10.574999809265137,0.19699999690055847,27.79199981689453,0.09700000286102295,19.70400047302246,18.840999603271484,NaN,NaN,52.077999114990234,70.51000213623047,NaN,NaN
534,C,4.0,5.0,NaN,NaN,7.103000164031982,14.10200023651123,NaN,NaN,18.327999114990234,38.45000076293945,32.92300033569336,66.30799865722656,34.625999450683594,107.22599792480469,NaN,NaN,95.00700378417969,136.23699951171875,6.439000129699707,0.5299999713897705
535,M,1.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,41.97999954223633,14.026000022888184,90.38700103759766,36.51100158691406,9.02400016784668,8.227999687194824,NaN,NaN,6.552000045776367,24.54199981689453,NaN,NaN
536,M,6.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,6.383999824523926,41.957000732421875,2.296999931335449,58.047000885009766,27.201000213623047,19.277000427246094,0.0,2.0769999027252197,48.816001892089844,59.83399963378906,0.0,0.6690000295639038
537,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
538,C,2.0,2.0,NaN,NaN,0.8149999976158142,9.010000228881836,NaN,NaN,10.0600004196167,71.44100189208984,34.529998779296875,79.37799835205078,2.2660000324249268,33.67599868774414,0.0010000000474974513,11.454999923706055,9.428000450134277,64.31700134277344,0.0,11.177000045776367
539,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
540,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
541,M,2.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,17.916000366210938,15.767000198364258,18.676000595092773,26.207000732421875,0.0,0.004999999888241291,NaN,NaN,4.492000102996826,23.43899917602539,NaN,NaN
542,M,7.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,12.854999542236328,0.6589999794960022,18.889999389648438,0.5370000004768372,2.3519999980926514,69.28199768066406,0.10000000149011612,19.78499984741211,37.930999755859375,74.91300201416016,5.793000221252441,22.11199951171875
543,M,4.0,3.0,NaN,NaN,NaN,NaN,NaN,NaN,30.108999252319336,22.860000610351562,87.21900177001953,91.93000030517578,2.260999917984009,43.965999603271484,NaN,NaN,38.47600173950195,94.65699768066406,NaN,NaN
544,C,7.0,1.0,NaN,NaN,8.258000373840332,4.000999927520752,NaN,NaN,34.99399948120117,58.89500045776367,74.2750015258789,170.5780029296875,6.321000099182129,1.3839999437332153,NaN,NaN,31.402000427246094,4.433000087738037,0.0,0.1340000033378601
545,M,2.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,49.702999114990234,29.989999771118164,79.22799682617188,20.093000411987305,28.452999114990234,27.606000900268555,NaN,NaN,35.64400100708008,70.33699798583984,6.730000019073486,39.952999114990234
546,C,2.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,1.5839999914169312,110.84300231933594,4.703000068664551,242.11300659179688,4.473999977111816,0.6779999732971191,NaN,NaN,24.32699966430664,23.840999603271484,NaN,NaN
547,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
548,M,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,34.88199996948242,15.831999778747559,73.95500183105469,22.56999969482422,0.0020000000949949026,0.0860000029206276,0.0,0.04100000113248825,7.306000232696533,16.416000366210938,0.0010000000474974513,12.873000144958496
