9 of 10 units, , , ,V4e121_00, ,V4e122_00, ,V4e122_01, ,V4e123_00, ,V4e123_01, ,MTe080_00, ,MTe080_01, ,MTe081_00, ,MTe081_02, 
trials,task,color,motion,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample
29,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,C,7.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,46.922000885009766,99.02200317382812,16.65399932861328,230.85899353027344,14.368000030517578,67.20800018310547,0.0010000000474974513,31.108999252319336,2.296999931335449,48.257999420166016,NaN,NaN
31,C,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,64.55799865722656,10.982999801635742,16.892000198364258,9.201000213623047,61.17300033569336,88.5999984741211,NaN,NaN,53.91400146484375,108.33599853515625,NaN,NaN
32,C,2.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,0.09600000083446503,109.83200073242188,0.2240000069141388,216.8260040283203,67.55699920654297,83.0780029296875,NaN,NaN,77.79900360107422,50.42499923706055,NaN,NaN
33,C,4.0,5.0,NaN,NaN,NaN,NaN,NaN,NaN,4.224999904632568,89.1520004272461,0.1120000034570694,145.44900512695312,23.09000015258789,127.49299621582031,0.041999999433755875,18.378999710083008,6.178999900817871,53.224998474121094,NaN,NaN
34,C,1.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,6.374000072479248,102.9520034790039,2.2839999198913574,133.8679962158203,84.26300048828125,63.95600128173828,NaN,NaN,78.08000183105469,64.3290023803711,NaN,NaN
35,C,6.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.09099999815225601,89.33699798583984,0.35600000619888306,168.125,117.85399627685547,75.34100341796875,0.007000000216066837,8.685999870300293,151.61099243164062,36.62699890136719,NaN,NaN
36,M,1.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,4.547999858856201,51.31800079345703,4.413000106811523,115.58999633789062,30.624000549316406,35.231998443603516,NaN,NaN,6.235000133514404,11.204000473022461,NaN,NaN
37,C,6.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,6.61299991607666,92.86699676513672,6.918000221252441,136.94000244140625,21.631999969482422,85.54299926757812,NaN,NaN,4.2230000495910645,8.836999893188477,NaN,NaN
38,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,C,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,6.388999938964844,85.55699920654297,28.899999618530273,203.3159942626953,14.739999771118164,30.89699935913086,NaN,NaN,2.492000102996826,38.85100173950195,NaN,NaN
40,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,M,6.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,13.701000213623047,91.88200378417969,30.05699920654297,87.23600006103516,15.90999984741211,100.29299926757812,NaN,NaN,2.259000062942505,67.9280014038086,NaN,NaN
42,C,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,4.546999931335449,83.40799713134766,2.628999948501587,196.4219970703125,66.99600219726562,86.56500244140625,NaN,NaN,47.75699996948242,48.08399963378906,NaN,NaN
43,M,2.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,6.3379998207092285,25.89900016784668,0.0010000000474974513,26.719999313354492,90.67400360107422,86.33200073242188,NaN,NaN,78.59300231933594,71.1449966430664,NaN,NaN
44,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,M,1.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,80.46600341796875,106.93099975585938,29.714000701904297,95.28700256347656,21.875,39.12799835205078,NaN,NaN,6.179999828338623,35.803001403808594,NaN,NaN
46,M,6.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0020000000949949026,19.333999633789062,0.0,18.868000030517578,28.14699935913086,50.62799835205078,NaN,NaN,6.091000080108643,30.881000518798828,NaN,NaN
47,M,4.0,3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67.7979965209961,126.20700073242188,NaN,NaN,62.895999908447266,115.88400268554688,NaN,NaN
48,M,7.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.72999954223633,149.20700073242188,NaN,NaN,74.77200317382812,150.322998046875,NaN,NaN
