27 of 34 units, , , ,V4e044_00, ,V4e044_01, ,V4e046_00, ,V4e046_01, ,V4e047_00, ,V4e047_01, ,V4e047_02, ,V4e047_05, ,V4e047_06, ,V4e048_00, ,V4e048_04, ,V4e048_05, ,V4e048_06, ,V4e052_00, ,V4e052_01, ,V4e053_00, ,V4e054_00, ,V4e055_00, ,V4e057_00, ,MTe040_00, ,MTe042_00, ,MTe049_00, ,MTe049_02, ,MTe050_00, ,MTe050_01, ,MTe051_00, ,MTe051_01, 
trials,task,color,motion,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample
277,C,1,2,10.8500003814697,57.1059989929199,6.45300006866455,18.0790004730225,61.3769989013672,151.186004638672,NaN,NaN,150.843994140625,210.561004638672,41.181999206543,0.126000002026558,NaN,NaN,NaN,NaN,NaN,NaN,8.42899990081787,24.4370002746582,23.0380001068115,29.5300006866455,NaN,NaN,NaN,NaN,29.1669998168945,87.1669998168945,2.10999989509583,29.3460006713867,70.3099975585937,69.6230010986328,12.8120002746582,49.4529991149902,49.8930015563965,150.833999633789,40.0820007324219,18.5599994659424,6.66800022125244,7.94600009918213,50.1459999084473,56.4169998168945,31.4290008544922,225.365997314453,4.22599983215332,43.6030006408691,322.971984863281,402.390991210938,NaN,NaN,39.5789985656738,251.179992675781,4.50899982452393,18.1149997711182
278,M,7,1,86.629997253418,59.3619995117188,42.798999786377,24.8360004425049,124.194000244141,194.483993530273,NaN,NaN,208.123992919922,271.9169921875,16.5270004272461,38.0439987182617,NaN,NaN,NaN,NaN,NaN,NaN,29.0650005340576,45.3339996337891,20.5919990539551,35.1100006103516,NaN,NaN,NaN,NaN,86.5130004882812,70.8399963378906,23.94700050354,13.8570003509521,62.9879989624024,55.9420013427734,18.2730007171631,34.9780006408691,49.0509986877441,78.9219970703125,16.0949993133545,69.1849975585938,36.6710014343262,10.4340000152588,61.4529991149902,31.1860008239746,52.4830017089844,116.638999938965,NaN,NaN,306.925994873047,445.524993896484,NaN,NaN,73.265998840332,249.259002685547,4.03399991989136,30.0209999084473
279,C,7,6,28.5400009155273,24.2250003814697,24.2399997711182,12.5869998931885,118.313003540039,344.342010498047,NaN,NaN,137.080001831055,270.200988769531,30.4020004272461,24.4449996948242,NaN,NaN,NaN,NaN,NaN,NaN,8.51299953460693,46.4799995422363,27.0219993591309,38.3870010375977,NaN,NaN,NaN,NaN,107.203002929688,88.0619964599609,54.8800010681152,24.6089992523193,89.4130020141602,27.5939998626709,48.9620018005371,8.43099975585938,68.7720031738281,124.68399810791,40.4640007019043,37.6609992980957,12.5310001373291,15.2969999313354,56.185001373291,40.068000793457,40.4420013427734,195.291000366211,4.1710000038147,60.9879989624023,259.921997070313,450.309997558594,NaN,NaN,61.734001159668,282.114013671875,2.30699992179871,7.78399991989136
280,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
281,C,6,2,7.80700016021729,8.03600025177002,4.25799989700317,7.56400012969971,62.3429985046387,200.11799621582,NaN,NaN,140.746002197266,210.511001586914,26.1720008850098,0.105999998748302,NaN,NaN,NaN,NaN,NaN,NaN,24,37.3359985351563,26.3700008392334,37.4589996337891,NaN,NaN,NaN,NaN,43.0239982604981,113.698997497559,3.10999989509583,6.67799997329712,63.2220001220703,79.2969970703125,35.0330009460449,34.2490005493164,75.109001159668,98.5790023803711,12.4040002822876,64.2149963378906,6.10400009155273,28.003999710083,55.5229988098145,66.7259979248047,31.9529991149902,189.667007446289,3.19400000572205,56.7879981994629,324.144012451172,470.290008544922,NaN,NaN,53.2529983520508,305.47900390625,0.882000029087067,27.6580009460449
282,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
283,C,1,2,23.1459999084473,78.2330017089844,6.22599983215332,33.0390014648437,14.0329999923706,195.518005371094,NaN,NaN,164.483001708984,202.783996582031,10.1510000228882,11.2170000076294,NaN,NaN,NaN,NaN,NaN,NaN,22.5779991149902,40.890998840332,16.6270008087158,32.0439987182617,NaN,NaN,NaN,NaN,77.2300033569336,83.6500015258789,24.2689990997314,18.0459995269775,67.0370025634766,83.8199996948242,34.7789993286133,87.3130035400391,91.0199966430664,103.500999450684,44.7080001831055,36.173999786377,12.0579996109009,2.56599998474121,65.1620025634766,71.4759979248047,15.9099998474121,196.593002319336,1.33299994468689,70.0709991455078,345.968994140625,414.421997070312,NaN,NaN,10.2519998550415,256.359008789062,0.019999999552965,28.8239994049072
284,M,7,6,36.3170013427734,7.73099994659424,29.0270004272461,0.037999998778105,55.0359992980957,313.134002685547,NaN,NaN,209.462997436523,229.867004394531,29.4080009460449,16.4780006408691,NaN,NaN,NaN,NaN,NaN,NaN,15.2810001373291,59.5579986572266,28.0289993286133,36.6139984130859,NaN,NaN,NaN,NaN,88.193000793457,25.7140007019043,16.1480007171631,2.32800006866455,68.9000015258789,47.882999420166,56.9280014038086,7.32399988174439,105.654998779297,63.5089988708496,36.560001373291,1.56500005722046,15.6000003814697,13.6730003356934,53.5340003967285,55.5250015258789,31.3689994812012,216.962997436523,NaN,NaN,362.407989501953,357.531005859375,NaN,NaN,59.814998626709,278.782989501953,6.39499998092651,13.7390003204346
285,C,2,6,16.2940006256104,53.8600006103516,2.52500009536743,0,86.2070007324219,371.453002929687,NaN,NaN,227.759994506836,255.942001342773,56.7849998474121,38.9930000305176,NaN,NaN,NaN,NaN,NaN,NaN,21.6730003356934,70.7389984130859,20.2369995117188,49.0060005187988,NaN,NaN,NaN,NaN,143.330001831055,58.0229988098145,48.1940002441406,13.9139995574951,96.4339981079102,61.992000579834,47.8899993896484,63.5069999694824,91.8889999389648,83.7710037231445,74.6330032348633,105.137001037598,19.7269992828369,10.3920001983643,50.7610015869141,60.2080001831055,23.2859992980957,239.82600402832,2.30100011825562,50.2459983825684,332.006988525391,439.180999755859,NaN,NaN,61.601001739502,337.789001464844,0.043000001460314,46.2270011901856
286,M,1,6,28.867000579834,86.3190002441406,12.6949996948242,11.1389999389648,130.604995727539,326.838012695312,NaN,NaN,183.203994750977,261.694000244141,20.1919994354248,33.7939987182617,NaN,NaN,NaN,NaN,NaN,NaN,22.3840007781982,88.7959976196289,19.7859992980957,41.109001159668,NaN,NaN,NaN,NaN,125.430999755859,130.908004760742,24.3939990997314,20.7849998474121,85.7710037231445,127.805000305176,39.3199996948242,61.0900001525879,97.3550033569336,254.087005615234,58.632999420166,211.552993774414,23.0520000457764,27.0809993743896,40.7270011901855,90.3509979248047,46.693000793457,250.526992797852,0.125,72.7119979858398,409.859985351563,441.559997558594,NaN,NaN,122.779998779297,372.545989990234,0.13400000333786,25.3530006408691
287,C,7,7,31.8010005950928,60.7709999084473,20.738000869751,22.2019996643066,74.7300033569336,249.807998657227,NaN,NaN,139.658996582031,232.828002929687,18.7530002593994,19.3040008544922,NaN,NaN,NaN,NaN,NaN,NaN,22.5359992980957,56.1650009155273,19.9409999847412,32.1660003662109,NaN,NaN,NaN,NaN,78.7040023803711,85.1119995117188,36.6969985961914,11.0930004119873,63.6549987792969,71.6910018920899,19.6410007476807,20.1989994049072,40.298999786377,40.0429992675781,21.8099994659424,52.8930015563965,8.27000045776367,13.4879999160767,75.8679962158203,66.620002746582,32.0340003967285,150.524002075195,NaN,NaN,287.838012695312,449.865997314453,NaN,NaN,76.1910018920898,235.136993408203,8.24600028991699,8.02000045776367
288,M,5,4,71.0309982299805,35.2599983215332,33.2140007019043,4.61800003051758,137.983993530273,251.123001098633,NaN,NaN,160.526000976563,267.683990478516,8.47299957275391,26.1019992828369,NaN,NaN,NaN,NaN,NaN,NaN,21.9179992675781,86.9609985351562,33.3790016174316,44.5429992675781,NaN,NaN,NaN,NaN,123.872001647949,69.6159973144531,35.0419998168945,10.0740003585815,85.3960037231445,55.4570007324219,62.4080009460449,24.3780002593994,118.332000732422,157.319000244141,61.0069999694824,61.076000213623,15.0459995269775,14.6280002593994,50.6689987182617,88.2630004882813,49.923999786377,214.253005981445,0.128000006079674,56.9959983825684,337.140991210937,477.162994384766,NaN,NaN,105.30899810791,303.199005126953,0.043999999761582,28.9650001525879
289,C,2,7,4.55600023269653,64.7239990234375,0.061999998986721,15.4270000457764,133.667999267578,278.272003173828,NaN,NaN,192.401992797852,259.920013427734,24.2210006713867,17.5069999694824,NaN,NaN,NaN,NaN,NaN,NaN,18.1259994506836,52.4720001220703,19.8780002593994,21.8360004425049,NaN,NaN,NaN,NaN,80.5879974365234,111.676002502441,10.7399997711182,34.1949996948242,70.0210037231445,69.8320007324219,4.25799989700317,36.685001373291,75.947998046875,61.9020004272461,39.9500007629395,25.1229991912842,14.7469997406006,15.3940000534058,57.507999420166,37.3849983215332,41.8170013427734,166.869995117188,NaN,NaN,314.326995849609,451.786010742188,NaN,NaN,43.0530014038086,244.156997680664,0.430999994277954,14.1429996490479
290,M,1,7,29.2339992523193,46.734001159668,8.9980001449585,49.8849983215332,87.8270034790039,299.311004638672,NaN,NaN,229.085998535156,268.725006103516,27.9270000457764,31.5100002288818,NaN,NaN,NaN,NaN,NaN,NaN,32.2540016174316,45.9959983825684,27.4080009460449,23.8099994659424,NaN,NaN,NaN,NaN,60.140998840332,124.244003295898,16.7639999389648,23.1509990692139,108.028999328613,123.88500213623,36.1080017089844,48.3629989624023,60.5530014038086,74.5970001220703,68.4160003662109,51.2080001831055,16.1049995422363,4.43300008773804,42.5299987792969,55.798999786377,59.7179985046387,135.177001953125,NaN,NaN,320.313995361328,459.032012939453,NaN,NaN,96.4130020141602,181.248992919922,12.5389995574951,8.02799987792969
291,C,6,7,76.3190002441406,21.2670001983643,16.4060001373291,11.2340002059937,81.9160003662109,268.509002685547,NaN,NaN,179.585998535156,190.143005371094,59.3129997253418,19.375,NaN,NaN,NaN,NaN,NaN,NaN,20.8799991607666,29.3390007019043,16.8530006408691,29.5739994049072,NaN,NaN,NaN,NaN,100.350997924805,110.578002929688,28.8479995727539,37.9129981994629,55.8930015563965,81.4199981689453,20.9750003814697,17.9899997711182,88.1699981689453,126.329002380371,35.4339981079102,36.2999992370605,4.29699993133545,7.68499994277954,48.3279991149902,54.0849990844727,30.2040004730225,128.046005249023,NaN,NaN,262.524993896484,463.634002685547,NaN,NaN,28.5300006866455,181.449005126953,4.29099988937378,11.9930000305176
292,C,1,7,23.1889991760254,106.906997680664,15.2580003738403,29.2469997406006,116.585998535156,258.303985595703,NaN,NaN,180.921005249023,195.466003417969,42.9599990844727,10.0349998474121,NaN,NaN,NaN,NaN,NaN,NaN,12.6140003204346,42.7939987182617,35.0660018920898,22.6259994506836,NaN,NaN,NaN,NaN,46.6150016784668,106.596000671387,7.55399990081787,26.7250003814697,53.5559997558594,88.7379989624023,14.3870000839233,76.3649978637695,57.193000793457,83.1449966430664,41.9500007629395,53.4959983825684,12.4840002059937,22.7709999084473,54.2109985351563,46.1640014648438,82.2170028686523,137.203002929688,NaN,NaN,365.578002929688,441.657989501953,NaN,NaN,80.7160034179688,214.225997924805,10.2740001678467,7.29699993133545
293,M,2,2,35.1389999389648,33.1459999084473,19.6770000457764,18.5540008544922,30.9810009002686,163.589996337891,NaN,NaN,181.078002929688,262.829986572266,29.5389995574951,6.5939998626709,NaN,NaN,NaN,NaN,NaN,NaN,8.875,31.0230007171631,31.4330005645752,29.1410007476807,NaN,NaN,NaN,NaN,35.7330017089844,109.38500213623,2.35400009155273,34.7319984436035,42.4770011901856,68.3949966430664,37.3320007324219,42.3619995117187,46.4650001525879,151.647994995117,25.1359996795654,73.4189987182617,12.4469995498657,8.99899959564209,89.9560012817383,32.0810012817383,29.9839992523193,194.39599609375,20.6340007781982,50.3930015563965,367.037994384766,431.776000976562,NaN,NaN,60.9039993286133,236.231994628906,4.52500009536743,35.4459991455078
294,C,1,6,39.8349990844727,59.3849983215332,12.5920000076294,15.2069997787476,121.482002258301,308.183990478516,NaN,NaN,187.087005615234,190.414001464844,48.4039993286133,6.04400014877319,NaN,NaN,NaN,NaN,NaN,NaN,20.8579998016357,36.9480018615723,31.2950000762939,28.8819999694824,NaN,NaN,NaN,NaN,31.0900001525879,143.526992797852,2.23000001907349,36.1199989318848,41.9220008850098,91.0579986572266,11.4680004119873,52.4900016784668,63.2949981689453,129.828002929688,53.7360000610352,26.3999996185303,6.55100011825562,9.75500011444092,47.7569999694824,39.3610000610352,49.3349990844727,204.160003662109,0.052000001072884,54.5,264.984985351562,406.191986083984,NaN,NaN,64.8270034790039,299.570007324219,2.30599999427795,25.3449993133545
295,C,7,6,11.3500003814697,24.1480007171631,4.54400014877319,0.002000000094995,74.0950012207031,295.855987548828,NaN,NaN,195.356994628906,224.822998046875,24.6919994354248,8.86699962615967,NaN,NaN,NaN,NaN,NaN,NaN,25.7880001068115,43.3460006713867,16.8719997406006,41.9230003356934,NaN,NaN,NaN,NaN,24.3040008544922,64.5240020751953,3.37599992752075,6.83500003814697,57.6349983215332,30.6679992675781,27.7240009307861,18.8819999694824,57.6629981994629,101.293998718262,20.8229999542236,4.03700017929077,13.9610004425049,10.3680000305176,42.7540016174316,43.8170013427734,60.4539985656738,205.514007568359,20.8579998016357,29.4109992980957,274.498992919922,402.470001220703,NaN,NaN,24.7520008087158,270.259002685547,1.1139999628067,2.13599991798401
296,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
297,M,6,2,39.9500007629395,40.117000579834,25.9479999542236,3.99399995803833,82.6210021972656,218.052993774414,NaN,NaN,110.904998779297,272.701995849609,21.7280006408691,10.7239999771118,NaN,NaN,NaN,NaN,NaN,NaN,15.7040004730225,27.82200050354,27.9820003509521,41.3779983520508,NaN,NaN,NaN,NaN,64.7409973144531,87.4850006103516,20.5510005950928,22.2280006408691,57.3740005493164,104.981002807617,12.4610004425049,25.3770008087158,69.2220001220703,125.714996337891,35.3129997253418,87.6149978637695,20.7569999694824,22.0769996643066,77.7620010375977,65.7220001220703,42.2610015869141,207.248992919922,1.56299996376038,67.1510009765625,350.191986083984,468.602996826172,NaN,NaN,96.5199966430664,292.015991210937,2.27600002288818,11.1560001373291
298,M,1,2,25.8339996337891,66.0289993286133,10.7449998855591,3.99499988555908,49.9599990844727,175.962005615234,NaN,NaN,197.533004760742,248.302001953125,13.3409996032715,21.5739994049072,NaN,NaN,NaN,NaN,NaN,NaN,22.6240005493164,38.5849990844727,25.0690002441406,18.9979991912842,NaN,NaN,NaN,NaN,117.235000610352,97.5749969482422,16.5259990692139,3.85599994659424,120.327003479004,84.447998046875,44.1749992370606,33.2099990844727,78.4769973754883,81.7839965820312,45.4039993286133,39.1240005493164,16.9549999237061,0.382999986410141,49.7490005493164,61.5260009765625,38.2840003967285,179.889999389648,2.31100010871887,49.8460006713867,344.907012939453,439.717010498047,NaN,NaN,40.8660011291504,266.285003662109,12.3269996643066,29.2360000610352
299,M,3,4,28.1509990692139,0.185000002384186,28.0009994506836,1.04900002479553,56.0750007629395,267.947998046875,NaN,NaN,193.151000976563,275.846984863281,34.4469985961914,29.7299995422363,NaN,NaN,NaN,NaN,NaN,NaN,18.5279998779297,66.9219970703125,22.5030002593994,27.5219993591309,NaN,NaN,NaN,NaN,113.664001464844,104.954002380371,34.2229995727539,16.367000579834,118.865997314453,78.6969985961914,60.9659996032715,16.0869998931885,58.1189994812012,101.485000610352,14.1230001449585,52.3610000610352,25.3540000915527,10.3660001754761,65.4039993286133,59.5270004272461,45.5050010681152,185.992004394531,2.7590000629425,34.2599983215332,377.880004882812,462.871002197266,NaN,NaN,62.8549995422363,281.352996826172,16.7169990539551,23.5139999389648
300,C,2,1,11.3839998245239,47.1780014038086,7.71999979019165,6.13100004196167,126.217002868652,139.542999267578,NaN,NaN,166.447006225586,224.145004272461,44.007999420166,40.984001159668,NaN,NaN,NaN,NaN,NaN,NaN,33.8019981384277,37.4589996337891,29.1100006103516,36.2400016784668,NaN,NaN,NaN,NaN,60.0110015869141,114.116996765137,16.9829998016357,35.0900001525879,80.4160003662109,94.0540008544922,65.9960021972656,41.359001159668,118.636001586914,69.9749984741211,71.629997253418,39.4179992675781,30.0049991607666,10.2959995269775,59.5519981384277,53.7050018310547,61.8409996032715,98.9779968261719,12.3120002746582,4.01399993896484,367.201995849609,462.466003417969,NaN,NaN,72.4909973144531,239.880004882813,2.27099990844727,14.9379997253418
301,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
302,C,2,2,30.6049995422363,55.3979988098145,22.2220001220703,19.488000869751,203.470001220703,256.136993408203,NaN,NaN,220.925994873047,309.819000244141,22.9109992980957,43.4169998168945,NaN,NaN,NaN,NaN,NaN,NaN,33.0740013122559,62.1430015563965,42.3870010375977,33.3899993896484,NaN,NaN,NaN,NaN,72.0650024414063,138.207000732422,10.0579996109009,21.8519992828369,49.0009994506836,64.0370025634766,28.0540008544922,39.7299995422363,94.3320007324219,127.083999633789,93.4000015258789,64.4130020141602,24.0779991149902,13.1639995574951,81.2630004882812,74.8359985351563,81.2939987182617,197.751998901367,2.29800009727478,51.484001159668,418.191986083984,474.131011962891,NaN,NaN,117.203002929688,265.244995117187,4.21400022506714,21.9260005950928
303,M,2,6,23.068000793457,27.6049995422363,5.90500020980835,7.5479998588562,61.7270011901856,337.884002685547,NaN,NaN,119.357002258301,247.179000854492,2.26399993896484,4.00600004196167,NaN,NaN,NaN,NaN,NaN,NaN,13.5270004272461,29.636999130249,34.068000793457,42.4490013122559,NaN,NaN,NaN,NaN,29.1989994049072,67.1689987182617,4.51300001144409,4.0310001373291,46.056999206543,39.3870010375977,26.7719993591309,10.3900003433228,31.0330009460449,100.302001953125,10.7880001068115,5.65299987792969,13.1199998855591,13.710000038147,46.6920013427734,27.8379993438721,49.0330009460449,267.990997314453,5.52500009536743,33.3870010375977,366.829986572266,375.444000244141,NaN,NaN,41.4939994812012,263.233001708984,10.5539999008179,11.9910001754761
304,C,6,6,38.2550010681152,8.50399971008301,8.3120002746582,0.188999995589256,114.071998596191,331.089996337891,NaN,NaN,195.891006469727,215.764999389648,37.7400016784668,8.71700000762939,NaN,NaN,NaN,NaN,NaN,NaN,32.8230018615723,49.6279983520508,27.1749992370605,41.25,NaN,NaN,NaN,NaN,42.226001739502,60.7970008850098,2.35400009155273,21.5949993133545,63.9609985351563,75.0419998168945,23.8920001983643,43.9519996643066,73.8789978027344,121.347999572754,54.1570014953613,18.1529998779297,14.2889995574951,22.7099990844727,84.2799987792969,48.5530014038086,48.0890007019043,240.350006103516,6.34200000762939,29.5919990539551,375.605987548828,433.074005126953,NaN,NaN,74.7089996337891,203.684005737305,4.32000017166138,7.53900003433228
305,C,1,6,20.6389999389648,41.701000213623,4.66699981689453,7.27400016784668,64.495002746582,321.326995849609,NaN,NaN,179.570999145508,173.634002685547,51.6809997558594,1.10300004482269,NaN,NaN,NaN,NaN,NaN,NaN,21.1770000457764,80.5699996948242,22.2719993591309,31.7849998474121,NaN,NaN,NaN,NaN,40.5940017700195,103.262001037598,6.97800016403198,36.984001159668,52.1870002746582,61.8059997558594,26.6459999084473,18.753999710083,62.8769989013672,112.103996276855,65.3779983520508,15.9989995956421,4.55200004577637,4.06899976730347,35.7680015563965,30.0410003662109,38.1220016479492,241.272003173828,2.29699993133545,14.7049999237061,367.81201171875,393.936004638672,NaN,NaN,59.2019996643066,308.727996826172,8.33300018310547,9.34500026702881
306,M,2,1,22.8090000152588,36.9000015258789,16.4249992370605,7.69500017166138,68.7440032958984,130.373992919922,NaN,NaN,206.300003051758,242.576995849609,28.4710006713867,36.064998626709,NaN,NaN,NaN,NaN,NaN,NaN,32.7099990844727,43.8610000610352,19.9969997406006,25.2740001678467,NaN,NaN,NaN,NaN,97.2610015869141,109.349998474121,26.0179996490479,22.2169990539551,133.248992919922,57.3279991149902,43.4589996337891,35.2910003662109,59.076000213623,79.8079986572266,36.9860000610352,42.5019989013672,18.6879997253418,24.5230007171631,68.8870010375977,34.6339988708496,48.4280014038086,67.5979995727539,NaN,NaN,366.68798828125,467.415985107422,NaN,NaN,45.1059989929199,218.037994384766,4.51399993896484,34.0940017700195
307,M,6,1,13.41100025177,39.0060005187988,9.69699954986572,3.67199993133545,126.500999450684,158.582000732422,NaN,NaN,206.910995483398,227.134002685547,26.2089996337891,24.57200050354,NaN,NaN,NaN,NaN,NaN,NaN,26.1499996185303,66.1949996948242,23.3649997711182,49.8699989318848,NaN,NaN,NaN,NaN,69.8929977416992,108.116996765137,21.2770004272461,14.9870004653931,67.5070037841797,53.4109992980957,21.1700000762939,13.9870004653931,101.116996765137,71.8929977416992,59.6030006408691,26.0410003662109,15.4759998321533,4.63100004196167,66.9140014648437,72.9380035400391,38.1949996948242,127.002998352051,NaN,NaN,368.432006835937,475.389007568359,NaN,NaN,106.088996887207,220.419006347656,8.11100006103516,11.8999996185303
308,M,6,6,14.7600002288818,0.178000003099442,13.28600025177,0.086999997496605,106.151000976563,340.157012939453,NaN,NaN,158.912994384766,282.079986572266,4.74599981307983,32.5960006713867,NaN,NaN,NaN,NaN,NaN,NaN,18.0729999542236,31.5919990539551,19.3689994812012,30.2229995727539,NaN,NaN,NaN,NaN,78.6380004882813,87.2119979858399,16.1800003051758,7.48099994659424,123.904998779297,36.8950004577637,54.548999786377,7.08799982070923,39.3540000915527,131.167999267578,10.8400001525879,39.4650001525879,20.7649993896484,18.1529998779297,38.2840003967285,72.7020034790039,51.2299995422363,204.565994262695,NaN,NaN,306.627014160156,405.984008789063,NaN,NaN,60.101001739502,242.45100402832,12.9160003662109,11.33899974823
309,C,7,1,9.11299991607666,75.1510009765625,22.2240009307861,18.5209999084473,118.037002563477,152.59700012207,NaN,NaN,152.893005371094,245.02799987793,46.6679992675781,0.439000010490418,NaN,NaN,NaN,NaN,NaN,NaN,36.951000213623,52.0369987487793,26.3999996185303,42.5130004882813,NaN,NaN,NaN,NaN,74.2669982910156,119.188003540039,24.4699993133545,23.5900001525879,39.3019981384277,56.4669990539551,21.0380001068115,11.8339996337891,79.7969970703125,46.2709999084473,89.5979995727539,24.261999130249,17.2150001525879,11.3599996566772,81.3550033569336,72.7429962158203,67.2870025634766,55.6199989318848,14.1809997558594,0.819000005722046,357.117004394531,480.106994628906,NaN,NaN,109.092002868652,239.313003540039,14.3929996490479,35.476001739502
310,M,2,7,20.1900005340576,46.1290016174316,10.3400001525879,34.0870018005371,83.6080017089844,283.644989013672,NaN,NaN,179.656005859375,256.966003417969,12.5299997329712,22.3969993591309,NaN,NaN,NaN,NaN,NaN,NaN,14.3680000305176,64.7389984130859,45.3779983520508,27.4969997406006,NaN,NaN,NaN,NaN,78.1650009155274,94.9199981689453,12.7480001449585,33.2589988708496,48.4630012512207,61.4809989929199,26.2730007171631,43.7200012207031,43.109001159668,91.1569976806641,16.4050006866455,9.82999992370606,14.1820001602173,3.1029999256134,71.2740020751953,48.6419982910156,16.511999130249,149.994995117188,NaN,NaN,397.576995849609,435.597991943359,NaN,NaN,69.4580001831055,187.682998657227,6.58599996566772,7.99599981307983
311,M,1,1,11.5220003128052,33.1220016479492,6.82600021362305,8.00699996948242,31.9360008239746,152.492004394531,NaN,NaN,186.350006103516,203.807998657227,15.9610004425049,10.0520000457764,NaN,NaN,NaN,NaN,NaN,NaN,18.1959991455078,24.9449996948242,22.6270008087158,28.2679996490479,NaN,NaN,NaN,NaN,97.7649993896484,143.52099609375,16.0279998779297,18.6070003509521,126.327003479004,82.6640014648438,43.9469985961914,21.3570003509521,49.431999206543,54.9869995117188,13.9949998855591,41.8160018920898,28.2549991607666,14.2349996566772,53.4249992370606,34.1380004882812,27.4619998931885,103.960998535156,NaN,NaN,434.351989746094,458.494995117188,NaN,NaN,32.8940010070801,208.115005493164,0.028999999165535,21.6720008850098
312,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
313,C,2,6,13.2270002365112,7.4060001373291,2.96799993515015,6.46600008010864,103.037002563477,353.4169921875,NaN,NaN,148.990005493164,236.953994750977,26.3150005340576,26.8649997711182,NaN,NaN,NaN,NaN,NaN,NaN,15.8500003814697,68.1699981689453,16.4689998626709,38.0779991149902,NaN,NaN,NaN,NaN,45.6809997558594,97.4140014648438,7.10099983215332,20.2970008850098,70.322998046875,36.4199981689453,7.96099996566772,16.2569999694824,67.8010025024414,119.86799621582,43.8129997253418,110.278999328613,10.6219997406006,10.8929996490479,68.4899978637695,54.0180015563965,40.265998840332,260.662994384766,5.81400012969971,19.5429992675781,296.407012939453,417.960998535156,NaN,NaN,73.0090026855469,337.223999023437,8.23400020599365,21.6100006103516
314,M,7,1,10.4099998474121,34.3899993896484,12.1750001907349,22.1480007171631,67.0839996337891,150.957992553711,NaN,NaN,239.324005126953,197.268997192383,37.1730003356934,14.2119998931885,NaN,NaN,NaN,NaN,NaN,NaN,16.9409999847412,51.5579986572266,22.576000213623,23.17799949646,NaN,NaN,NaN,NaN,102.907997131348,45.8349990844727,16.2900009155273,3.97099995613098,133.985992431641,69.6729965209961,60.601001739502,17.0970001220703,60.6209983825684,85.7710037231445,63.564998626709,29.9710006713867,19.2220001220703,9.95899963378906,58.9189987182617,47.1300010681152,61.0029983520508,124.707000732422,NaN,NaN,360.700012207031,464.463989257813,NaN,NaN,70.8720016479492,254.751998901367,17.3400001525879,38.2130012512207
