27 of 34 units, , , ,V4e044_00, ,V4e044_01, ,V4e046_00, ,V4e046_01, ,V4e047_00, ,V4e047_01, ,V4e047_02, ,V4e047_05, ,V4e047_06, ,V4e048_00, ,V4e048_04, ,V4e048_05, ,V4e048_06, ,V4e052_00, ,V4e052_01, ,V4e053_00, ,V4e054_00, ,V4e055_00, ,V4e057_00, ,MTe040_00, ,MTe042_00, ,MTe049_00, ,MTe049_02, ,MTe050_00, ,MTe050_01, ,MTe051_00, ,MTe051_01, 
trials,task,color,motion,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample
10,M,6,2,2.38000011444092,51.5099983215332,NaN,NaN,145.139999389648,266.790008544922,NaN,NaN,188.906997680664,230.561004638672,22.2479991912842,0.090999998152256,NaN,NaN,NaN,NaN,NaN,NaN,16.9290008544922,28.068000793457,21.9109992980957,41.2449989318848,NaN,NaN,NaN,NaN,33.4339981079102,84.9010009765625,4.58400011062622,22.9290008544922,51.9020004272461,89.0350036621094,15.9759998321533,67.5650024414063,60.5900001525879,205.973999023437,36.193000793457,75.3379974365234,19.8920001983643,16.4529991149902,53.8190002441406,57.3709983825684,68.6169967651367,255.641998291016,NaN,NaN,447.81201171875,436.932006835938,NaN,NaN,123.984001159668,248.738998413086,10.5340003967285,15.1499996185303
11,M,7,6,100.107002258301,34.0169982910156,NaN,NaN,85.1600036621094,333.971984863281,NaN,NaN,155.904006958008,233.904998779297,14.3100004196167,5.30600023269653,NaN,NaN,NaN,NaN,NaN,NaN,16.69700050354,55.617000579834,32.9150009155273,52.4259986877441,NaN,NaN,NaN,NaN,24.8090000152588,64.8320007324219,0.009999999776483,7.36800003051758,41.6749992370606,41.3819999694824,31.9139995574951,14.58899974823,22.181999206543,84.0739974975586,25.9580001831055,12.7180004119873,28.3619995117187,8.3439998626709,46.2319984436035,77.3820037841797,48.5309982299805,242.285003662109,NaN,NaN,368.134002685547,406.631988525391,NaN,NaN,94.0100021362305,310.707000732422,18.4780006408691,14.7030000686646
12,C,1,1,39.0779991149902,86.7399978637695,NaN,NaN,87.1500015258789,121.024002075195,NaN,NaN,160.354995727539,256.472991943359,18.4419994354248,16.451000213623,NaN,NaN,NaN,NaN,NaN,NaN,9.01799964904785,36.2630004882813,22.9270000457764,30.0030002593994,NaN,NaN,NaN,NaN,22.5230007171631,97.5199966430664,10.25,37.3160018920898,58.4370002746582,77.5370025634766,18.3269996643066,15.4219999313354,115.546997070313,53.8370018005371,54.734001159668,54.3610000610352,14.4589996337891,25.2110004425049,76.2529983520508,46.7000007629395,40.4879989624024,79.0199966430664,2.24799990653992,3.84299993515015,310.502990722656,450.076995849609,NaN,NaN,75.4150009155273,190.647994995117,6.4689998626709,22.0960006713867
13,C,1,7,23.0429992675781,111.859001159668,NaN,NaN,78.2109985351562,222.464996337891,NaN,NaN,145.841003417969,213.298004150391,23.67799949646,8.13000011444092,NaN,NaN,NaN,NaN,NaN,NaN,6.00299978256226,32.2350006103516,19.5160007476807,28.5249996185303,NaN,NaN,NaN,NaN,19.5729999542236,106.455001831055,0.842000007629395,48.265998840332,62.3880004882813,85.3170013427734,20.6359996795654,48.5880012512207,71.5530014038086,54.9550018310547,34.2050018310547,12.8079996109009,13.2889995574951,11.3000001907349,51.2560005187988,45.0620002746582,54.8979988098145,181.664993286133,NaN,NaN,284.399993896484,460.464996337891,NaN,NaN,34.0209999084473,218.324005126953,2.31299996376038,20.7089996337891
14,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,C,5,4,32.9459991455078,61.0410003662109,NaN,NaN,89.9199981689453,300.212005615234,NaN,NaN,138.753005981445,231.925003051758,18.5739994049072,3.97000002861023,NaN,NaN,NaN,NaN,NaN,NaN,26.5219993591309,40.8660011291504,20.2910003662109,32.1599998474121,NaN,NaN,NaN,NaN,69.7379989624023,59.8870010375977,24.4540004730225,21.7530002593994,41.2029991149902,62.9090003967285,7.84299993515015,18.2600002288818,40.6469993591309,121.232002258301,41.2430000305176,48.6879997253418,18.5590000152588,7.57499980926514,37.9780006408691,69.620002746582,43.4570007324219,242.63200378418,2.23900008201599,37.8359985351562,315.598999023437,413.830993652344,NaN,NaN,90.8489990234375,303.239013671875,5.20300006866455,34.0810012817383
16,M,3,4,56.5099983215332,1.06500005722046,NaN,NaN,76.6380004882813,227.815994262695,NaN,NaN,154.580993652344,256.713012695312,17.4699993133545,9.52999973297119,NaN,NaN,NaN,NaN,NaN,NaN,18.5209999084473,21.246000289917,13.7049999237061,14.7659997940063,NaN,NaN,NaN,NaN,99.0090026855469,90.2009963989258,19.6140003204346,37.056999206543,97.3330001831055,66.8860015869141,30.0139999389648,45.3870010375977,60.3610000610352,116.825996398926,26.386999130249,77.4489974975586,21.2029991149902,21.4489994049072,47.8320007324219,55.923999786377,40.6180000305176,222.962005615234,NaN,NaN,435.260986328125,484.773986816406,NaN,NaN,44.0359992980957,273.102996826172,7.45499992370606,17.3199996948242
17,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,M,2,7,2.37700009346008,51.6940002441406,NaN,NaN,52.6100006103516,216.24299621582,NaN,NaN,128.660003662109,215.761001586914,14.331000328064,24.632999420166,NaN,NaN,NaN,NaN,NaN,NaN,22.5990009307861,56.351001739502,16.7290000915527,28.5750007629395,NaN,NaN,NaN,NaN,97.2460021972656,92.4540023803711,15.1409997940063,20.0380001068115,90.1039962768555,35.5810012817383,32.7220001220703,18.818000793457,67.6750030517578,115.49299621582,17.2609996795654,60.5919990539551,8.56799983978272,7.33699989318848,51.2229995727539,53.109001159668,16.1690006256104,160.009002685547,NaN,NaN,351.419006347656,441.286987304688,NaN,NaN,35.3660011291504,220.065002441406,0.025000000372529,4.0019998550415
19,M,7,2,78.5370025634766,65.7440032958984,NaN,NaN,82.5920028686523,207.686004638672,NaN,NaN,180.354995727539,190.805999755859,12.6899995803833,7.79099988937378,NaN,NaN,NaN,NaN,NaN,NaN,29.0930004119873,54.7519989013672,19.1909999847412,30.121000289917,NaN,NaN,NaN,NaN,68.9810028076172,95.6480026245117,11.923999786377,15.25,95.6620025634766,132.988006591797,55.314998626709,64.4420013427734,72.6259994506836,105.571998596191,41.9360008239746,40.7610015869141,15.3559999465942,9.54100036621094,64.3970031738281,71.1559982299805,42.5419998168945,237.712005615234,0.041999999433756,67.1480026245117,344.322998046875,450.808013916016,NaN,NaN,54.6259994506836,265.430999755859,2.35199999809265,18.7870006561279
