26 of 43 units, , , ,V4e106_00, ,V4e106_05, ,V4e106_06, ,V4e107_00, ,V4e108_00, ,V4e109_00, ,V4e109_01, ,V4e110_00, ,V4e110_03, ,V4e111_00, ,V4e111_01, ,V4e118_00, ,V4e118_01, ,V4e119_00, ,V4e120_00, ,V4e120_01, ,V4e120_02, ,V4e120_04, ,V4e121_00, ,V4e122_00, ,V4e122_03, ,V4e123_00, ,MTe099_00, ,MTe101_00, ,MTe104_00, ,MTe105_00, 
trials,task,color,motion,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample
11,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,C,2.0,2.0,43.78900146484375,137.16000366210938,NaN,NaN,NaN,NaN,8.029000282287598,33.387001037597656,13.090999603271484,9.11299991607666,32.499000549316406,53.770999908447266,0.004000000189989805,23.415000915527344,82.98500061035156,148.8939971923828,16.03700065612793,11.946999549865723,14.1899995803833,59.12099838256836,NaN,NaN,NaN,NaN,NaN,NaN,31.812999725341797,42.922000885009766,27.285999298095703,42.358001708984375,NaN,NaN,15.60200023651123,22.263999938964844,NaN,NaN,NaN,NaN,21.808000564575195,48.891998291015625,8.565999984741211,23.617000579833984,8.812999725341797,23.115999221801758,NaN,NaN,NaN,NaN,NaN,NaN,9.54800033569336,12.354000091552734
13,M,7.0,6.0,92.33599853515625,65.73200225830078,NaN,NaN,NaN,NaN,16.493000030517578,19.350000381469727,10.128000259399414,4.105999946594238,53.68000030517578,33.15299987792969,25.461999893188477,50.99100112915039,143.05299377441406,79.15299987792969,10.545999526977539,29.812000274658203,16.617000579833984,37.12200164794922,NaN,NaN,NaN,NaN,NaN,NaN,28.513999938964844,48.04199981689453,21.393999099731445,26.19300079345703,10.26099967956543,0.028999999165534973,NaN,NaN,NaN,NaN,NaN,NaN,52.516998291015625,38.321998596191406,19.966999053955078,13.270000457763672,13.25,15.678999900817871,NaN,NaN,NaN,NaN,NaN,NaN,6.204999923706055,11.090999603271484
14,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,C,2.0,6.0,65.60700225830078,96.0270004272461,NaN,NaN,NaN,NaN,16.658000946044922,8.645000457763672,22.565000534057617,13.574000358581543,38.090999603271484,60.459999084472656,10.352999687194824,51.82600021362305,131.5449981689453,90.23600006103516,18.738000869750977,11.975000381469727,30.948999404907227,35.87900161743164,NaN,NaN,0.2370000034570694,18.836999893188477,NaN,NaN,15.545000076293945,45.707000732421875,31.097000122070312,25.450000762939453,NaN,NaN,13.939000129699707,20.582000732421875,NaN,NaN,NaN,NaN,85.24600219726562,57.31700134277344,20.277000427246094,25.707000732421875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.19300079345703,17.422000885009766
17,M,2.0,1.0,56.65299987792969,171.11300659179688,NaN,NaN,NaN,NaN,22.194000244140625,28.785999298095703,9.739999771118164,23.658000946044922,53.11800003051758,69.08399963378906,16.02899932861328,14.055999755859375,119.36100006103516,150.16099548339844,13.479999542236328,18.534000396728516,21.871999740600586,77.46800231933594,NaN,NaN,NaN,NaN,NaN,NaN,22.295000076293945,38.81399917602539,11.720000267028809,27.253999710083008,16.791000366210938,0.050999999046325684,21.780000686645508,11.996000289916992,NaN,NaN,NaN,NaN,50.74599838256836,53.67499923706055,18.375,40.52299880981445,10.149999618530273,12.342000007629395,NaN,NaN,NaN,NaN,NaN,NaN,18.701000213623047,27.316999435424805
18,M,6.0,6.0,142.82400512695312,119.86699676513672,NaN,NaN,NaN,NaN,14.342000007629395,12.324999809265137,14.402999877929688,7.864999771118164,106.7699966430664,61.625,2.308000087738037,31.8799991607666,83.65699768066406,156.46200561523438,2.246000051498413,7.880000114440918,25.604000091552734,26.652000427246094,NaN,NaN,NaN,NaN,NaN,NaN,32.1879997253418,36.755001068115234,15.539999961853027,34.08700180053711,14.322999954223633,5.432000160217285,20.172000885009766,12.10099983215332,NaN,NaN,NaN,NaN,43.638999938964844,39.167999267578125,8.472999572753906,16.64699935913086,10.682999610900879,16.589000701904297,NaN,NaN,NaN,NaN,NaN,NaN,14.621999740600586,11.232999801635742
19,C,1.0,2.0,70.802001953125,116.8239974975586,NaN,NaN,NaN,NaN,13.088000297546387,10.090999603271484,17.195999145507812,18.792999267578125,52.47800064086914,40.71200180053711,12.878000259399414,22.57900047302246,118.60600280761719,112.29100036621094,5.922999858856201,0.5429999828338623,11.036999702453613,36.2140007019043,NaN,NaN,NaN,NaN,NaN,NaN,4.704999923706055,64.50900268554688,16.652999877929688,21.547000885009766,2.6600000858306885,4.001999855041504,2.878999948501587,30.392000198364258,NaN,NaN,NaN,NaN,21.79599952697754,55.71799850463867,16.60300064086914,10.730999946594238,14.281000137329102,12.015000343322754,NaN,NaN,NaN,NaN,NaN,NaN,13.470000267028809,19.249000549316406
20,C,1.0,2.0,100.4749984741211,93.01100158691406,NaN,NaN,NaN,NaN,16.08300018310547,25.753999710083008,17.479999542236328,2.318000078201294,64.75900268554688,66.94100189208984,4.36899995803833,53.819000244140625,120.38400268554688,151.45899963378906,4.573999881744385,31.399999618530273,31.743000030517578,39.849998474121094,NaN,NaN,NaN,NaN,NaN,NaN,20.913000106811523,38.266998291015625,24.24799919128418,19.10300064086914,NaN,NaN,17.94499969482422,15.970999717712402,NaN,NaN,NaN,NaN,62.19300079345703,31.666000366210938,27.325000762939453,15.121999740600586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.145000457763672,15.331000328063965
