42 of 48 units, , , , ,V4e043_00, , , ,V4e044_00, , , ,V4e044_01, , , ,V4e044_02, , , ,V4e044_03, , , ,V4e044_04, , , ,V4e045_00, , , ,V4e045_01, , , ,V4e046_00, , , ,V4e046_01, , , ,V4e047_00, , , ,V4e048_00, , , ,V4e052_00, , , ,V4e053_00, , , ,V4e053_01, , , ,V4e054_00, , , ,V4e055_00, , , ,V4e055_01, , , ,V4e056_00, , , ,MTe037_00, , , ,MTe037_04, , , ,MTe038_00, , , ,MTe038_01, , , ,MTe038_02, , , ,MTe039_00, , , ,MTe039_01, , , ,MTe039_02, , , ,MTe039_03, , , ,MTe039_04, , , ,MTe040_00, , , ,MTe042_00, , , ,MTe042_02, , , ,MTe042_03, , , ,MTe049_00, , , ,MTe049_01, , , ,MTe050_00, , , ,MTe050_01, , , ,MTe051_00, , , ,MTe051_01, , , ,MTe051_02, , , ,MTe051_03, , , ,MTe051_04, , , 
trials,task,correct,color,motion,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample
1,M,1,2.0,6.0,6.501999855041504,4.52400016784668,7.427000045776367,16.246000289916992,17.827999114990234,27.415000915527344,45.40599822998047,38.04100036621094,25.399999618530273,23.047000885009766,27.21500015258789,42.895999908447266,9.41100025177002,13.11400032043457,9.755999565124512,25.913000106811523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.33599853515625,144.73599243164062,152.95700073242188,61.47600173950195,2.0980000495910645,11.076000213623047,22.233999252319336,9.996000289916992,17.017000198364258,42.71799850463867,30.200000762939453,23.132999420166016,2.8889999389648438,62.07400131225586,59.441001892089844,18.423999786376953,42.553001403808594,62.268001556396484,65.98400115966797,59.270999908447266,180.25,147.3179931640625,147.51300048828125,139.55099487304688,108.50599670410156,106.93599700927734,26.44499969482422,5.535999774932861,93.48300170898438,151.34500122070312,86.25900268554688,130.8179931640625,NaN,NaN,NaN,NaN,13.89900016784668,2.2899999618530273,0.06599999964237213,20.70800018310547,27.59600067138672,10.053999900817871,24.32900047302246,63.82400131225586,7.005000114440918,15.831000328063965,8.609000205993652,12.991000175476074,87.0260009765625,16.469999313354492,83.30799865722656,130.63999938964844,42.70000076293945,7.919000148773193,26.34600067138672,11.482000350952148,8.437000274658203,6.589000225067139,19.257999420166016,0.04800000041723251,145.00999450683594,178.42799377441406,95.16600036621094,85.41200256347656,52.77399826049805,56.93199920654297,29.11199951171875,37.30699920654297,NaN,NaN,NaN,NaN,63.42900085449219,153.47999572753906,121.8489990234375,179.0030059814453,63.090999603271484,118.05699920654297,71.73100280761719,154.3300018310547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.16999816894531,16.13800048828125,24.82900047302246,30.27899932861328,2.306999921798706,0.0010000000474974513,2.242000102996826,4.942999839782715,NaN,NaN,NaN,NaN,80.84500122070312,111.55599975585938,173.08999633789062,116.55999755859375,8.770000457763672,37.09299850463867,19.986000061035156,4.645999908447266,100.84100341796875,86.47599792480469,96.52799987792969,69.23999786376953,9.065999984741211,14.859999656677246,34.696998596191406,7.110000133514404,69.68399810791016,106.76899719238281,65.83999633789062,95.40899658203125,2.3429999351501465,16.65399932861328,0.1340000033378601,8.055000305175781,0.05900000035762787,11.13700008392334,5.065000057220459,3.140000104904175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,M,1,1.0,7.0,2.3399999141693115,2.510999917984009,8.043999671936035,15.48799991607666,11.913000106811523,29.801000595092773,25.722999572753906,27.454999923706055,27.66900062561035,25.402000427246094,35.85300064086914,24.339000701904297,11.237000465393066,14.652999877929688,10.821000099182129,15.22700023651123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.78099822998047,111.01200103759766,104.7249984741211,111.052001953125,4.441999912261963,20.812000274658203,24.343000411987305,50.016998291015625,37.250999450683594,33.81800079345703,53.98400115966797,55.400001525878906,10.642999649047852,43.715999603271484,45.125999450683594,16.400999069213867,53.01100158691406,23.97800064086914,67.93000030517578,131.75900268554688,97.38999938964844,123.17400360107422,164.29600524902344,167.01800537109375,80.27999877929688,50.79600143432617,40.209999084472656,36.6349983215332,71.79000091552734,150.40199279785156,61.62300109863281,180.16700744628906,NaN,NaN,NaN,NaN,8.437999725341797,4.5370001792907715,0.0010000000474974513,4.007999897003174,55.055999755859375,23.308000564575195,10.902000427246094,29.445999145507812,NaN,NaN,NaN,NaN,74.84700012207031,45.17499923706055,24.764999389648438,106.74800109863281,25.020000457763672,14.404999732971191,12.54800033569336,7.322000026702881,8.496999740600586,4.491000175476074,1.5019999742507935,5.098999977111816,164.13699340820312,126.52899932861328,158.81900024414062,116.52799987792969,50.52199935913086,16.850000381469727,39.21699905395508,62.2859992980957,NaN,NaN,NaN,NaN,18.542999267578125,93.91100311279297,156.42999267578125,102.052001953125,5.09499979019165,81.8759994506836,87.74099731445312,53.553001403808594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7929999828338623,35.617000579833984,43.23899841308594,29.325000762939453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,112.75299835205078,114.35099792480469,108.41999816894531,211.96400451660156,16.545000076293945,21.374000549316406,23.16900062561035,0.050999999046325684,72.44499969482422,133.29600524902344,128.73699951171875,169.26600646972656,10.800999641418457,12.506999969482422,40.47700119018555,32.770999908447266,23.87700080871582,78.58300018310547,49.77399826049805,63.82400131225586,0.10199999809265137,8.836999893188477,0.017000000923871994,8.050999641418457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,C,1,6.0,6.0,2.299999952316284,2.2799999713897705,2.2730000019073486,7.507999897003174,22.86199951171875,24.354999542236328,18.812999725341797,51.87699890136719,25.18899917602539,36.77199935913086,36.38199996948242,30.533000946044922,11.180999755859375,5.5920000076293945,10.657999992370605,18.02400016784668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.01100158691406,120.80899810791016,78.04399871826172,66.2959976196289,12.824999809265137,8.734999656677246,19.781999588012695,5.177999973297119,26.457000732421875,42.27899932861328,50.66899871826172,43.909000396728516,14.39900016784668,8.770000457763672,13.723999977111816,9.277000427246094,19.606000900268555,49.74599838256836,27.250999450683594,80.91300201416016,100.2239990234375,81.86100006103516,77.24800109863281,134.58200073242188,2.944999933242798,21.013999938964844,54.981998443603516,128.39500427246094,23.836999893188477,116.427001953125,80.90499877929688,113.77300262451172,NaN,NaN,NaN,NaN,4.535999774932861,0.026000000536441803,11.836999893188477,9.940999984741211,24.465999603271484,8.97700023651123,31.975000381469727,41.4109992980957,NaN,NaN,NaN,NaN,75.18000030517578,33.81999969482422,99.8759994506836,96.48699951171875,28.604999542236328,17.88800048828125,44.30099868774414,15.375,24.461999893188477,15.199000358581543,3.197999954223633,1.930999994277954,165.3520050048828,77.15399932861328,136.44700622558594,72.00199890136719,97.20500183105469,16.363000869750977,49.82699966430664,23.197999954223633,NaN,NaN,NaN,NaN,35.19599914550781,95.51100158691406,37.84299850463867,117.58999633789062,10.791000366210938,85.822998046875,21.47800064086914,96.99800109863281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.814000129699707,52.948001861572266,34.15599822998047,55.22200012207031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.3759994506836,48.970001220703125,76.57599639892578,96.96800231933594,NaN,NaN,NaN,NaN,109.5479965209961,50.040000915527344,86.79000091552734,119.5459976196289,28.450000762939453,19.39699935913086,32.875,27.158000946044922,10.730999946594238,81.80000305175781,38.0,42.96500015258789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,M,1,6.0,6.0,NaN,NaN,NaN,NaN,22.562000274658203,26.31599998474121,25.900999069213867,42.07699966430664,23.10099983215332,32.61800003051758,34.22700119018555,35.9370002746582,12.699000358581543,12.937000274658203,19.83300018310547,23.472999572753906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.30500030517578,116.69200134277344,155.02499389648438,90.31800079345703,2.315999984741211,2.2679998874664307,15.916999816894531,4.743000030517578,39.41299819946289,18.58300018310547,41.551998138427734,66.28199768066406,17.000999450683594,53.69499969482422,64.1709976196289,21.368000030517578,52.277000427246094,69.08300018310547,36.124000549316406,32.111000061035156,133.2830047607422,160.2449951171875,146.3350067138672,110.69599914550781,30.742000579833984,30.159000396728516,54.000999450683594,50.86399841308594,68.73699951171875,101.56099700927734,93.53500366210938,119.927001953125,NaN,NaN,NaN,NaN,8.359000205993652,11.145000457763672,8.407999992370605,4.150000095367432,48.17399978637695,13.699000358581543,43.89400100708008,69.35099792480469,NaN,NaN,NaN,NaN,152.19000244140625,47.8849983215332,105.53099822998047,99.74600219726562,38.44900131225586,14.07800006866455,19.351999282836914,10.89900016784668,36.297000885009766,15.055999755859375,0.0,0.0,196.6739959716797,109.74299621582031,171.41099548339844,33.02299880981445,104.28600311279297,42.72999954223633,118.80699920654297,16.64900016784668,NaN,NaN,NaN,NaN,55.430999755859375,79.31500244140625,45.564998626708984,72.9219970703125,39.255001068115234,44.986000061035156,42.9630012512207,92.50800323486328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.527999877929688,22.121999740600586,16.09000015258789,46.540000915527344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.90299987792969,98.88800048828125,148.77999877929688,114.91699981689453,6.433000087738037,20.301000595092773,13.515000343322754,9.906999588012695,70.35399627685547,84.56700134277344,113.1989974975586,62.77299880981445,4.511000156402588,2.3959999084472656,21.458999633789062,22.871999740600586,26.541000366210938,41.229000091552734,22.957000732421875,32.340999603271484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,M,1,7.0,2.0,0.9490000009536743,2.253999948501587,7.7270002365112305,7.304999828338623,9.604000091552734,17.649999618530273,22.187999725341797,40.189998626708984,31.61400032043457,32.06700134277344,37.17399978637695,38.821998596191406,6.193999767303467,10.956000328063965,14.218999862670898,11.630000114440918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,118.50399780273438,101.89700317382812,94.3290023803711,97.12999725341797,10.300000190734863,16.64900016784668,13.758000373840332,12.904000282287598,34.97999954223633,27.774999618530273,32.928001403808594,50.87699890136719,17.29599952697754,55.95800018310547,53.262001037597656,20.91900062561035,28.94499969482422,29.93400001525879,50.11899948120117,46.0629997253418,136.9340057373047,85.65899658203125,140.53500366210938,121.68900299072266,42.347999572753906,18.829999923706055,16.71299934387207,18.08300018310547,119.93599700927734,127.677001953125,55.83100128173828,161.03199768066406,NaN,NaN,NaN,NaN,0.07400000095367432,6.0289998054504395,6.883999824523926,18.128000259399414,15.229000091552734,11.440999984741211,21.67300033569336,72.14299774169922,10.605999946594238,10.407999992370605,2.8929998874664307,7.548999786376953,55.24700164794922,39.5989990234375,77.05599975585938,146.21200561523438,20.389999389648438,4.308000087738037,20.274999618530273,33.09299850463867,21.356000900268555,0.0,0.11299999803304672,37.22600173950195,197.95399475097656,50.23099899291992,39.95899963378906,242.88400268554688,75.70700073242188,8.454999923706055,0.06199999898672104,28.275999069213867,NaN,NaN,NaN,NaN,32.54600143432617,66.5009994506836,23.972000122070312,163.96299743652344,22.61199951171875,78.1500015258789,38.13399887084961,183.9600067138672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.54800033569336,18.07200050354004,14.656999588012695,33.349998474121094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.30999755859375,78.31400299072266,101.58999633789062,110.99500274658203,7.206999778747559,22.003000259399414,19.16900062561035,6.445000171661377,166.66900634765625,35.63800048828125,37.55699920654297,69.9489974975586,13.088000297546387,9.057999610900879,0.6349999904632568,16.599000930786133,29.270000457763672,67.10199737548828,18.301000595092773,42.939998626708984,3.9690001010894775,7.019999980926514,0.07500000298023224,15.107999801635742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,C,1,2.0,7.0,10.64900016784668,2.256999969482422,4.328000068664551,7.638000011444092,12.211999893188477,20.97599983215332,20.82699966430664,37.47600173950195,29.392000198364258,30.481000900268555,32.66299819946289,28.10099983215332,7.5289998054504395,15.326000213623047,9.659000396728516,15.939000129699707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94.01599884033203,69.08100128173828,40.5620002746582,71.94999694824219,4.760000228881836,16.148000717163086,4.249000072479248,4.019000053405762,23.33799934387207,45.189998626708984,54.45899963378906,29.30699920654297,12.333999633789062,7.639999866485596,17.410999298095703,6.919000148773193,72.25499725341797,28.908000946044922,50.000999450683594,36.34600067138672,110.14700317382812,107.3290023803711,74.14099884033203,105.39099884033203,82.90399932861328,44.14799880981445,36.36600112915039,48.242000579833984,74.50800323486328,93.02200317382812,51.5890007019043,128.23800659179688,NaN,NaN,NaN,NaN,8.456000328063965,8.324999809265137,8.5,4.046999931335449,12.899999618530273,17.422000885009766,12.12600040435791,19.739999771118164,8.916000366210938,4.546000003814697,0.11100000143051147,7.074999809265137,105.84600067138672,97.56999969482422,59.00600051879883,88.31500244140625,14.880999565124512,42.4900016784668,38.35900115966797,14.706000328063965,2.246000051498413,41.11199951171875,10.37399959564209,0.014999999664723873,237.7220001220703,163.77699279785156,104.23699951171875,93.72799682617188,76.05000305175781,56.58599853515625,44.189998626708984,48.2859992980957,NaN,NaN,NaN,NaN,83.76499938964844,64.11900329589844,44.39799880981445,136.33299255371094,64.78800201416016,88.4209976196289,35.242000579833984,122.2770004272461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.562000274658203,11.82699966430664,18.788999557495117,29.989999771118164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.86000061035156,38.82600021362305,80.73500061035156,112.81700134277344,13.751999855041504,17.108999252319336,22.888999938964844,4.01800012588501,115.82599639892578,70.87999725341797,108.18699645996094,109.66000366210938,8.814000129699707,8.722999572753906,2.2360000610351562,65.99099731445312,53.72999954223633,118.29199981689453,23.60099983215332,71.36900329589844,7.925000190734863,10.060999870300293,0.0,0.006000000052154064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,M,1,6.0,1.0,NaN,NaN,NaN,NaN,10.52299976348877,16.834999084472656,28.878999710083008,57.95000076293945,24.916000366210938,39.35499954223633,35.176998138427734,34.6870002746582,8.428000450134277,12.64799976348877,11.411999702453613,19.479999542236328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.42500305175781,145.60899353027344,89.01899719238281,104.59300231933594,8.519000053405762,21.98900032043457,6.815000057220459,23.691999435424805,37.75600051879883,24.520000457763672,28.003000259399414,31.16699981689453,11.392000198364258,67.31300354003906,65.77799987792969,25.618000030517578,35.79800033569336,55.65599822998047,33.10200119018555,40.143001556396484,99.6709976196289,126.58000183105469,110.2239990234375,81.95099639892578,21.711000442504883,19.02899932861328,35.85200119018555,42.400001525878906,91.78500366210938,105.08699798583984,71.00700378417969,47.849998474121094,NaN,NaN,NaN,NaN,3.9839999675750732,6.307000160217285,4.218999862670898,6.008999824523926,16.268999099731445,10.972999572753906,15.321000099182129,42.099998474121094,NaN,NaN,NaN,NaN,106.68599700927734,39.81999969482422,99.57099914550781,114.25700378417969,4.178999900817871,4.51200008392334,16.743000030517578,3.503999948501587,4.48199987411499,12.345999717712402,10.789999961853027,0.0,177.0189971923828,79.56600189208984,102.24299621582031,89.15499877929688,65.7300033569336,28.426000595092773,23.163000106811523,16.312000274658203,NaN,NaN,NaN,NaN,33.07699966430664,33.520999908447266,75.90299987792969,148.3730010986328,33.25699996948242,26.961999893188477,53.68199920654297,154.24600219726562,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.071999549865723,24.327999114990234,28.354000091552734,33.56800079345703,0.03999999910593033,0.0,0.01600000075995922,18.111000061035156,NaN,NaN,NaN,NaN,91.48600006103516,71.56500244140625,166.1230010986328,126.85800170898438,19.965999603271484,16.30900001525879,7.4770002365112305,0.019999999552965164,104.9489974975586,72.19200134277344,71.447998046875,97.9729995727539,29.05500030517578,10.85099983215332,10.675000190734863,20.98200035095215,60.345001220703125,69.76399993896484,53.45899963378906,58.88199996948242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,M,1,2.0,2.0,NaN,NaN,NaN,NaN,17.492000579833984,27.836999893188477,36.63800048828125,38.380001068115234,32.11399841308594,28.649999618530273,30.45199966430664,35.51499938964844,12.015000343322754,22.216999053955078,18.256000518798828,8.364999771118164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.8120002746582,102.69999694824219,84.66300201416016,71.24500274658203,4.264999866485596,5.0960001945495605,5.546000003814697,10.942000389099121,38.04800033569336,64.72599792480469,81.1719970703125,60.7869987487793,17.48200035095215,39.178001403808594,39.02000045776367,15.184000015258789,35.805999755859375,44.92900085449219,54.944000244140625,62.757999420166016,83.5009994506836,122.99299621582031,168.18699645996094,70.0979995727539,21.864999771118164,50.14699935913086,76.42500305175781,26.711999893188477,70.05400085449219,121.82599639892578,58.810001373291016,112.5790023803711,NaN,NaN,NaN,NaN,11.390000343322754,3.6659998893737793,4.624000072479248,11.553000450134277,12.279000282287598,11.73900032043457,6.814000129699707,33.04499816894531,NaN,NaN,NaN,NaN,44.38100051879883,54.08100128173828,69.5260009765625,142.1529998779297,46.1609992980957,36.32500076293945,28.261999130249023,23.059999465942383,30.736000061035156,8.376999855041504,23.47599983215332,13.543000221252441,155.3730010986328,114.45800018310547,112.83499908447266,93.06800079345703,79.8949966430664,42.0,47.069000244140625,29.615999221801758,NaN,NaN,NaN,NaN,45.61199951171875,124.79399871826172,109.32099914550781,146.83999633789062,27.527999877929688,95.43499755859375,80.83100128173828,128.11399841308594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.897000312805176,73.1729965209961,52.97800064086914,29.01300048828125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94.62200164794922,112.4520034790039,87.36900329589844,135.6750030517578,NaN,NaN,NaN,NaN,121.4280014038086,134.61199951171875,83.20099639892578,117.47200012207031,14.711000442504883,16.833999633789062,3.0230000019073486,53.11600112915039,13.564000129699707,87.65699768066406,20.027999877929688,42.97700119018555,NaN,NaN,NaN,NaN,2.2890000343322754,0.017000000923871994,2.253999948501587,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,C,1,1.0,6.0,NaN,NaN,NaN,NaN,21.07699966430664,26.10099983215332,34.659000396728516,49.20800018310547,31.447999954223633,38.3650016784668,42.685001373291016,37.30799865722656,6.668000221252441,10.09000015258789,12.300999641418457,11.5600004196167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.687000274658203,86.20999908447266,80.2979965209961,57.185001373291016,6.255000114440918,8.958000183105469,7.952000141143799,5.513000011444092,47.755001068115234,44.03499984741211,53.108001708984375,57.76900100708008,16.39699935913086,8.52299976348877,8.781999588012695,13.319999694824219,41.4739990234375,62.20800018310547,82.31099700927734,45.31399917602539,62.696998596191406,91.73200225830078,119.0459976196289,182.67599487304688,35.900001525878906,11.010000228881836,26.763999938964844,28.11400032043457,56.86399841308594,92.03700256347656,68.125,140.85800170898438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.22499999403953552,22.172000885009766,17.150999069213867,17.047000885009766,NaN,NaN,NaN,NaN,42.32400131225586,51.36199951171875,65.3740005493164,70.01599884033203,11.819000244140625,37.90700149536133,51.79199981689453,39.35499954223633,2.4509999752044678,25.9689998626709,12.581999778747559,5.019000053405762,154.29800415039062,128.64700317382812,98.08999633789062,41.189998626708984,42.96900177001953,33.042999267578125,38.89799880981445,27.461999893188477,NaN,NaN,NaN,NaN,29.52400016784668,85.79100036621094,120.1050033569336,118.5719985961914,17.395000457763672,63.79399871826172,73.78299713134766,99.40399932861328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8379999995231628,8.744999885559082,8.005999565124512,0.08500000089406967,10.894000053405762,41.55400085449219,34.810001373291016,54.33700180053711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.65299987792969,57.242000579833984,68.4000015258789,164.2259979248047,27.30299949645996,2.7160000801086426,0.878000020980835,9.857999801635742,141.85499572753906,51.04399871826172,97.48899841308594,121.16500091552734,21.71500015258789,9.357999801635742,18.39299964904785,34.26900100708008,25.033000946044922,65.87000274658203,51.297000885009766,88.24199676513672,0.09600000083446503,4.489999771118164,6.806000232696533,0.04800000041723251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,M,1,6.0,6.0,4.357999801635742,2.2799999713897705,2.2880001068115234,10.687000274658203,21.792999267578125,35.37300109863281,29.948999404907227,39.3489990234375,14.743000030517578,33.13100051879883,35.14699935913086,38.52299880981445,14.545000076293945,16.086000442504883,23.77199935913086,13.074000358581543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.39099884033203,81.96800231933594,87.18800354003906,36.39500045776367,NaN,NaN,NaN,NaN,26.75200080871582,48.9379997253418,71.76599884033203,47.91999816894531,8.562000274658203,37.106998443603516,36.499000549316406,15.763999938964844,21.483999252319336,58.40599822998047,41.84299850463867,29.854999542236328,118.40599822998047,163.2270050048828,197.73199462890625,101.15399932861328,88.91899871826172,27.365999221801758,35.652000427246094,28.503999710083008,59.24599838256836,105.2699966430664,71.25700378417969,124.08599853515625,NaN,NaN,NaN,NaN,4.591000080108643,6.064000129699707,8.538999557495117,15.168999671936035,21.148000717163086,5.673999786376953,25.908000946044922,43.14400100708008,NaN,NaN,NaN,NaN,69.27400207519531,124.45899963378906,122.88999938964844,70.17400360107422,27.76300048828125,57.85499954223633,29.16699981689453,15.951000213623047,5.160999774932861,29.43000030517578,4.514999866485596,37.14899826049805,129.48599243164062,135.26699829101562,166.17999267578125,97.36299896240234,32.38800048828125,53.893001556396484,61.00699996948242,22.836999893188477,NaN,NaN,NaN,NaN,39.24300003051758,94.70099639892578,48.922000885009766,111.40699768066406,39.25199890136719,74.68199920654297,65.572998046875,94.43199920654297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.804000854492188,50.534000396728516,30.99799919128418,22.959999084472656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,113.27400207519531,73.31800079345703,119.03700256347656,163.3520050048828,NaN,NaN,NaN,NaN,84.1719970703125,75.01799774169922,105.26000213623047,151.5399932861328,12.934000015258789,7.914999961853027,30.663000106811523,20.253999710083008,37.6870002746582,83.83300018310547,51.0880012512207,37.584999084472656,4.61899995803833,8.840999603271484,6.3420000076293945,0.04399999976158142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
