37 of 48 units, , , , ,V4e111_00, , , ,V4e111_01, , , ,V4e111_02, , , ,V4e111_03, , , ,V4e112_00, , , ,V4e112_01, , , ,V4e113_00, , , ,V4e113_02, , , ,V4e115_00, , , ,V4e115_01, , , ,V4e115_03, , , ,V4e116_00, , , ,V4e116_02, , , ,V4e116_03, , , ,V4e117_00, , , ,V4e119_00, , , ,V4e119_01, , , ,V4e122_00, , , ,V4e122_01, , , ,V4e122_02, , , ,MTe079_00, , , ,MTe079_01, , , ,MTe079_02, , , ,MTe081_00, , , ,MTe081_01, , , ,MTe083_00, , , ,MTe083_01, , , ,MTe083_02, , , ,MTe095_00, , , ,MTe095_01, , , ,MTe096_00, , , ,MTe096_01, , , ,MTe097_00, , , ,MTe097_01, , , ,MTe097_02, , , ,MTe097_03, , , ,MTe098_00, , , 
trials,task,correct,color,motion,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample
1,M,0,5.0,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.079999923706055,39.880001068115234,4.388000011444092,24.18400001525879,NaN,NaN,NaN,NaN,62.3380012512207,40.487998962402344,70.24099731445312,137.75900268554688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.065999984741211,179.8280029296875,10.753000259399414,200.5749969482422,5.2170000076293945,85.81099700927734,0.11500000208616257,45.481998443603516,0.28700000047683716,20.961000442504883,0.04899999871850014,54.98699951171875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.00600004196167,40.78799819946289,26.645999908447266,53.62300109863281,0.11100000143051147,2.244999885559082,9.555999755859375,13.39900016784668,0.18799999356269836,8.598999977111816,2.249000072479248,22.04599952697754,17.950000762939453,45.90399932861328,17.124000549316406,40.24599838256836,NaN,NaN,NaN,NaN,11.015000343322754,30.334999084472656,10.970999717712402,17.476999282836914,17.989999771118164,12.633999824523926,6.860000133514404,4.110000133514404,5.9730000495910645,19.81599998474121,7.385000228881836,25.922000885009766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.875,72.27999877929688,37.28799819946289,72.33999633789062,15.293000221252441,14.642000198364258,4.513999938964844,15.451000213623047,2.515000104904175,10.442000389099121,8.25100040435791,32.06399917602539,1.534000039100647,13.324999809265137,3.2119998931884766,11.315999984741211,NaN,NaN,NaN,NaN,6.375,22.229000091552734,0.41100001335144043,16.486000061035156,8.401000022888184,5.538000106811523,5.504000186920166,14.309000015258789
2,C,1,7.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.371000289916992,21.79400062561035,38.0880012512207,29.913000106811523,4.486000061035156,8.812000274658203,10.6899995803833,7.658999919891357,84.73600006103516,112.302001953125,57.926998138427734,126.50900268554688,19.461999893188477,16.39299964904785,0.0010000000474974513,5.2729997634887695,4.01800012588501,4.336999893188477,8.866999626159668,7.005000114440918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.376999855041504,45.81100082397461,37.797000885009766,155.84500122070312,4.061999797821045,32.231998443603516,21.36199951171875,76.0510025024414,0.07999999821186066,1.8589999675750732,2.75,31.334999084472656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.499000549316406,79.21600341796875,67.43599700927734,78.50800323486328,NaN,NaN,NaN,NaN,0.15399999916553497,14.559000015258789,0.0010000000474974513,12.97599983215332,11.211000442504883,28.27400016784668,57.48500061035156,24.774999618530273,NaN,NaN,NaN,NaN,8.3100004196167,34.34299850463867,28.405000686645508,13.74899959564209,0.1679999977350235,11.234999656677246,11.152999877929688,8.131999969482422,5.2769999504089355,26.680999755859375,26.783000946044922,21.367000579833984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.145999908447266,38.75,84.19000244140625,84.19499969482422,0.11100000143051147,8.237000465393066,14.746000289916992,11.182999610900879,2.4590001106262207,10.958999633789062,2.1510000228881836,8.723999977111816,2.3940000534057617,4.383999824523926,1.968000054359436,7.859000205993652,NaN,NaN,NaN,NaN,0.1420000046491623,6.426000118255615,4.381999969482422,4.531000137329102,4.452000141143799,9.326000213623047,10.416000366210938,9.560999870300293
3,C,1,1.0,6.0,NaN,NaN,NaN,NaN,2.7920000553131104,29.884000778198242,6.696000099182129,4.052999973297119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.20599937438965,30.608999252319336,15.243000030517578,29.52400016784668,NaN,NaN,NaN,NaN,13.281000137329102,83.74400329589844,48.20800018310547,42.3120002746582,NaN,NaN,NaN,NaN,6.558000087738037,2.2699999809265137,0.10700000077486038,32.571998596191406,NaN,NaN,NaN,NaN,0.08100000023841858,2.2699999809265137,0.023000000044703484,21.520000457763672,0.4740000069141388,4.515999794006348,2.4590001106262207,179.8560028076172,0.22300000488758087,0.0,0.1120000034570694,74.7750015258789,0.13099999725818634,0.0,0.12399999797344208,67.56300354003906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,143.0780029296875,72.81800079345703,61.0890007019043,132.3800048828125,2.3350000381469727,0.02500000037252903,1.4579999446868896,9.03499984741211,2.4000000953674316,1.4229999780654907,8.640000343322754,13.595999717712402,45.61600112915039,30.545000076293945,45.12200164794922,67.24700164794922,NaN,NaN,NaN,NaN,36.54499816894531,22.32200050354004,27.22100067138672,31.72800064086914,10.744000434875488,17.895000457763672,15.668000221252441,3.996999979019165,4.425000190734863,7.681000232696533,15.70199966430664,26.579999923706055,10.678000450134277,2.6410000324249268,2.3570001125335693,3.3429999351501465,2.302000045776367,0.0010000000474974513,0.02500000037252903,4.001999855041504,50.395999908447266,143.83299255371094,77.33699798583984,75.48799896240234,13.175999641418457,45.27299880981445,19.023000717163086,29.841999053955078,18.80699920654297,4.2729997634887695,8.612000465393066,21.923999786376953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.315000057220459,2.253999948501587,6.315000057220459,4.0970001220703125,8.784000396728516,10.425000190734863,9.592000007629395,17.148000717163086
4,C,1,6.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.21500015258789,31.104999542236328,8.392999649047852,37.47800064086914,10.70300006866455,6.242000102996826,6.328000068664551,14.996000289916992,37.54600143432617,37.805999755859375,53.904998779296875,81.49700164794922,NaN,NaN,NaN,NaN,0.10300000011920929,8.435999870300293,10.62600040435791,21.753000259399414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6169999837875366,21.5049991607666,38.637001037597656,195.46499633789062,0.23600000143051147,10.663000106811523,11.83899974822998,84.87899780273438,0.11400000005960464,2.2679998874664307,13.262999534606934,36.112998962402344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.82600021362305,97.16400146484375,81.68599700927734,115.65299987792969,NaN,NaN,NaN,NaN,8.444999694824219,0.04500000178813934,10.394000053405762,14.843999862670898,10.708000183105469,60.893001556396484,57.4379997253418,45.05500030517578,NaN,NaN,NaN,NaN,13.065999984741211,16.145999908447266,25.865999221801758,41.143001556396484,11.170999526977539,0.2619999945163727,4.504000186920166,12.145000457763672,0.09700000286102295,4.21999979019165,4.188000202178955,22.367000579833984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.575000762939453,105.0780029296875,74.89099884033203,90.75499725341797,13.746000289916992,36.38600158691406,13.937999725341797,29.2810001373291,6.997000217437744,9.847000122070312,20.99799919128418,13.53600025177002,0.13600000739097595,4.27400016784668,8.395000457763672,12.086000442504883,NaN,NaN,NaN,NaN,2.4600000381469727,10.651000022888184,20.56100082397461,16.972999572753906,10.664999961853027,9.194000244140625,11.711999893188477,35.814998626708984
5,C,1,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.253000259399414,25.468000411987305,20.68199920654297,16.062999725341797,NaN,NaN,NaN,NaN,18.57900047302246,80.92900085449219,33.88399887084961,6.781000137329102,NaN,NaN,NaN,NaN,0.2460000067949295,38.255001068115234,11.026000022888184,18.47599983215332,NaN,NaN,NaN,NaN,0.13300000131130219,16.288000106811523,0.04899999871850014,33.215999603271484,3.0910000801086426,102.322998046875,66.7750015258789,166.04100036621094,0.36500000953674316,62.74100112915039,18.965999603271484,60.16999816894531,0.12300000339746475,14.520999908447266,6.678999900817871,30.08300018310547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.192999839782715,45.24599838256836,140.88800048828125,167.31199645996094,NaN,NaN,NaN,NaN,0.164000004529953,10.512999534606934,12.324000358581543,6.308000087738037,31.45599937438965,55.17100143432617,48.29999923706055,144.75599670410156,NaN,NaN,NaN,NaN,19.937000274658203,16.172000885009766,27.072999954223633,45.54899978637695,16.216999053955078,21.099000930786133,16.378000259399414,15.468999862670898,23.582000732421875,22.207000732421875,0.14000000059604645,19.222000122070312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.81100082397461,52.75699996948242,50.57600021362305,109.44100189208984,6.703000068664551,10.449999809265137,14.803999900817871,28.954999923706055,0.23399999737739563,12.472000122070312,10.29699993133545,48.834999084472656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1459999978542328,10.444999694824219,16.42099952697754,18.02400016784668,9.107000350952148,7.702000141143799,8.314000129699707,28.017000198364258
6,M,1,1.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3149999976158142,34.555999755859375,50.86600112915039,29.15399932861328,NaN,NaN,NaN,NaN,0.6019999980926514,66.40899658203125,27.993000030517578,151.625,NaN,NaN,NaN,NaN,0.1850000023841858,12.432999610900879,8.666000366210938,42.1879997253418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.51599884033203,106.48100280761719,12.531000137329102,162.19500732421875,12.53499984741211,48.32899856567383,6.584000110626221,52.43600082397461,10.234000205993652,10.204000473022461,0.008999999612569809,26.382999420166016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.22599792480469,31.16699981689453,95.55000305175781,66.14900207519531,12.312000274658203,2.2239999771118164,2.255000114440918,21.034000396728516,6.500999927520752,4.46999979019165,4.168000221252441,4.017000198364258,22.763999938964844,13.972999572753906,24.461000442504883,47.04499816894531,NaN,NaN,NaN,NaN,32.51499938964844,15.23799991607666,17.808000564575195,40.14099884033203,NaN,NaN,NaN,NaN,28.4950008392334,10.420000076293945,13.458000183105469,22.208999633789062,2.2860000133514404,0.0,2.2690000534057617,0.04600000008940697,7.752999782562256,3.0420000553131104,0.0,0.10400000214576721,18.090999603271484,20.783000946044922,34.040000915527344,83.32499694824219,4.683000087738037,2.2880001068115234,19.767000198364258,16.349000930786133,4.5269999504089355,10.689000129699707,15.918000221252441,28.6299991607666,2.3380000591278076,4.557000160217285,8.276000022888184,14.913999557495117,NaN,NaN,NaN,NaN,4.623000144958496,8.468999862670898,12.602999687194824,14.76099967956543,4.35699987411499,0.0010000000474974513,6.418000221252441,38.70899963378906
7,C,0,4.0,5.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.14699935913086,15.192000389099121,27.07200050354004,81.125,NaN,NaN,NaN,NaN,74.75199890136719,44.895999908447266,21.075000762939453,75.9229965209961,NaN,NaN,NaN,NaN,3.571000099182129,14.791000366210938,0.024000000208616257,13.932000160217285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.663000106811523,51.981998443603516,2.450000047683716,152.9340057373047,3.865999937057495,16.965999603271484,0.054999999701976776,46.5989990234375,3.618000030517578,15.095999717712402,0.09099999815225601,25.87700080871582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93.04100036621094,72.4229965209961,52.42100143432617,71.77100372314453,0.09200000017881393,6.408999919891357,2.388000011444092,20.829999923706055,17.992000579833984,4.5370001792907715,7.144999980926514,33.69200134277344,19.437999725341797,65.59200286865234,34.439998626708984,44.327999114990234,NaN,NaN,NaN,NaN,7.894999980926514,33.58700180053711,23.683000564575195,21.707000732421875,NaN,NaN,NaN,NaN,8.270999908447266,18.246000289916992,12.574000358581543,24.277999877929688,0.05299999937415123,8.782999992370605,2.2909998893737793,0.06400000303983688,NaN,NaN,NaN,NaN,8.17300033569336,40.362998962402344,63.08700180053711,71.43599700927734,0.09799999743700027,6.440000057220459,13.295999526977539,22.61400032043457,4.01200008392334,16.827999114990234,6.640999794006348,17.174999237060547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4079999923706055,10.319999694824219,2.259999990463257,37.51100158691406,6.629000186920166,2.7039999961853027,10.321999549865723,21.68199920654297
8,C,1,7.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.808998107910156,43.21699905395508,11.602999687194824,50.678001403808594,8.690999984741211,17.898000717163086,0.23499999940395355,10.428999900817871,151.802001953125,138.47900390625,45.499000549316406,36.60900115966797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.89900016784668,151.3260040283203,7.434999942779541,130.2220001220703,0.4169999957084656,64.28700256347656,0.11800000071525574,60.68000030517578,0.11299999803304672,12.699000358581543,0.11599999666213989,27.399999618530273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.840999603271484,94.0469970703125,24.709999084472656,68.6510009765625,NaN,NaN,NaN,NaN,10.59000015258789,25.097000122070312,6.78000020980835,10.593999862670898,4.690999984741211,41.29199981689453,30.209999084472656,53.82400131225586,NaN,NaN,NaN,NaN,4.665999889373779,8.97700023651123,14.99899959564209,25.11199951171875,NaN,NaN,NaN,NaN,12.519000053405762,17.472000122070312,14.527999877929688,5.071000099182129,NaN,NaN,NaN,NaN,0.050999999046325684,2.2850000858306885,2.256999969482422,11.960000038146973,12.744999885559082,41.310001373291016,23.04400062561035,42.75699996948242,6.756999969482422,11.055000305175781,0.07500000298023224,11.810999870300293,17.913000106811523,27.326000213623047,2.9509999752044678,13.923999786376953,4.557000160217285,6.484000205993652,0.020999999716877937,6.881999969482422,NaN,NaN,NaN,NaN,8.555999755859375,30.23200035095215,1.0850000381469727,11.72599983215332,NaN,NaN,NaN,NaN
9,M,0,4.0,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.32200050354004,3.5460000038146973,0.013000000268220901,61.016998291015625,NaN,NaN,NaN,NaN,39.22700119018555,41.63399887084961,0.052000001072883606,102.96099853515625,NaN,NaN,NaN,NaN,9.444000244140625,26.52400016784668,17.655000686645508,31.388999938964844,NaN,NaN,NaN,NaN,0.1509999930858612,19.381999969482422,9.850000381469727,26.965999603271484,51.07699966430664,96.43199920654297,29.099000930786133,171.63699340820312,32.513999938964844,24.35099983215332,2.4230000972747803,47.07099914550781,0.2930000126361847,14.763999938964844,2.2660000324249268,58.4119987487793,NaN,NaN,NaN,NaN,6.38700008392334,16.013999938964844,7.456999778747559,23.242000579833984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,115.69100189208984,140.9409942626953,90.92400360107422,145.87899780273438,12.416000366210938,0.057999998331069946,2.246999979019165,8.994000434875488,26.861000061035156,0.35199999809265137,0.0020000000949949026,22.36199951171875,71.91500091552734,51.8489990234375,24.566999435424805,112.9739990234375,NaN,NaN,NaN,NaN,23.172000885009766,34.810001373291016,11.098999977111816,67.88400268554688,2.3589999675750732,0.1550000011920929,9.001999855041504,22.115999221801758,15.25100040435791,1.2380000352859497,4.408999919891357,52.34700012207031,5.754000186920166,16.709999084472656,2.4089999198913574,15.46399974822998,0.2770000100135803,4.335999965667725,4.343999862670898,0.12600000202655792,69.45899963378906,46.733001708984375,22.73699951171875,60.90399932861328,17.08099937438965,13.680999755859375,13.722000122070312,7.828000068664551,6.625,12.11299991607666,13.20300006866455,39.108001708984375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.388000011444092,4.916999816894531,0.07400000095367432,22.283000946044922
10,C,1,2.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.636999130249023,38.9370002746582,33.374000549316406,40.994998931884766,4.360000133514404,6.63700008392334,4.2220001220703125,0.5040000081062317,73.35199737548828,87.88899993896484,64.40699768066406,98.13999938964844,NaN,NaN,NaN,NaN,10.586000442504883,4.465000152587891,0.052000001072883606,24.051000595092773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.64700317382812,46.834999084472656,2.4630000591278076,173.38699340820312,50.69200134277344,16.805999755859375,0.052000001072883606,62.073001861572266,18.695999145507812,14.630999565124512,0.039000000804662704,50.250999450683594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.09199905395508,0.824999988079071,45.755001068115234,123.94000244140625,0.14900000393390656,0.023000000044703484,8.342000007629395,29.39900016784668,0.13099999725818634,0.017999999225139618,6.401000022888184,25.226999282836914,31.45599937438965,7.698999881744385,6.211999893188477,109.68900299072266,NaN,NaN,NaN,NaN,22.621999740600586,0.026000000536441803,6.302000045776367,23.929000854492188,20.333999633789062,0.05299999937415123,4.507999897003174,3.997999906539917,20.89299964904785,0.01899999938905239,10.29699993133545,18.235000610351562,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.78099822998047,85.15499877929688,13.182000160217285,68.3280029296875,21.617000579833984,36.29199981689453,4.436999797821045,19.614999771118164,8.623000144958496,6.585000038146973,4.51200008392334,14.347000122070312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.496999740600586,4.511000156402588,2.316999912261963,18.600000381469727,NaN,NaN,NaN,NaN
