39 of 58 units, , , , ,V4e043_00, , , ,V4e043_02, , , ,V4e043_03, , , ,V4e046_00, , , ,V4e046_01, , , ,V4e047_00, , , ,V4e047_01, , , ,V4e047_02, , , ,V4e047_03, , , ,V4e048_00, , , ,V4e048_03, , , ,V4e052_00, , , ,V4e052_03, , , ,V4e052_04, , , ,V4e053_00, , , ,V4e053_02, , , ,V4e053_04, , , ,V4e053_05, , , ,V4e053_06, , , ,V4e054_00, , , ,V4e054_03, , , ,V4e054_04, , , ,V4e054_06, , , ,V4e054_07, , , ,V4e055_00, , , ,V4e055_01, , , ,V4e055_02, , , ,V4e056_00, , , ,V4e057_00, , , ,V4e057_01, , , ,MTe040_00, , , ,MTe041_00, , , ,MTe042_00, , , ,MTe049_00, , , ,MTe050_00, , , ,MTe050_01, , , ,MTe050_02, , , ,MTe051_00, , , ,MTe051_02, , , 
trials,task,correct,color,motion,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample
1,C,1,1.0,6.0,35.512001037597656,43.02299880981445,29.812000274658203,19.39900016784668,NaN,NaN,NaN,NaN,16.757999420166016,10.345000267028809,4.479000091552734,0.08799999952316284,93.80500030517578,140.5679931640625,62.637001037597656,124.89399719238281,NaN,NaN,NaN,NaN,31.476999282836914,44.992000579833984,22.136999130249023,53.19200134277344,4.763999938964844,32.926998138427734,20.67799949645996,37.00199890136719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.1449966430664,77.20600128173828,110.18599700927734,117.69599914550781,2.36899995803833,7.171000003814697,6.041999816894531,29.64699935913086,54.845001220703125,6.702000141143799,32.4640007019043,13.430000305175781,30.408000946044922,4.604000091552734,6.289000034332275,11.345999717712402,14.642000198364258,6.539999961853027,4.484000205993652,0.04899999871850014,18.05299949645996,38.5890007019043,38.558998107910156,101.63400268554688,NaN,NaN,NaN,NaN,14.255999565124512,2.453000068664551,14.67199993133545,18.86400032043457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.682000160217285,30.222000122070312,27.819000244140625,28.739999771118164,10.286999702453613,20.430999755859375,8.413000106811523,8.520999908447266,0.164000004529953,6.2829999923706055,2.2799999713897705,49.513999938964844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,115.43900299072266,89.80699920654297,110.0770034790039,188.9499969482422,NaN,NaN,NaN,NaN,10.77299976348877,10.170000076293945,8.309000015258789,25.655000686645508,137.23300170898438,62.180999755859375,58.637001037597656,136.072998046875,43.95600128173828,195.87600708007812,48.194000244140625,258.0979919433594,0.1509999930858612,14.532999992370605,0.07599999755620956,26.969999313354492,15.097999572753906,15.461000442504883,14.78600025177002,17.753000259399414,8.628000259399414,6.798999786376953,6.507999897003174,4.0970001220703125,2.3919999599456787,16.160999298095703,4.614999771118164,10.739999771118164,13.753999710083008,12.54699993133545,5.300000190734863,31.0310001373291,2.621000051498413,35.97700119018555,4.493000030517578,38.99399948120117,0.07500000298023224,2.2699999809265137,0.06300000101327896,7.770999908447266,NaN,NaN,NaN,NaN,3.2709999084472656,44.55400085449219,11.46399974822998,45.70000076293945,NaN,NaN,NaN,NaN
2,M,1,7.0,2.0,54.9640007019043,76.18399810791016,128.33599853515625,59.37200164794922,NaN,NaN,NaN,NaN,3.6459999084472656,16.559999465942383,43.70600128173828,9.347999572753906,95.62100219726562,141.1719970703125,146.2519989013672,139.78599548339844,NaN,NaN,NaN,NaN,26.663999557495117,45.31399917602539,45.03900146484375,61.50600051879883,12.873000144958496,22.979000091552734,36.82899856567383,24.871999740600586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.68800354003906,105.11000061035156,156.9409942626953,89.63500213623047,10.005999565124512,0.8140000104904175,26.632999420166016,12.940999984741211,38.76599884033203,22.417999267578125,26.520999908447266,39.83000183105469,30.341999053955078,10.609999656677246,12.708000183105469,14.298999786376953,14.854000091552734,12.781000137329102,6.49399995803833,15.310999870300293,43.9010009765625,44.28799819946289,52.20000076293945,78.54299926757812,NaN,NaN,NaN,NaN,4.51200008392334,12.357000350952148,8.548999786376953,17.864999771118164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.55699920654297,34.262001037597656,36.20100021362305,0.2939999997615814,12.508999824523926,17.798999786376953,15.355999946594238,16.5049991607666,5.982999801635742,2.7839999198913574,2.5769999027252197,23.893999099731445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.02000045776367,198.67999267578125,169.06399536132812,184.32899475097656,NaN,NaN,NaN,NaN,0.1379999965429306,14.336999893188477,8.446000099182129,21.454999923706055,67.59600067138672,83.68499755859375,63.242000579833984,143.19200134277344,55.06700134277344,113.71399688720703,109.12300109863281,197.7550048828125,NaN,NaN,NaN,NaN,3.7769999504089355,14.348999977111816,18.14900016784668,25.288999557495117,2.4119999408721924,14.411999702453613,4.0920000076293945,13.331000328063965,8.62600040435791,6.514999866485596,10.458999633789062,11.260000228881836,14.131999969482422,19.72800064086914,9.28499984741211,19.07699966430664,11.597999572753906,43.93199920654297,17.83799934387207,63.448001861572266,0.09300000220537186,2.2690000534057617,4.50600004196167,25.14900016784668,NaN,NaN,NaN,NaN,4.501999855041504,32.00899887084961,6.434999942779541,65.77300262451172,NaN,NaN,NaN,NaN
3,M,1,5.0,4.0,52.87300109863281,82.86499786376953,91.02899932861328,57.96099853515625,4.359000205993652,13.362000465393066,3.6689999103546143,4.755000114440918,8.645000457763672,21.117000579833984,23.72100067138672,14.0649995803833,101.55599975585938,174.1280059814453,155.6719970703125,236.82200622558594,NaN,NaN,NaN,NaN,20.707000732421875,51.4010009765625,79.72599792480469,93.50700378417969,11.107999801635742,42.117000579833984,54.362998962402344,50.926998138427734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.90299987792969,94.6719970703125,137.38699340820312,139.67100524902344,3.4830000400543213,13.859000205993652,8.800000190734863,27.274999618530273,39.952999114990234,13.932999610900879,17.881000518798828,46.27799987792969,14.354999542236328,6.551000118255615,0.47200000286102295,36.417999267578125,NaN,NaN,NaN,NaN,12.817999839782715,49.9640007019043,43.617000579833984,105.58999633789062,NaN,NaN,NaN,NaN,4.552000045776367,10.288999557495117,11.937000274658203,23.82900047302246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.20599937438965,7.671999931335449,16.20199966430664,15.506999969482422,15.329000473022461,10.496999740600586,20.242000579833984,7.953999996185303,4.5960001945495605,10.60099983215332,16.288999557495117,18.833999633789062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.78499984741211,159.51600646972656,93.78900146484375,240.06199645996094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.91200256347656,47.334999084472656,67.8949966430664,164.33900451660156,31.166000366210938,80.60299682617188,58.38999938964844,185.36500549316406,NaN,NaN,NaN,NaN,4.745999813079834,16.106000900268555,25.493999481201172,22.527999877929688,9.04800033569336,5.578000068664551,6.493000030517578,4.099999904632568,16.163999557495117,4.866000175476074,8.208000183105469,19.249000549316406,5.007999897003174,23.395000457763672,9.012999534606934,17.910999298095703,19.097999572753906,26.538000106811523,20.339000701904297,43.88199996948242,18.52199935913086,16.195999145507812,3.428999900817871,9.121000289916992,NaN,NaN,NaN,NaN,35.25699996948242,49.111000061035156,13.817000389099121,23.51300048828125,NaN,NaN,NaN,NaN
4,M,1,2.0,1.0,37.790000915527344,72.61799621582031,116.68699645996094,63.987998962402344,2.3399999141693115,0.0010000000474974513,2.2300000190734863,23.584999084472656,6.5269999504089355,11.281000137329102,28.736000061035156,15.48799991607666,132.37399291992188,166.0709991455078,192.2030029296875,167.4720001220703,2.378000020980835,2.24399995803833,6.295000076293945,14.942999839782715,32.15999984741211,40.13600158691406,32.1510009765625,120.24099731445312,12.777999877929688,24.121000289916992,34.209999084472656,63.02399826049805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.19599914550781,96.90599822998047,149.16200256347656,81.39099884033203,2.382999897003174,14.338000297546387,18.660999298095703,13.954999923706055,26.01099967956543,23.013999938964844,14.079999923706055,16.263999938964844,18.538000106811523,0.10700000077486038,14.520000457763672,14.342000007629395,4.585999965667725,4.3460001945495605,7.590000152587891,12.37399959564209,22.562999725341797,56.83399963378906,36.029998779296875,63.28300094604492,NaN,NaN,NaN,NaN,8.406999588012695,12.258000373840332,28.52899932861328,11.236000061035156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.7750015258789,50.39400100708008,11.128000259399414,5.855999946594238,8.878999710083008,12.072999954223633,21.323999404907227,8.711000442504883,4.309999942779541,2.2809998989105225,4.354000091552734,41.52899932861328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.26300048828125,148.30099487304688,119.25599670410156,138.52200317382812,NaN,NaN,NaN,NaN,6.396999835968018,8.526000022888184,4.269999980926514,16.066999435424805,97.09500122070312,58.10599899291992,66.41600036621094,165.76199340820312,99.48699951171875,89.25700378417969,102.64800262451172,146.02200317382812,NaN,NaN,NaN,NaN,13.611000061035156,17.610000610351562,30.084999084472656,21.95199966430664,10.657999992370605,9.73900032043457,4.5289998054504395,16.402999877929688,4.520999908447266,12.730999946594238,8.598999977111816,10.904999732971191,16.31399917602539,18.27899932861328,10.656999588012695,21.66200065612793,10.690999984741211,35.999000549316406,8.119999885559082,34.07500076293945,8.331000328063965,4.410999774932861,0.02199999988079071,4.386000156402588,NaN,NaN,NaN,NaN,15.545999526977539,51.29800033569336,23.850000381469727,21.711000442504883,NaN,NaN,NaN,NaN
5,M,1,2.0,6.0,22.334999084472656,79.90599822998047,154.12399291992188,67.16600036621094,13.20199966430664,4.229000091552734,13.152000427246094,18.888999938964844,4.396999835968018,9.055999755859375,38.637001037597656,17.320999145507812,75.43299865722656,151.6929931640625,183.30799865722656,77.01300048828125,NaN,NaN,NaN,NaN,25.167999267578125,34.16999816894531,50.874000549316406,81.73699951171875,17.31399917602539,29.097000122070312,50.165000915527344,47.87300109863281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.25899887084961,69.04100036621094,153.0070037841797,97.27899932861328,0.210999995470047,5.7170000076293945,36.321998596191406,38.0359992980957,29.39299964904785,16.138999938964844,28.565000534057617,57.50699996948242,13.786999702453613,9.230999946594238,19.44300079345703,36.209999084472656,4.317999839782715,4.2829999923706055,12.303000450134277,0.050999999046325684,29.295000076293945,44.91299819946289,35.869998931884766,99.87300109863281,NaN,NaN,NaN,NaN,8.536999702453613,22.132999420166016,21.826000213623047,23.09000015258789,0.13099999725818634,1.1920000314712524,3.121000051498413,40.729000091552734,NaN,NaN,NaN,NaN,13.871999740600586,27.94099998474121,30.23200035095215,36.51499938964844,12.116000175476074,12.657999992370605,24.926000595092773,22.77400016784668,0.0689999982714653,2.7219998836517334,3.687000036239624,4.810999870300293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.44599914550781,141.2480010986328,96.48400115966797,194.26800537109375,NaN,NaN,NaN,NaN,2.428999900817871,8.930999755859375,1.5779999494552612,42.46699905395508,66.33499908447266,75.40799713134766,123.35099792480469,124.86900329589844,61.33399963378906,180.72500610351562,83.06300354003906,151.91299438476562,NaN,NaN,NaN,NaN,17.125999450683594,20.643999099731445,16.034000396728516,21.437999725341797,17.7450008392334,7.256999969482422,4.28000020980835,2.115000009536743,10.520999908447266,11.267000198364258,13.980999946594238,29.392000198364258,17.069000244140625,17.02899932861328,9.335000038146973,17.363000869750977,10.762999534606934,43.3390007019043,16.72100067138672,31.312999725341797,6.5329999923706055,2.2699999809265137,0.003000000026077032,10.097000122070312,NaN,NaN,NaN,NaN,4.857999801635742,33.66899871826172,17.035999298095703,27.753000259399414,NaN,NaN,NaN,NaN
6,M,1,1.0,1.0,18.3700008392334,80.48400115966797,94.35800170898438,39.67900085449219,0.09700000286102295,7.021999835968018,18.281999588012695,3.4079999923706055,0.08799999952316284,4.4770002365112305,17.797000885009766,1.9950000047683716,101.81999969482422,163.093994140625,124.7020034790039,114.85700225830078,NaN,NaN,NaN,NaN,17.726999282836914,48.512001037597656,35.375999450683594,60.22600173950195,10.442999839782715,9.175999641418457,17.735000610351562,20.691999435424805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.91500091552734,89.52100372314453,52.26900100708008,100.4280014038086,6.466000080108643,16.320999145507812,5.784999847412109,19.41699981689453,25.030000686645508,15.163999557495117,44.891998291015625,16.551000595092773,24.121999740600586,8.626999855041504,22.12299919128418,0.9980000257492065,NaN,NaN,NaN,NaN,16.329999923706055,65.59200286865234,28.572999954223633,69.45700073242188,NaN,NaN,NaN,NaN,6.60699987411499,10.493000030517578,14.545000076293945,26.214000701904297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.81999969482422,17.37700080871582,19.493999481201172,13.232000350952148,14.321999549865723,13.994999885559082,13.0600004196167,25.927000045776367,0.18299999833106995,8.312999725341797,6.610000133514404,68.5459976196289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.66000366210938,160.88999938964844,162.50399780273438,126.47100067138672,11.494999885559082,5.0279998779296875,6.484000205993652,0.05299999937415123,8.027000427246094,19.798999786376953,19.648000717163086,15.36299991607666,109.91799926757812,87.40499877929688,70.25800323486328,162.69400024414062,56.055999755859375,147.9770050048828,144.76100158691406,135.45899963378906,NaN,NaN,NaN,NaN,8.732999801635742,26.895999908447266,27.204999923706055,29.52899932861328,14.479000091552734,10.64900016784668,8.519000053405762,7.328999996185303,10.49899959564209,12.557999610900879,13.892999649047852,25.280000686645508,6.642000198364258,6.973999977111816,11.36299991607666,26.781999588012695,4.442999839782715,34.64099884033203,7.375999927520752,61.51100158691406,6.630000114440918,4.4770002365112305,4.866000175476074,9.762999534606934,NaN,NaN,NaN,NaN,15.524999618530273,57.986000061035156,15.291000366210938,24.979000091552734,NaN,NaN,NaN,NaN
7,M,0,4.0,4.0,24.131000518798828,83.99299621582031,78.33000183105469,31.20800018310547,NaN,NaN,NaN,NaN,0.057999998331069946,8.958000183105469,5.4710001945495605,6.072999954223633,128.05499267578125,101.39900207519531,134.91400146484375,143.59300231933594,NaN,NaN,NaN,NaN,49.57099914550781,43.624000549316406,34.119998931884766,56.415000915527344,25.985000610351562,13.071999549865723,13.5649995803833,28.910999298095703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.696998596191406,84.7249984741211,66.79299926757812,88.2509994506836,0.052000001072883606,4.26200008392334,6.644999980926514,12.256999969482422,14.609999656677246,17.96500015258789,32.51499938964844,59.1349983215332,17.760000228881836,4.433000087738037,12.4350004196167,25.645000457763672,0.19300000369548798,14.685999870300293,8.531000137329102,0.0820000022649765,26.54199981689453,30.570999145507812,17.06800079345703,70.07599639892578,NaN,NaN,NaN,NaN,6.361999988555908,9.767000198364258,9.128999710083008,18.099000930786133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.112000465393066,4.89900016784668,55.35499954223633,28.3700008392334,5.709000110626221,19.062999725341797,16.798999786376953,9.097999572753906,2.3299999237060547,14.782999992370605,8.746999740600586,4.050000190734863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.834999084472656,130.27699279785156,101.50299835205078,214.7220001220703,NaN,NaN,NaN,NaN,6.321000099182129,8.5,6.568999767303467,14.420000076293945,73.02200317382812,85.38099670410156,60.02199935913086,170.2030029296875,115.22200012207031,155.218994140625,110.3270034790039,152.3459930419922,NaN,NaN,NaN,NaN,13.704999923706055,30.41200065612793,24.613000869750977,33.62200164794922,4.324999809265137,7.90500020980835,11.475000381469727,13.746999740600586,17.06399917602539,9.630999565124512,8.194000244140625,21.650999069213867,8.72599983215332,10.295000076293945,4.507999897003174,8.760000228881836,6.63700008392334,39.31800079345703,11.081000328063965,50.21699905395508,6.605000019073486,12.54699993133545,8.366000175476074,8.368000030517578,NaN,NaN,NaN,NaN,18.493999481201172,34.856998443603516,21.239999771118164,34.49700164794922,NaN,NaN,NaN,NaN
8,C,1,6.0,2.0,55.43299865722656,61.20399856567383,31.26099967956543,39.48500061035156,15.151000022888184,6.188000202178955,2.2709999084472656,21.780000686645508,7.020999908447266,7.521999835968018,6.011000156402588,20.66200065612793,133.6840057373047,80.30899810791016,90.86399841308594,72.26899719238281,NaN,NaN,NaN,NaN,28.738000869750977,45.81100082397461,22.844999313354492,41.7599983215332,10.736000061035156,22.277000427246094,4.507999897003174,21.867000579833984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.46099853515625,76.89700317382812,18.41699981689453,63.01300048828125,8.27299976348877,10.437000274658203,0.04699999839067459,12.972000122070312,31.542999267578125,26.562000274658203,18.339000701904297,65.97799682617188,17.593000411987305,12.444999694824219,10.75100040435791,14.85099983215332,8.008000373840332,8.42199993133545,6.454999923706055,13.960000038146973,16.89699935913086,51.80400085449219,38.922000885009766,107.5999984741211,NaN,NaN,NaN,NaN,12.501999855041504,21.284000396728516,15.361000061035156,24.83799934387207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.613000869750977,20.36199951171875,8.722999572753906,12.588000297546387,23.457000732421875,19.996000289916992,21.118999481201172,23.684999465942383,4.511000156402588,6.771999835968018,74.41999816894531,4.098999977111816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.85199737548828,67.51000213623047,51.779998779296875,218.34300231933594,NaN,NaN,NaN,NaN,4.077000141143799,6.735000133514404,2.2709999084472656,22.150999069213867,102.49700164794922,74.80799865722656,51.707000732421875,179.1179962158203,71.26200103759766,51.189998626708984,40.40999984741211,206.15199279785156,NaN,NaN,NaN,NaN,15.192999839782715,30.71299934387207,39.542999267578125,35.084999084472656,4.538000106811523,4.230000019073486,4.520999908447266,13.41100025177002,11.543999671936035,14.446999549865723,9.104999542236328,13.642000198364258,5.2789998054504395,9.567000389099121,4.202000141143799,9.932999610900879,12.916000366210938,21.881000518798828,11.682000160217285,17.700000762939453,23.628000259399414,11.454000473022461,0.07800000160932541,19.81800079345703,NaN,NaN,NaN,NaN,23.440000534057617,28.22599983215332,21.922000885009766,43.500999450683594,NaN,NaN,NaN,NaN
9,C,1,1.0,2.0,17.8700008392334,33.69499969482422,23.347000122070312,43.457000732421875,NaN,NaN,NaN,NaN,0.04100000113248825,4.50600004196167,0.05000000074505806,7.00600004196167,92.2699966430664,47.86000061035156,109.89399719238281,89.40499877929688,NaN,NaN,NaN,NaN,21.00200080871582,29.01099967956543,36.875999450683594,47.191001892089844,18.854000091552734,11.232000350952148,14.333000183105469,5.020999908447266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.29900360107422,62.81999969482422,48.11800003051758,93.14299774169922,2.388000011444092,11.590999603271484,8.0600004196167,29.740999221801758,22.80900001525879,16.95400047302246,25.968000411987305,12.012999534606934,14.423999786376953,2.2760000228881836,16.707000732421875,0.035999998450279236,NaN,NaN,NaN,NaN,6.7870001792907715,48.70199966430664,16.785999298095703,70.11399841308594,NaN,NaN,NaN,NaN,12.567999839782715,12.413999557495117,20.093000411987305,15.85099983215332,0.17399999499320984,4.486000061035156,2.312000036239624,40.04600143432617,NaN,NaN,NaN,NaN,9.954999923706055,18.80699920654297,20.910999298095703,11.541000366210938,14.3100004196167,11.800999641418457,20.691999435424805,15.96500015258789,2.4170000553131104,8.291999816894531,2.2760000228881836,29.62700080871582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.65399932861328,69.23699951171875,71.01000213623047,153.12100219726562,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.6609992980957,66.9280014038086,84.89800262451172,121.25299835205078,57.766998291015625,25.208999633789062,59.09700012207031,244.47999572753906,NaN,NaN,NaN,NaN,8.57800006866455,21.680999755859375,17.780000686645508,14.890000343322754,8.222000122070312,13.157999992370605,14.27299976348877,19.756000518798828,8.532999992370605,14.371000289916992,10.64799976348877,17.865999221801758,4.591000080108643,18.64900016784668,8.836999893188477,14.6899995803833,12.503000259399414,19.003999710083008,4.817999839782715,36.551998138427734,0.10999999940395355,4.40500020980835,14.055999755859375,4.849999904632568,NaN,NaN,NaN,NaN,18.761999130249023,37.597999572753906,14.845000267028809,48.888999938964844,NaN,NaN,NaN,NaN
10,C,1,2.0,6.0,14.458999633789062,98.9739990234375,94.13300323486328,61.91699981689453,NaN,NaN,NaN,NaN,0.13199999928474426,16.716999053955078,21.87700080871582,10.479999542236328,118.75299835205078,199.06100463867188,191.13099670410156,80.18299865722656,NaN,NaN,NaN,NaN,23.972999572753906,57.10900115966797,41.209999084472656,20.158000946044922,0.20000000298023224,27.905000686645508,31.354000091552734,7.948999881744385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.63300323486328,87.78299713134766,47.93199920654297,83.94999694824219,6.370999813079834,10.22599983215332,0.04399999976158142,36.540000915527344,17.8700008392334,35.095001220703125,12.38700008392334,29.020999908447266,4.394999980926514,20.354999542236328,5.127999782562256,15.90999984741211,NaN,NaN,NaN,NaN,12.722999572753906,40.9900016784668,23.523000717163086,92.16400146484375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.10300064086914,34.4010009765625,17.40999984741211,26.799999237060547,6.9730000495910645,20.527000427246094,32.29199981689453,9.579999923706055,8.668999671936035,11.95199966430664,12.72599983215332,22.06999969482422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.1349983215332,104.9000015258789,98.96399688720703,178.41299438476562,NaN,NaN,NaN,NaN,2.3529999256134033,8.348999977111816,9.053999900817871,27.21500015258789,50.25400161743164,88.54499816894531,56.96200180053711,126.46700286865234,45.143001556396484,140.31500244140625,44.91600036621094,149.07699584960938,NaN,NaN,NaN,NaN,6.6570000648498535,4.640999794006348,19.80500030517578,18.868999481201172,8.779000282287598,17.89699935913086,9.031000137329102,18.264999389648438,7.690999984741211,3.1540000438690186,12.39900016784668,18.08799934387207,8.61299991607666,13.11299991607666,13.166000366210938,23.525999069213867,4.89300012588501,40.8390007019043,10.47599983215332,32.35300064086914,0.09200000017881393,2.2699999809265137,6.964000225067139,10.255999565124512,NaN,NaN,NaN,NaN,13.050999641418457,32.928001403808594,17.111000061035156,15.527000427246094,NaN,NaN,NaN,NaN
